nu,[0]Furan-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
572.49145,0.9138845759693266
572.610452,0.9152399570001858
572.729455,0.9069408917084675
572.848457,0.9148675301316954
572.967459,0.9124308292138399
573.086462,0.911049543096012
573.205464,0.9066017592366938
573.324466,0.8940174365749481
573.443469,0.9060697401668952
573.562471,0.9090810726026027
573.681474,0.9101890079446853
573.800476,0.9038245674299753
573.919478,0.9013244376565341
574.038481,0.8912057124401933
574.157483,0.8951356571129014
574.276486,0.9148739342268206
574.395488,0.9012703598126263
574.51449,0.9113019387746373
574.633493,0.8917584313070496
574.752495,0.8873196407278461
574.871497,0.8996945159485037
574.9905,0.9054329969810114
575.109502,0.9065564302819653
575.228505,0.8992627662090755
575.347507,0.8848563177320488
575.466509,0.890190316813486
575.585512,0.8931506601160155
575.704514,0.890119104436674
575.823516,0.8974211658236857
575.942519,0.8809098369475242
576.061521,0.8711596707884621
576.180524,0.8800821707648432
576.299526,0.8846970579286693
576.418528,0.8837244262104664
576.537531,0.8912235367326844
576.656533,0.8736285444652996
576.775536,0.8736809637505303
576.894538,0.8752199961980095
577.01354,0.8775160791432707
577.132543,0.8868672230873793
577.251545,0.8827705190327548
577.370547,0.870793860552258
577.48955,0.863881216959779
577.608552,0.8708722355265287
577.727555,0.8790442862756185
577.846557,0.8805839605986958
577.965559,0.8698104192388224
578.084562,0.8571520113293896
578.203564,0.8555763017259389
578.322566,0.8733315612501888
578.441569,0.878376466421738
578.560571,0.8836802410937931
578.679574,0.8625863665149573
578.798576,0.8471309430481909
578.917578,0.8534997753141418
579.036581,0.8615604992508876
579.155583,0.8686282811047956
579.274585,0.8673436621013089
579.393588,0.8525358652797743
579.51259,0.8422149603456514
579.631593,0.8592460158836842
579.750595,0.8674564241067536
579.869597,0.8599594861260591
579.9886,0.8646071820446741
580.107602,0.8359888527645754
580.226605,0.839717292785724
580.345607,0.8530048889753712
580.464609,0.8693582353988059
580.583612,0.8613968183062121
580.702614,0.8517348580987673
580.821616,0.8292612788344657
580.940619,0.8413647526628568
581.059621,0.852766081041129
581.178624,0.8601142927657414
581.297626,0.8542682708830571
581.416628,0.8332346365067286
581.535631,0.819140220812924
581.654633,0.8453200212075453
581.773635,0.8571691545410477
581.892638,0.8548835655175806
582.01164,0.8511303409784895
582.130643,0.8203534459048412
582.249645,0.8250675642006191
582.368647,0.845100266571372
582.48765,0.8562952877512429
582.606652,0.8517433754899351
582.725655,0.8367750517418029
582.844657,0.8153482144464848
582.963659,0.8276209659480211
583.082662,0.8486147201247951
583.201664,0.8552170351304802
583.320666,0.8453876495143382
583.439669,0.8222917663556695
583.558671,0.805469453091323
583.677674,0.8317028944104402
583.796676,0.8544305972750438
583.915678,0.853243763785197
584.034681,0.8409441754395933
584.153683,0.8083743688334794
584.272685,0.8086250037342202
584.391688,0.8355876744057571
584.51069,0.846546624310635
584.629693,0.8450749139436663
584.748695,0.8237320368158756
584.867697,0.7922644827880747
584.9867,0.8198203894271263
585.105702,0.8464196518401618
585.224704,0.8527063895046844
585.343707,0.8421391644100886
585.462709,0.8056305630924044
585.581712,0.8027515621630654
585.700714,0.8308882248272145
585.819716,0.8512239704655246
585.938719,0.8471224717811169
586.057721,0.828705859863779
586.176724,0.7959570912941994
586.295726,0.812540109872323
586.414728,0.8449143649626532
586.533731,0.8584816271329978
586.652733,0.8513601771970469
586.771735,0.8102600771098933
586.890738,0.7960526118762751
587.00974,0.8281259687474439
587.128743,0.8548750167246695
587.247745,0.8605100363544608
587.366747,0.8335679970289909
587.48575,0.7867379966764155
587.604752,0.8072272918471433
587.723754,0.8461996113371882
587.842757,0.868993181606601
587.961759,0.8600540868724786
588.080762,0.8110788532000971
588.199764,0.7930888664553769
588.318766,0.8258352339464277
588.437769,0.8667367339874607
588.556771,0.8739518468340016
588.675774,0.8395913446381534
588.794776,0.7852603186951916
588.913778,0.8089646975664998
589.032781,0.8532608288311226
589.151783,0.8816148467834161
589.270785,0.8688975976138402
589.389788,0.8155357661034212
589.50879,0.7903653279268111
589.627793,0.8370344922190391
589.746795,0.8761044149504565
589.865797,0.8822851287418527
589.9848,0.8464958330369298
590.103802,0.7929540528075641
590.222804,0.8172747086015314
590.341807,0.8674390751517616
590.460809,0.891196800427629
590.579812,0.8731918393784367
