nu,[0]Ethylvinylether-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
622.896658,0.994740977335224
623.01526,0.9950026286178987
623.133863,0.9944715385016017
623.252465,0.9955544110151521
623.371067,0.9952095111690844
623.48967,0.995349945138494
623.608272,0.9953657713284395
623.726875,0.9952560880640979
623.845477,0.9950842221787357
623.964079,0.995056459716225
624.082682,0.9957009674107395
624.201284,0.9956926035577416
624.319886,0.9957371120118771
624.438489,0.9954588423790626
624.557091,0.9956097653792415
624.675694,0.9956317685981911
624.794296,0.9957615078699694
624.912898,0.9954711861452392
625.031501,0.9960907610470225
625.150103,0.9960758197976666
625.268705,0.9959306025297361
625.387308,0.9957836140208215
625.50591,0.9959932485348314
625.624512,0.9960258180465671
625.743115,0.9963316449147297
625.861717,0.9962725641999468
625.98032,0.9961950572095131
626.098922,0.9963130136871723
626.217524,0.996028905731389
626.336127,0.9963675134995773
626.454729,0.9960832903943297
626.573331,0.996752683972944
626.691934,0.996441147779578
626.810536,0.9966397582912105
626.929139,0.9964764224205669
627.047741,0.9964979465437509
627.166343,0.9964223152198532
627.284946,0.9963651222204144
627.403548,0.9965073136684738
627.52215,0.9965832504189288
627.640753,0.9965374086437785
627.759355,0.9969325143773475
627.877958,0.9966927809367415
627.99656,0.996324371720269
628.115162,0.9968806752344294
628.233765,0.9966695582654909
628.352367,0.9971797843011163
628.470969,0.9967640470183106
628.589572,0.9972210683987613
628.708174,0.9968422960672365
628.826777,0.996490771784365
628.945379,0.996842993857088
629.063981,0.9968567503853231
629.182584,0.9971764936132578
629.301186,0.9970144655981784
629.419788,0.9969166632763855
629.538391,0.9966633789333856
629.656993,0.9966542096724781
629.775596,0.9965651127688243
629.894198,0.9969603291825134
630.0128,0.997201622777523
630.131403,0.9973123183011392
630.250005,0.9966846080894466
630.368607,0.99693989170525
630.48721,0.9968649246441906
630.605812,0.9966776313216087
630.724414,0.9966203240054088
630.843017,0.9971103830033221
630.961619,0.9968378102869973
631.080222,0.9969179592688902
631.198824,0.9968748933432805
631.317426,0.9964151410050109
631.436029,0.996695073332774
631.554631,0.9964029848144436
631.673233,0.9970259313304606
631.791836,0.996654309337904
631.910438,0.9965447830478876
632.029041,0.9961162612969072
632.147643,0.996632084194617
632.266245,0.9962999620721813
632.384848,0.9963568524242197
632.50345,0.9965091073832527
632.622052,0.9966968673855207
632.740655,0.9967252736510285
632.859257,0.9963190912150922
632.97786,0.9963739899094634
633.096462,0.9961121772286082
633.215064,0.9967812911854856
633.333667,0.9963311467490318
633.452269,0.9968988186278229
633.570871,0.9965292370705311
633.689474,0.9962459640775958
633.808076,0.9960581894116854
633.926679,0.9971025058624112
634.045281,0.9969701991386285
634.163883,0.996820963870356
634.282486,0.9967918571231715
634.401088,0.9967952462212473
634.51969,0.9970083838284877
634.638293,0.9966069693825433
634.756895,0.9964389556114643
634.875498,0.9965867384664093
634.9941,0.9972403149511101
635.112702,0.9973105231405819
635.231305,0.9978247692508078
635.349907,0.9971152688561692
635.468509,0.9973797388926466
635.587112,0.9972476945567452
635.705714,0.9978207779597134
635.824316,0.9976609398744567
635.942919,0.9975006286427713
636.061521,0.9975834246309346
636.180124,0.9975069129165273
636.298726,0.9973940015248904
636.417328,0.9971654250156095
636.535931,0.997543322583321
636.654533,0.9978220751275678
636.773135,0.9982839740591054
636.891738,0.9977417536835016
637.01034,0.9980071882912191
637.128943,0.9977809657049326
637.247545,0.998130449790214
637.366147,0.9976507637847681
637.48475,0.9983446715699138
637.603352,0.9984510009393744
637.721954,0.99837352414784
637.840557,0.9980806443234262
637.959159,0.9978077065931398
638.077762,0.9981076926753909
638.196364,0.9981632888222112
638.314966,0.9987561741933597
638.433569,0.9987354002809858
638.552171,0.9987008446339523
638.670773,0.9980169688095889
638.789376,0.9986599986047138
638.907978,0.9982187882439394
639.026581,0.9984514003198547
639.145183,0.9980485066440984
639.263785,0.9990376733335825
639.382388,0.9985592388942675
639.50099,0.9986730811363859
639.619592,0.9983830087413711
639.738195,0.9983513605016212
639.856797,0.9984001810768031
639.9754,0.9984989277376535
640.094002,0.9988377759061758
640.212604,0.9987163246170137
640.331207,0.9989099944880442
640.449809,0.9984066706990713
640.568411,0.9986070710273809
640.687014,0.9986610971313165
640.805616,0.9993976714727019
640.924218,0.9987414925855091
641.042821,0.9989967036386884
641.161423,0.9987379969964023
641.280026,0.9987182221798332
641.398628,0.9982844732012172
641.51723,0.9986232485929695
641.635833,0.9990097306406397
641.754435,0.9988758323504086
641.873037,0.9988716370807227
641.99164,0.9989629381207459
642.110242,0.998833980329839
642.228845,0.9981577989392199
642.347447,0.9988601501229465
642.466049,0.9991346746101372
642.584652,0.9992746831695142
642.703254,0.998859351035146
642.821856,0.9990659564904607
642.940459,0.9988155020721273
643.059061,0.9987325039525248
643.177664,0.9987482840507497
643.296266,0.9991918267480605
643.414868,0.9992536186812134
643.533471,0.9988064128924143
643.652073,0.9987847390284168
643.770675,0.9988433694133827
643.889278,0.9988490628368146
644.00788,0.9983275001892371
644.126483,0.9992454348275893
644.245085,0.9991206168841618
644.363687,0.9991575950224689
644.48229,0.9987275103024891
644.600892,0.9990140164015772
644.719494,0.9987876355083599
644.838097,0.9988900164879351
644.956699,0.9989919084660194
645.075302,0.9992652400683769
645.193904,0.9991302284707279
645.312506,0.9985512504523101
645.431109,0.9990607913328177
645.549711,0.9985636325645846
645.668313,0.9990924021163353
645.786916,0.998707835564333
645.905518,0.9993950030844814
646.02412,0.999058073891161
646.142723,0.9989972031371651
646.261325,0.9986831677854429
646.379928,0.9989604407165223
646.49853,0.9988244914520981
646.617132,0.9989379643594661
646.735735,0.9990531185754036
646.854337,0.999438287819389
646.972939,0.9992293870747698
647.091542,0.9985756154000722
647.210144,0.9987636648927563
647.328747,0.9987655625455223
647.447349,0.9991828040866023
647.565951,0.9987588708386704
647.684554,0.9991304183054893
647.803156,0.9988818256233825
647.921758,0.9987540768075961
648.040361,0.9984657781235392
648.158963,0.9992160774279765
648.277566,0.999178647494783
648.396168,0.9990747982633005
648.51477,0.9986972493173832
648.633373,0.9989637372914161
648.751975,0.9990233772067661
648.870577,0.9988573533184416
648.98918,0.998821395100974
649.107782,0.9988883183763504
649.226385,0.999475557568032
649.344987,0.9985325777185172
649.463589,0.9991333657445708
649.582192,0.9986756776897724
649.700794,0.9986797722684447
649.819396,0.9986139614399429
649.937999,0.9991655283652687
650.056601,0.9989711296504237
650.175204,0.9986950521858515
650.293806,0.9986435208506786
650.412408,0.9986280419960669
650.531011,0.9985965857081831
650.649613,0.9981882432163603
650.768215,0.9988528584704651
650.886818,0.998564231702944
651.00542,0.9989658351174671
651.124022,0.9983929926213778
651.242625,0.9989515500081637
651.361227,0.9982908622422906
651.47983,0.9988548561781797
651.598432,0.9982834749172431
651.717034,0.9990958689729857
651.835637,0.9985930906262496
651.954239,0.9986384277817096
652.072841,0.9982983494518344
652.191444,0.9988130050364934
652.310046,0.9988043154011496
652.428649,0.9987531779293315
652.547251,0.999170304387909
652.665853,0.9988899165989384
652.784456,0.9990899343611498
652.903058,0.9982969518351236
653.02166,0.9990182022790752
653.140263,0.9986979484057024
653.258865,0.9988039158795033
653.377468,0.9984117625860762
653.49607,0.9991175495885762
653.614672,0.9990267139504183
653.733275,0.9985240902276785
653.851877,0.9984408167911041
653.970479,0.998604175071074
654.089082,0.9988285866409082
654.207684,0.9989181855835824
654.326287,0.9990442570135429
654.444889,0.9988555553768238
654.563491,0.9986576018235933
654.682094,0.998117873425778
