nu,[0]HFC-365mfc-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
787.540012,1.0
787.781066,1.0
788.02212,1.0
788.263174,1.0
788.504228,1.0
788.745282,1.0
788.986336,1.0
789.22739,0.9291603036453606
789.468444,0.9292207010279913
789.709498,0.9298909107349983
789.950552,0.9199435219575682
790.191606,0.917297896144158
790.43266,0.9138160371963651
790.673714,0.9083540985729044
790.914768,0.9075460230721121
791.155822,0.9073935681468083
791.396876,0.8978699886029419
791.63793,0.8984268406021576
791.878984,0.888536101721159
792.120038,0.898022639475961
792.361092,0.8929006129394214
792.602146,0.88893603294471
792.8432,0.8852545926801706
793.084254,0.8768406518352158
793.325308,0.8753687962450087
793.566362,0.8713600605566835
793.807416,0.8687064611681451
794.04847,0.8636652736495776
794.289524,0.8646936470860586
794.530578,0.8587048613752463
794.771632,0.86029493573407
795.012686,0.859349131592409
795.25374,0.8485892620650641
795.494794,0.8555335239803051
795.735848,0.8510962964457456
795.976902,0.8489627234958623
796.217956,0.8459542490291547
796.45901,0.8446778220580157
796.700064,0.8451087176162929
796.941118,0.8406583030210089
797.182172,0.8444413453761198
797.423226,0.8380143957066932
797.66428,0.8323269055561772
797.905334,0.8392807533035775
798.146388,0.8349528690298069
798.387442,0.8372605220445917
798.628496,0.8302652922874965
798.86955,0.8259013034078866
799.110604,0.8182314796124929
799.351658,0.8132635924721103
799.592712,0.7981569672985763
799.833766,0.8084067044549408
800.07482,0.8033458181666695
800.315874,0.8040128719847879
800.556928,0.8168253311019409
800.797982,0.8195253072049193
801.039036,0.8252160897290718
801.28009,0.8305393250468698
801.521144,0.8266201501948626
801.762198,0.8377965402862414
802.003252,0.8417182000777367
802.244306,0.8308217564279997
802.48536,0.8348025910388065
802.726414,0.8363484052695126
802.967468,0.8406330836502107
803.208522,0.8364404086541857
803.449576,0.832884751440403
803.69063,0.8418107941723271
803.931684,0.8378216745594622
804.172738,0.8404145474593976
804.413792,0.8388024995894517
804.654846,0.8437745001518179
804.8959,0.8412049085455229
805.136954,0.845810449030166
805.378008,0.8476902340163199
805.619062,0.8515900754797617
805.860116,0.8572377308164254
806.10117,0.8581468845774571
806.342224,0.8626467496739993
806.583278,0.8644947904166225
806.824332,0.8620948323865788
807.065386,0.8718045675272101
807.30644,0.8733228279782428
807.547494,0.8778934921952932
807.788548,0.8831943505933276
808.029602,0.8866987343219324
808.270656,0.8890516021408278
808.51171,0.8908403929936969
808.752764,0.8944466679517933
808.993818,0.8984537938116718
809.234872,0.9058831090240886
809.475926,0.9080371383052863
809.71698,0.9071349978279071
809.958034,0.9113456823175351
810.199088,0.9096530644698534
