nu,[0]Isobutene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
781.272608,0.9983155203311141
781.513662,0.9982850721720808
781.754716,0.9983454702459705
781.99577,0.9982699981812999
782.236824,0.9980803448992778
782.477878,0.9980897268986152
782.718932,0.9981932341700539
782.959986,0.9981447231577003
783.20104,0.9980467101584033
783.442094,0.9979409228139549
783.683148,0.9979826376163617
783.924202,0.997901704506333
784.165256,0.9979625783669418
784.40631,0.9978611905195696
784.647364,0.9978038151506723
784.888418,0.9976673249249041
785.129472,0.9976725128084821
785.370526,0.9976985524008817
785.61158,0.9975440208638913
785.852634,0.9973431357279015
786.093688,0.9970129700776016
786.334742,0.9968071081552556
786.575796,0.9962626015241183
786.81685,0.9966448411669392
787.057904,0.997053349920576
787.298958,0.9971786874039569
787.540012,0.9971876620525294
787.781066,0.9971107818475551
788.02212,0.9971242429339722
788.263174,0.9970248346025393
788.504228,0.9968910428473633
788.745282,0.9971630318214613
788.986336,0.9970104775482921
789.22739,0.9969641176389623
789.468444,0.9968953294880638
789.709498,0.9968132883784848
789.950552,0.9966472331174283
790.191606,0.9967219844630526
790.43266,0.9966140453171455
790.673714,0.9963011576328531
790.914768,0.9955046345390236
791.155822,0.9959184522505021
791.396876,0.9964677531134034
791.63793,0.9965578378700545
791.878984,0.9965625217028995
792.120038,0.9965527554380416
792.361092,0.9964656605333191
792.602146,0.9965680028118419
792.8432,0.9963527673694992
793.084254,0.9965895289131836
793.325308,0.9964194255993291
793.566362,0.9962137858526373
793.807416,0.9962640959191413
794.04847,0.9963091280739959
794.289524,0.9962714683007289
794.530578,0.9963178956329002
794.771632,0.9962705716568109
795.012686,0.9963426046231021
795.25374,0.9963470881749108
795.494794,0.9964249059212408
795.735848,0.996287508400491
795.976902,0.9963593433194644
796.217956,0.996201333258143
796.45901,0.9961754323601915
796.700064,0.9963623324019779
796.941118,0.9961666660549584
797.182172,0.9961691564747366
797.423226,0.9961205446060398
797.66428,0.9961299081831679
797.905334,0.9962667858358317
798.146388,0.9962992646624519
798.387442,0.996351272841469
798.628496,0.9962392892519972
798.86955,0.9962060154154123
799.110604,0.9961546125112233
799.351658,0.9960335870782471
799.592712,0.9959770139771923
799.833766,0.9960147622213468
800.07482,0.9959745240377698
800.315874,0.9960103797660345
800.556928,0.9960282085113991
800.797982,0.9960908606561036
801.039036,0.996016953456234
801.28009,0.9960753217598811
801.521144,0.9960079893439915
801.762198,0.9958003433260628
802.003252,0.9957178944710652
802.244306,0.9957798300502778
802.48536,0.9958893718562722
802.726414,0.9961577005953086
802.967468,0.9962288287943776
803.208522,0.9961417621996066
803.449576,0.9959140702189527
803.69063,0.9959630703966019
803.931684,0.995622111016875
804.172738,0.99563654764215
804.413792,0.9958146829542518
804.654846,0.9960130689976903
804.8959,0.9961088900638472
805.136954,0.9963055413675909
805.378008,0.9963746873715004
805.619062,0.996340910842114
805.860116,0.9963625316744644
806.10117,0.9960660583024639
806.342224,0.9960074913401213
806.583278,0.9956921057115642
806.824332,0.9954117582893655
807.065386,0.9956878242447148
807.30644,0.9960009177123714
807.547494,0.996087075518025
807.788548,0.9959117796192254
808.029602,0.9959857786134797
808.270656,0.9959980293138982
808.51171,0.9958318111141004
808.752764,0.9959323952064341
808.993818,0.9959347854470508
809.234872,0.9959915553477482
809.475926,0.9958649728655505
809.71698,0.9958136871400668
809.958034,0.9957454762387478
810.199088,0.9958093055694828
810.440142,0.9959465375468564
810.681196,0.9958381844580863
810.92225,0.9959708389388483
811.163304,0.9956945949449401
811.404358,0.9958462507800488
811.645412,0.9957996462660665
811.886466,0.9957376098805576
812.12752,0.9957287478552658
812.368574,0.9955944331069135
812.609628,0.9955483381517671
812.850682,0.9956403310682196
813.091736,0.9955423648796581
813.33279,0.9954199206992493
813.573844,0.9955192685647111
813.814898,0.9954070798650958
814.055952,0.9955033403838399
814.297006,0.995522852440529
814.53806,0.9954441096972174
814.779114,0.9955004534283388
815.020168,0.9955862692660339
815.261222,0.995608769769974
815.502276,0.9955536145719418
815.74333,0.995706642922429
815.984384,0.9955437586399445
816.225438,0.9956236044511617
816.466492,0.9956386384810955
816.707546,0.995808011018227
816.9486,0.9958313131983193
817.189654,0.9958033307315739
817.430708,0.9959521148630831
