nu,[0]Methylmethacrylate-PNNL(x-sec)-X=0.01-T=278.2K-P=1.0atm-L=15cm
602.00404,0.9212894630298545
602.123042,0.9218138259014081
602.242045,0.9225386563896321
602.361047,0.9249339032211009
602.48005,0.9282223254973795
602.599052,0.92853797474538
602.718054,0.9298648741540115
602.837057,0.9283550707809872
602.956059,0.9309106298771785
603.075062,0.9312690994706501
603.194064,0.933632861440266
603.313066,0.9345435973917993
603.432069,0.9353785175606416
603.551071,0.9342810275337249
603.670073,0.9315056718653378
603.789076,0.9347361332033697
603.908078,0.9366402580243265
604.027081,0.9369681394905445
604.146083,0.9361598847982274
604.265085,0.9388204801503326
604.384088,0.9363153002382285
604.50309,0.9345921949223884
604.622092,0.9353925483436357
604.741095,0.9370937016337119
604.860097,0.9374179921535019
604.9791,0.937661752518936
605.098102,0.9386064534808258
605.217104,0.9381738556272378
605.336107,0.9374217418329698
605.455109,0.9374686140918581
605.574111,0.9382714307820431
605.693114,0.9378868183463596
605.812116,0.9400125995794426
605.931119,0.9416986123741671
606.050121,0.9426784883782389
606.169123,0.9407997194890202
606.288126,0.94009720452057
606.407128,0.9409530823420298
606.526131,0.9416995540732503
606.645133,0.9418097393667909
606.764135,0.9419594990209271
606.883138,0.9430660088669677
607.00214,0.9414952274402579
607.121142,0.9430443185982028
607.240145,0.943024514875452
607.359147,0.9447168745777068
607.47815,0.9450938918206014
607.597152,0.9453405935195378
607.716154,0.9445751776740535
607.835157,0.9465779080431534
607.954159,0.9453226322188939
608.073161,0.9457112396740975
608.192164,0.9484473498536328
608.311166,0.9509612156222341
608.430169,0.9499993296684095
608.549171,0.9488144700111948
608.668173,0.9513626059426276
608.787176,0.9513321628263298
608.906178,0.9517851047274555
609.025181,0.9520011844703515
609.144183,0.9558483578579064
609.263185,0.9554670504390099
609.382188,0.9552119747906571
609.50119,0.9548863030374432
609.620192,0.957243958455091
609.739195,0.9572918218495887
609.858197,0.9572449156995282
609.9772,0.9596880454356623
610.096202,0.9607116183595366
610.215204,0.9616968526146515
610.334207,0.9606145913860269
610.453209,0.9632714763565438
610.572211,0.9625762453592055
610.691214,0.9630692105851583
610.810216,0.9646238947375235
610.929219,0.9664951485047473
611.048221,0.9666729999739055
611.167223,0.9655619649914957
611.286226,0.9670336362573814
611.405228,0.9689725458004689
611.52423,0.9699778915121223
611.643233,0.9687458327512127
611.762235,0.9724117044021002
611.881238,0.971099834312708
612.00024,0.9705338481103127
612.119242,0.971002729184614
612.238245,0.9730906847083329
612.357247,0.9741470610817914
612.47625,0.9742795540914189
612.595252,0.9747902103580202
612.714254,0.9773504413548485
612.833257,0.9749374147934394
612.952259,0.9749676383217603
613.071261,0.9759401657815473
613.190264,0.9773797623079012
613.309266,0.978396766010961
613.428269,0.9789604848836331
613.547271,0.9794344164405017
613.666273,0.9795088562848294
613.785276,0.9793100361679282
613.904278,0.9793051396299888
614.02328,0.9823260492727696
614.142283,0.9815709309210974
614.261285,0.9827986617566602
614.380288,0.9817878820690498
614.49929,0.9831702298727539
614.618292,0.9833875345048332
614.737295,0.9829451096673604
614.856297,0.9848716016122268
614.9753,0.9839511770302662
615.094302,0.9845230187680597
615.213304,0.984853874082946
615.332307,0.9863638265463035
615.451309,0.9861024747629095
615.570311,0.9855602675224491
615.689314,0.9845171116476685
615.808316,0.9875728626172237
615.927319,0.9868492369501319
616.046321,0.986727861958702
616.165323,0.9872262853703101
616.284326,0.9885352271808743
616.403328,0.9881250701750596
616.52233,0.9876044654544701
616.641333,0.9889524770802813
616.760335,0.9886528698725102
616.879338,0.9904509841843545
616.99834,0.9878938759594168
617.117342,0.9901477545198282
617.236345,0.9890019259403465
617.355347,0.9890790710991919
617.474349,0.9883553301406547
617.593352,0.9899726128737889
617.712354,0.9907736266093702
617.831357,0.9896152972598903
617.950359,0.9890741257161999
618.069361,0.9894470769584869
618.188364,0.9891136894724984
618.307366,0.9897004078351569
618.426369,0.9914105023480885
618.545371,0.990417804632145
618.664373,0.9910945901642706
618.783376,0.9894965505491642
618.902378,0.990577373793422
619.02138,0.99126269406157
619.140383,0.9910042064592072
619.259385,0.9907443992184913
619.378388,0.9915584318303038
619.49739,0.990963774312405
619.616392,0.9913225681364701
619.735395,0.9918437442313622
619.854397,0.990995089262447
619.973399,0.9909238392769967
620.092402,0.9912818256161843
620.211404,0.9925355980610193
620.330407,0.9917126311551402
620.449409,0.9908998592102461
620.568411,0.9910787327776874
620.687414,0.990997566753267
620.806416,0.9913958295812325
620.925419,0.9914490689667457
621.044421,0.9915847084769113
621.163423,0.9909814136245773
621.282426,0.9917095568507488
621.401428,0.9898726306890739
621.52043,0.991478217997862
621.639433,0.9911746738424929
621.758435,0.9921681301699363
621.877438,0.9911917221934984
621.99644,0.992205138731397
622.115442,0.9914364776435249
622.234445,0.990652462404178
622.353447,0.9905367609536654
622.472449,0.991753986434111
622.591452,0.9912674521339209
622.710454,0.9915024103615268
622.829457,0.9912540701136459
622.948459,0.9908415960114794
623.067461,0.9895034770492608
623.186464,0.9882476052807808
623.305466,0.989977562749228
623.424468,0.989688531501521
623.543471,0.9904694067439896
623.662473,0.9893224144806911
623.781476,0.9895193092315507
623.900478,0.9892561320994054
624.01948,0.9878859728400217
624.138483,0.988958410812945
624.257485,0.9884956865626047
624.376488,0.9885984954599772
624.49549,0.9881270464271762
624.614492,0.9896152972598903
624.733495,0.9885767465323162
624.852497,0.9875205226425265
624.971499,0.9869074627727569
625.090502,0.9882644056328732
625.209504,0.9871364518658278
625.328507,0.9872835461554083
625.447509,0.9858510506897766
625.566511,0.9862563187484914
625.685514,0.9863510038999057
625.804516,0.9861271276329381
625.923518,0.9855977195241985
626.042521,0.9855632242076867
626.161523,0.9854676292113709
626.280526,0.9829932751577789
626.399528,0.9832606856948062
626.51853,0.9844166960235643
626.637533,0.9837858871172667
626.756535,0.9835330866305315
626.875538,0.9842286903897334
626.99454,0.9832115238895768
627.113542,0.9816043049001031
627.232545,0.9807340079154296
627.351547,0.9818664282414203
627.470549,0.9802094555514639
627.589552,0.9803574783546926
627.708554,0.9810057088644664
627.827557,0.9814570752968644
627.946559,0.9809056513851804
628.065561,0.9785660432935437
628.184564,0.9792062348056638
628.303566,0.9783801334073164
628.422568,0.9786423744217959
628.541571,0.9778460836633236
628.660573,0.9793159120457728
628.779576,0.9775889439586735
628.898578,0.9772644383001992
629.01758,0.9763530757959842
629.136583,0.975988964009782
629.255585,0.9753294184216366
629.374587,0.9758503834163476
629.49359,0.9752787026105011
629.612592,0.9753664816437333
629.731595,0.9749968877896498
629.850597,0.9728406325354434
629.969599,0.9732366592588567
630.088602,0.9737438476694389
630.207604,0.9734001767526972
630.326607,0.9715787045628417
630.445609,0.9719489465759049
630.564611,0.9697780966460485
630.683614,0.9707182670606992
630.802616,0.9706066408786157
630.921618,0.969459092131372
631.040621,0.9700448222957221
631.159623,0.9683981154162512
631.278626,0.9685579142883393
631.397628,0.9667774062957426
631.51663,0.9655455505776137
631.635633,0.9654712064325056
631.754635,0.9675733916041497
631.873637,0.9665744043563701
631.99264,0.9650069264504986
632.111642,0.9641619505364128
632.230645,0.9627090900471377
632.349647,0.9627225680687442
632.468649,0.9624203206377007
632.587652,0.962468442856778
632.706654,0.9628949108326458
632.825657,0.9619373068833363
632.944659,0.9600748776594306
633.063661,0.9609527872411733
633.182664,0.9599481561393838
633.301666,0.9598262504647282
633.420668,0.9585064377834553
633.539671,0.9603072438950045
633.658673,0.9595805663935122
633.777676,0.9595162766492943
633.896678,0.9579238429960454
634.01568,0.9574832993610716
634.134683,0.9572142843523299
634.253685,0.9569941503833057
634.372687,0.9577581365052318
634.49169,0.958002395971799
634.610692,0.9574708521590868
634.729695,0.9548500180473469
634.848697,0.9552540050422066
634.967699,0.9547411713496692
635.086702,0.9563292705213042
635.205704,0.9547010730625424
635.324706,0.9546371102334259
635.443709,0.9536066586983627
635.562711,0.9534159564374848
