nu,[0]Trifluoromethylsulfurpentafluoride-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
528.372167,0.9576068226737715
528.49177,0.9655301019723938
528.611372,0.9585735355824958
528.730975,0.9800389139437481
528.850577,0.9717915035997851
528.970179,0.9607164219296372
529.089782,0.9711357656713036
529.209384,0.9708017524214855
529.328987,0.9745718818046109
529.448589,0.9475969740313888
529.568191,0.9690597572540474
529.687794,0.9694416420247651
529.807396,0.9739561469680137
529.926999,0.952293493701155
530.046601,0.9674427780128989
530.166203,0.9732064893900552
530.285806,0.9632281301154054
530.405408,0.9638380465399513
530.525011,0.9606741513370322
530.644613,0.9735977970463591
530.764215,0.9399468010004493
530.883818,0.9444061138489137
531.00342,0.9729992184829502
531.123022,0.9621123954057613
531.242625,0.964653798541767
531.362227,0.9614381909528514
531.48183,0.9771149282789475
531.601432,0.9590145808414962
531.721034,0.9622913649549589
531.840637,0.975185080348991
531.960239,0.9529288853410091
532.079842,0.9745075621829826
532.199444,0.9658033856590696
532.319046,0.9695182309397075
532.438649,0.9606808760796282
532.558251,0.9500477808697178
532.677854,0.9580464650955959
532.797456,0.9630528385477409
532.917058,0.9348679402903326
533.036661,0.9784936320855877
533.156263,0.9516927860498251
533.275866,0.9335525724666575
533.395468,0.9569759676671848
533.51507,0.9474150528773644
533.634673,0.9507301601212182
533.754275,0.953401655305397
533.873877,0.9444438908490026
533.99348,0.958341588853571
534.113082,0.9477438629459604
534.232685,0.9387266027962635
534.352287,0.9499347319103407
534.471889,0.941186467645032
534.591492,0.9578606221087199
534.711094,0.951500563522172
534.830697,0.9452886012166958
534.950299,0.9538069371251882
535.069901,0.9433216143883545
535.189504,0.9394186993087621
535.309106,0.9340194654664138
535.428709,0.9463914505619339
535.548311,0.9431310826665998
535.667913,0.9391162551837021
535.787516,0.9330168670522241
535.907118,0.9432518111716406
536.026721,0.9415592512925102
536.146323,0.9339662278741679
536.265925,0.9362731669977229
536.385528,0.9407865483851452
536.50513,0.9398659690513869
536.624732,0.9198717691612509
536.744335,0.9421422568906774
536.863937,0.9321644792363103
536.98354,0.9242977675514478
537.103142,0.9242580236019441
537.222744,0.932850804829865
537.342347,0.933846687847725
537.461949,0.9249709013171867
537.581552,0.9283532140727023
537.701154,0.9269886104068631
537.820756,0.9208491918997093
537.940359,0.9223827605302733
538.059961,0.9140728555841109
538.179564,0.9349343182704837
538.299166,0.9202572761906122
538.418768,0.917758495288735
538.538371,0.9243245725753777
538.657973,0.9255880627088088
538.777576,0.9198634903525832
538.897178,0.9264826127755048
539.01678,0.9128634239437388
539.136383,0.9146287808644658
539.255985,0.9088447422480035
539.375588,0.9114267956927531
539.49519,0.9034811793422207
539.614792,0.9069254738443606
539.734395,0.9087066083456243
539.853997,0.916251856123974
539.973599,0.9127977001433001
540.093202,0.9286689078303847
540.212804,0.8959326824714061
540.332407,0.890858209979726
540.452009,0.8912948374676144
540.571611,0.8996765222381224
540.691214,0.90384264410209
540.810816,0.9038878373641173
540.930419,0.9023525334187043
541.050021,0.8995685675328657
541.169623,0.8921687345479612
541.289226,0.9023525334187043
541.408828,0.8941783741974831
541.528431,0.8994606257813964
541.648033,0.8890871649161642
541.767635,0.8848032279456943
541.887238,0.8886338460681888
542.00684,0.8885449871266031
542.126443,0.8846085926462143
542.246045,0.8901547099129563
542.365647,0.8825763308800477
542.48525,0.8781832448542769
542.604852,0.8801965888840593
542.724454,0.8759029341062031
542.844057,0.874266526137738
542.963659,0.8674737734087282
543.083262,0.871891752343131
543.202864,0.8742840116431152
543.322466,0.8737421235585612
543.442069,0.8612417808327082
543.561671,0.8650136429310612
543.681274,0.8638639395082149
543.800876,0.8556789770425418
543.920478,0.861457118193965
544.040081,0.8645466616601691
544.159683,0.8582069569618864
544.279286,0.854644231627544
544.398888,0.858936742990427
544.51849,0.8526381757221116
544.638093,0.8493363492858464
544.757695,0.8499310928663144
544.877298,0.851300584070427
544.9969,0.8391632622226826
545.116502,0.8513261234710382
545.236105,0.843934832537941
545.355707,0.8468429674861743
545.47531,0.84358889017963
545.594912,0.8445089033860343
545.714514,0.8362647746105882
545.834117,0.8435973261107114
545.953719,0.841676115219863
546.073321,0.8324767378836821
546.192924,0.8333512975219199
546.312526,0.824308851103094
546.432129,0.8270501044513823
546.551731,0.8203698531378311
546.671333,0.8241769722375081
546.790936,0.8207308952966618
546.910538,0.8218149754139223
547.030141,0.8115899938700182
547.149743,0.8176180360728661
547.269345,0.8258682680164626
547.388948,0.812832676970795
547.50855,0.8164660070133527
547.628153,0.817103098932371
547.747755,0.8146636095206733
547.867357,0.8004029424939647
547.98696,0.808277369729282
548.106562,0.8149161943882565
548.226165,0.8131090870680189
548.345767,0.806315640187551
548.465369,0.8044069348295729
548.584972,0.7902151727796957
548.704574,0.7870055330738958
548.824176,0.7913064225072624
548.943779,0.7893858823019689
549.063381,0.7878795942298051
549.182984,0.7866121286666566
549.302586,0.7851739448107858
549.422188,0.786116719095997
549.541791,0.7772913741522988
549.661393,0.7777345565305442
549.780996,0.78363651105622
549.900598,0.7804613966649877
550.0202,0.7792136568883296
550.139803,0.7750947492537248
550.259405,0.7687495847685706
550.379008,0.7812578734236784
550.49861,0.771028454602962
550.618212,0.7671829341425956
550.737815,0.7683192055185375
550.857417,0.7742890697404664
550.97702,0.7666307612361132
551.096622,0.7692955907829546
551.216224,0.7701576845270107
551.335827,0.7631352519795268
551.455429,0.763608542540667
551.575032,0.759306319500205
551.694634,0.7633794943368531
551.814236,0.755315300767642
551.933839,0.7598760128481312
552.053441,0.7541530103977518
552.173043,0.7612145722174621
552.292646,0.7536177517996572
552.412248,0.7479792814406725
552.531851,0.7493568302747983
552.651453,0.7524580736432571
552.771055,0.7507969774878372
552.890658,0.7440924433895458
553.01026,0.7466863959521841
553.129863,0.7450752939534824
553.249465,0.7411961343340556
553.369067,0.7406330392751878
553.48867,0.7448443564095255
553.608272,0.738739443531351
553.727875,0.7361730982985221
553.847477,0.7357535992010926
553.967079,0.7387468309627234
554.086682,0.7369538555109363
554.206284,0.730380242729108
554.325887,0.7350035131388317
554.445489,0.7367843756151039
554.565091,0.733270950076378
554.684694,0.733138973183641
554.804296,0.7302195767496134
554.923898,0.7298326629151591
555.043501,0.7224478800043017
555.163103,0.7265703256770786
555.282706,0.7301465584429145
555.402308,0.7329923600508063
555.52191,0.726323333757354
555.641513,0.7309794001491153
555.761115,0.726250705055474
555.880718,0.7250968839652836
556.00032,0.7178461562167354
556.119922,0.7240752178028017
556.239525,0.7163545879805303
556.359127,0.7181118084371657
556.47873,0.7240172941023564
556.598332,0.7215670310178329
556.717934,0.7248286477449774
556.837537,0.716798865536889
556.957139,0.7272608954551798
557.076742,0.7148232283015263
557.196344,0.7204278552946326
557.315946,0.7179610207906509
557.435549,0.720629603337523
557.555151,0.7205143118245559
557.674753,0.7147874880336254
557.794356,0.7235468357767098
557.913958,0.7174084035895685
558.033561,0.7199165330582471
558.153163,0.7202189615076603
558.272765,0.7207737436717434
558.392368,0.7183631915595989
558.51197,0.7205863668584301
558.631573,0.7195206878324807
558.751175,0.7218918092514128
558.870777,0.7232791729681455
558.99038,0.7229682297813455
559.109982,0.7220434224501844
559.229585,0.7225996099901936
559.349187,0.7262143934280194
559.468789,0.7252129087484532
559.588392,0.7256481670581375
559.707994,0.729314665635284
559.827597,0.7292344454342561
559.947199,0.7299567450145343
560.066801,0.7256118855568296
560.186404,0.7320766920124943
560.306006,0.7337990952698867
560.425609,0.7348565271352943
560.545211,0.7353563995110923
560.664813,0.7369170087393376
560.784416,0.7309063058638755
560.904018,0.7336230046187454
561.02362,0.7375289037578961
561.143223,0.7391089056109394
561.262825,0.7408108125365518
561.382428,0.7413888703835831
561.50203,0.738030593967791
561.621632,0.7438023039174985
561.741235,0.7473811373050752
561.860837,0.7465967989605968
561.98044,0.7487800476053122
562.100042,0.7459251641225447
562.219644,0.7502641008274206
562.339247,0.7563356650145772
562.458849,0.7567668992337122
562.578452,0.7504141686538685
562.698054,0.7560785545997195
562.817656,0.7556628257306085
562.937259,0.7595949107304761
563.056861,0.7583501960219211
563.176464,0.7646554031797477
563.296066,0.7637230924130737
563.415668,0.7679581803395067
563.535271,0.7755211686203909
563.654873,0.769895875424341
563.774475,0.7708357215819426
563.894078,0.7661402745214128
564.01368,0.7718230230437034
564.133283,0.7755521900875609
564.252885,0.7783180762404809
564.372487,0.7797359049720163
564.49209,0.7851739448107858
564.611692,0.7821099087806211
564.731295,0.7847893038225667
564.850897,0.7866986607599878
564.970499,0.789149102056091
565.090102,0.7935172500964361
565.209704,0.7861009969188374
565.329307,0.7971678660286503
565.448909,0.7955114801058527
565.568511,0.7997228890565007
565.688114,0.8012838701520931
565.807716,0.7992911552750223
565.927319,0.8004749820005184
566.046921,0.8022219209328697
566.166523,0.8086735226899984
566.286126,0.8068721899668732
566.405728,0.8132147981204072
566.525331,0.8104302495935718
566.644933,0.8153237543669544
566.764535,0.8120933356860569
566.884138,0.8177488654247068
567.00374,0.8200991757505208
567.123342,0.8221273244471373
567.242945,0.8211249406897329
567.362547,0.8218396302330052
567.48215,0.8314783649417917
567.601752,0.8309380796163328
567.721354,0.832501712560437
567.840957,0.8294271476765639
567.960559,0.8357213791297547
568.080162,0.8329513848858204
568.199764,0.8377211419905899
568.319366,0.8407844112243408
568.438969,0.8390793500921367
568.558571,0.840549024544871
568.678174,0.8459288707823595
568.797776,0.844973511038289
568.917378,0.8481735551831558
569.036981,0.8510792746900349
569.156583,0.8505177476930318
