nu,[0]CFC-13B1-PNNL(x-sec)-X=0.01-T=278.09K-P=1.0atm-L=15cm
548.456569,0.9621335621112932
548.576372,0.9687409890341583
548.696174,0.9685027080606173
548.815976,0.9622769306927419
548.935779,0.957580010058115
549.055581,0.9624337946165072
549.175384,0.9649104305827274
549.295186,0.9612661089184724
549.414988,0.9468704458114964
549.534791,0.9530175118484144
549.654593,0.960651095434072
549.774395,0.965780206655963
549.894198,0.965025261756286
550.014,0.9600806381259779
550.133803,0.964743515516806
550.253605,0.9655272053864327
550.373407,0.9651372111795907
550.49321,0.9576470430049449
550.613012,0.958338713833117
550.732815,0.9649027113301597
550.852617,0.9625964596726075
550.972419,0.9540282460054387
551.092222,0.9462372013271464
551.212024,0.9551393814391553
551.331827,0.9624386067975108
551.451629,0.9663211950342984
551.571431,0.9593128807593708
551.691234,0.9619594316958291
551.811036,0.965613141131796
551.930839,0.9675037288278443
552.050641,0.9641166359896378
552.170443,0.9578270975736288
552.290246,0.9621451077833124
552.410048,0.9639325072970137
552.529851,0.9595613749740992
552.649653,0.9501171368891851
552.769455,0.950909865103067
552.889258,0.9607952039062524
553.00906,0.9646769505107545
553.128863,0.9621970650219656
553.248665,0.960183372250435
553.368467,0.9654403118482158
553.48827,0.967376994140671
553.608072,0.9673837658033309
553.727875,0.9606097883250776
553.847677,0.9603178073327863
553.967479,0.9638187699717868
554.087282,0.9637763628788709
554.207084,0.9563608299079585
554.326887,0.9483525098607262
554.446689,0.9577600520234204
554.566491,0.9616728104938639
554.686294,0.9636000079414331
554.806096,0.9609412558769147
554.925899,0.9601977751090399
555.045701,0.9675433972939242
555.165503,0.9659501989312158
555.285306,0.9624029972278404
555.405108,0.9574603200376398
555.52491,0.9636472254986429
555.644713,0.965234694960768
555.764515,0.9617006994097556
555.884318,0.9513949528211234
556.00412,0.9549932562926539
556.123922,0.960155527336393
556.243725,0.9671274430696551
556.363527,0.9618449653343408
556.48333,0.9612334264263747
556.603132,0.9650513177901083
556.722934,0.9674389082495264
556.842737,0.9660100897001442
556.962539,0.9584527629258495
557.082342,0.962678283849158
557.202144,0.9649229744998602
557.321946,0.9644329181136752
557.441749,0.9595047625230594
557.561551,0.9568362593748589
557.681354,0.9598454471817042
557.801156,0.9666527000540559
557.920958,0.9658149753692357
558.040761,0.9629141689234427
558.160563,0.9650146465367905
558.280366,0.9699575221902792
558.400168,0.9663250603268091
558.51997,0.9642612643318907
558.639773,0.9622076492478939
558.759575,0.964748339246443
558.879378,0.9648814837040153
558.99918,0.9624963548463428
559.118982,0.9550305017559311
559.238785,0.9615074169947077
559.358587,0.9654760338006062
559.47839,0.9658478136366456
559.598192,0.9644618515352178
559.717994,0.9659714500693539
559.837797,0.9666546333613893
559.957599,0.9677456349970625
560.077402,0.9663337572914883
560.197204,0.9647840355953734
560.317006,0.9657608912449845
560.436809,0.9659376416602522
560.556611,0.9652067035604914
560.676414,0.9606626233163844
560.796216,0.9610325496326078
560.916018,0.964697208939428
561.035821,0.966978516911031
561.155623,0.9668885920905272
561.275426,0.9658932095506821
561.395228,0.9676391888318592
561.51503,0.9689066579075681
561.634833,0.9693863854259978
561.754635,0.9660245799601664
561.874437,0.9674911513611232
561.99424,0.9669978566747662
562.114042,0.9680553631541237
562.233845,0.9638997341489123
562.353647,0.9629998720982116
562.473449,0.9667648382711531
562.593252,0.9688582137857858
562.713054,0.9692739431270678
562.832857,0.967909197830047
562.952659,0.9680553631541237
563.072461,0.9703601380990108
563.192264,0.9701457122034252
563.312066,0.9688892177446877
563.431869,0.9693068990013808
563.551671,0.9698779889343676
563.671473,0.9703446124610067
563.791276,0.9686722108655907
563.911078,0.9652115296060743
564.030881,0.9683893998724324
564.150683,0.9704901750697985
564.270485,0.9706279944596036
564.390288,0.9691091805619511
564.51009,0.9681260337750802
564.629893,0.97206072713202
564.749695,0.9710813835911385
564.869497,0.9703494641961983
564.9893,0.9706309063479548
565.109102,0.9718614751069883
565.228905,0.9710085552184672
565.348707,0.9715738466814636
565.468509,0.9673170186262945
565.588312,0.9685550086189549
565.708114,0.9724612986636676
565.827917,0.9745309506451354
565.947719,0.9726723456632489
566.067521,0.9712445389682497
566.187324,0.9739249808699709
566.307126,0.9732220608184564
566.426929,0.9723893391900998
566.546731,0.9718119114356422
566.666533,0.9724068423557334
566.786336,0.9731373941822173
566.906138,0.9719800494398385
567.025941,0.9704280656861155
567.145743,0.972578973599996
567.265545,0.9729885155504132
567.385348,0.9730498157578291
567.50515,0.9731500450505721
567.624952,0.9744286302672316
567.744755,0.9753069861029855
567.864557,0.9753381964259032
567.98436,0.9748126307906924
568.104162,0.9723786429661981
568.223964,0.9740340665765139
568.343767,0.974788260779549
568.463569,0.9752435932091802
568.583372,0.974039910798446
568.703174,0.97350141563541
568.822976,0.9748428504506492
568.942779,0.9765210229680639
569.062581,0.9758738041065967
569.182384,0.9766870456534968
569.302186,0.9757293854708317
569.421988,0.978662926127451
569.541791,0.9763062119730868
569.661593,0.9773797623079012
569.781396,0.9778128374616676
569.901198,0.9776632435417627
570.021,0.9775928543222699
570.140803,0.9757254825610956
570.260605,0.9763589339320133
570.380408,0.9767935103436933
570.50021,0.9771706254172128
570.620012,0.9778627071880454
570.739815,0.977265415565126
570.859617,0.978918390487819
570.97942,0.9793041603253387
571.099222,0.979391322274257
571.219024,0.9791474841941115
571.338827,0.9782157793510313
571.458629,0.9789536321842234
571.578432,0.9794295192806624
571.698234,0.9778216378168063
571.818036,0.9786492249423937
571.937839,0.9792503000776913
572.057641,0.9793462713096125
572.177444,0.9796273840272237
572.297246,0.9793658584309092
572.417048,0.9807408730775131
572.536851,0.9807026249293068
572.656653,0.9793570441778475
572.776456,0.9800614550979911
572.896258,0.9803163042052648
573.01606,0.9804525776423338
573.135863,0.9816347351052207
573.255665,0.9801408432910325
573.375468,0.9816818547033671
573.49527,0.9812284224374128
573.615072,0.9818507185042467
573.734875,0.9816023416934565
573.854677,0.9830738839112556
573.974479,0.981769228276502
574.094282,0.9811489461540283
574.214084,0.9830434090932164
574.333887,0.9824773391333779
574.453689,0.9835429220105746
574.573491,0.9819155227901859
574.693294,0.9815827098429418
574.813096,0.9820471082862711
574.932899,0.9829991731351237
575.052701,0.983718008232904
575.172503,0.9834239205167469
575.292306,0.9835724287408336
575.412108,0.984140113793605
575.531911,0.9837770330841258
575.651713,0.9835321030979366
575.771515,0.9841932587946519
575.891318,0.9839118197703355
576.01112,0.9843103847613053
576.130923,0.9821521929487869
576.250725,0.9839324821355048
576.370527,0.9844324468167067
576.49033,0.9844905300445073
576.610132,0.9845633850393322
576.729935,0.984608675996728
576.849737,0.9854922662100624
576.969539,0.9850469243605755
577.089342,0.9846904019084142
577.209144,0.9860847250781114
577.328947,0.9847898606615894
577.448749,0.985658828477167
577.568551,0.9861074052876095
577.688354,0.9853474094941589
577.808156,0.9858549941018663
577.927959,0.9856450293501624
578.047761,0.9853010992542118
578.167563,0.9861803799356296
578.287366,0.9860245757444549
578.407168,0.9860541569254427
578.526971,0.9863588947395002
578.646773,0.986044296433176
578.766575,0.9860886694249004
578.886378,0.9864180780486662
579.00618,0.9872499790854824
579.125983,0.9871492847231155
579.245785,0.9874277000761271
579.365587,0.986978522668202
579.48539,0.987349696369008
579.605192,0.9873220509645472
579.724994,0.9873556204849586
579.844797,0.9879600670664834
579.964599,0.9871719894177671
580.084402,0.987708169367703
580.204204,0.9880015622606931
580.324006,0.9879541393238642
580.443809,0.9877101447860172
580.563611,0.9882120290073675
580.683414,0.988613324548627
580.803216,0.988681541221469
580.923018,0.9877111324966558
581.042821,0.9880667725157171
581.162623,0.988915886515559
581.282426,0.9892274440875527
581.402228,0.9885322615796411
581.52203,0.9889346760959032
581.641833,0.9885480782223592
581.761635,0.9890068709623387
581.881438,0.9885302845170951
582.00124,0.988545112582573
582.121042,0.9891433633282882
582.240845,0.9890711584982735
