nu,[0]PFC-1114-HITRAN(x-sec)-X=0.01-T=293.0K-P=0.9737atm-L=15cm
239.28072,1.0
239.401265,1.0
239.521809,1.0
239.642354,1.0
239.762898,1.0
239.883443,1.0
240.003987,1.0
240.124531,1.0
240.245076,1.0
240.36562,1.0
240.486165,1.0
240.606709,1.0
240.727254,1.0
240.847798,1.0
240.968342,1.0
241.088887,1.0
241.209431,1.0
241.329976,1.0
241.45052,1.0
241.571065,1.0
241.691609,1.0
241.812153,1.0
241.932698,1.0
242.053242,1.0
242.173787,1.0
242.294331,1.0
242.414876,1.0
242.53542,1.0
242.655964,1.0
242.776509,1.0
242.897053,1.0
243.017598,1.0
243.138142,1.0
243.258687,1.0
243.379231,1.0
243.499776,1.0
243.62032,1.0
243.740864,1.0
243.861409,1.0
243.981953,1.0
244.102498,1.0
244.223042,1.0
244.343587,1.0
244.464131,1.0
244.584675,1.0
244.70522,1.0
244.825764,1.0
244.946309,1.0
245.066853,1.0
245.187398,1.0
245.307942,1.0
245.428486,1.0
245.549031,1.0
245.669575,1.0
245.79012,1.0
245.910664,1.0
246.031209,1.0
246.151753,1.0
246.272297,1.0
246.392842,1.0
246.513386,1.0
246.633931,1.0
246.754475,1.0
246.87502,1.0
246.995564,1.0
247.116108,1.0
247.236653,1.0
247.357197,1.0
247.477742,1.0
247.598286,1.0
247.718831,1.0
247.839375,1.0
247.95992,1.0
248.080464,1.0
248.201008,1.0
248.321553,1.0
248.442097,1.0
248.562642,1.0
248.683186,1.0
248.803731,1.0
248.924275,1.0
249.044819,1.0
249.165364,1.0
249.285908,1.0
249.406453,1.0
249.526997,1.0
249.647542,1.0
249.768086,1.0
249.88863,1.0
250.009175,1.0
250.129719,1.0
250.250264,1.0
250.370808,1.0
250.491353,1.0
250.611897,1.0
250.732441,1.0
250.852986,1.0
250.97353,1.0
251.094075,1.0
251.214619,1.0
251.335164,1.0
251.455708,1.0
251.576253,1.0
251.696797,1.0
251.817341,1.0
251.937886,1.0
252.05843,1.0
252.178975,1.0
252.299519,1.0
252.420064,1.0
252.540608,1.0
252.661152,1.0
252.781697,1.0
252.902241,1.0
253.022786,1.0
253.14333,1.0
253.263875,1.0
253.384419,1.0
253.504963,1.0
253.625508,1.0
253.746052,1.0
253.866597,1.0
253.987141,1.0
254.107686,1.0
254.22823,1.0
254.348774,1.0
254.469319,1.0
254.589863,1.0
254.710408,1.0
254.830952,1.0
254.951497,1.0
255.072041,1.0
255.192586,1.0
255.31313,1.0
255.433674,1.0
255.554219,1.0
255.674763,1.0
255.795308,1.0
255.915852,1.0
256.036397,1.0
256.156941,1.0
256.277485,1.0
256.39803,1.0
256.518574,1.0
256.639119,1.0
256.759663,1.0
256.880208,1.0
257.000752,1.0
257.121296,1.0
257.241841,1.0
257.362385,1.0
257.48293,1.0
257.603474,1.0
257.724019,1.0
257.844563,1.0
257.965107,1.0
258.085652,1.0
258.206196,1.0
258.326741,1.0
258.447285,1.0
258.56783,1.0
258.688374,1.0
258.808919,1.0
258.929463,1.0
259.050007,1.0
259.170552,1.0
259.291096,1.0
259.411641,1.0
259.532185,1.0
259.65273,1.0
259.773274,1.0
259.893818,1.0
260.014363,1.0
260.134907,1.0
260.255452,1.0
260.375996,1.0
260.496541,1.0
260.617085,1.0
260.737629,1.0
260.858174,1.0
260.978718,1.0
261.099263,1.0
261.219807,1.0
261.340352,1.0
261.460896,1.0
261.58144,1.0
261.701985,1.0
261.822529,1.0
261.943074,1.0
262.063618,1.0
262.184163,1.0
262.304707,1.0
262.425252,1.0
262.545796,1.0
262.66634,1.0
262.786885,1.0
262.907429,1.0
263.027974,1.0
263.148518,1.0
263.269063,1.0
263.389607,1.0
263.510151,1.0
263.630696,1.0
263.75124,1.0
263.871785,1.0
263.992329,1.0
264.112874,1.0
264.233418,1.0
264.353962,1.0
264.474507,1.0
264.595051,1.0
264.715596,1.0
264.83614,1.0
