nu,[0]Chloroform-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
625.149303,0.994757589648258
625.281706,0.9938654933930481
625.414108,0.9943569819789487
625.546511,0.9934164670417293
625.678914,0.9920860812583405
625.811316,0.9906715821812077
625.943719,0.98970832547009
626.076122,0.9878721425332142
626.208524,0.9868008825222145
626.340927,0.9847593326490954
626.473329,0.9828890833928733
626.605732,0.9807810842776332
626.738135,0.9803486551770917
626.870537,0.9775156275372767
627.00294,0.9744724805422174
627.135343,0.9783654578153825
627.267745,0.9796998791359276
627.400148,0.978925242940536
627.532551,0.9812048732378659
627.664953,0.9849247861146825
627.797356,0.9904270155605588
627.929759,0.9941276102822487
628.062161,0.9946365350159216
628.194564,0.9945099258438589
628.326967,0.9949432287340744
628.459369,0.9947120307939579
628.591772,0.9952417564796175
628.724174,0.9956920061423586
628.856577,0.9954750684904358
628.98898,0.9946363360886344
629.121382,0.9949064165156415
629.253785,0.9946678665602439
629.386188,0.9947005916713788
629.51859,0.9949141768159554
629.650993,0.9944864556865579
629.783396,0.9949302945561732
629.915798,0.9942724652274934
630.048201,0.9943854209953094
630.180604,0.9945219594867649
630.313006,0.9943185011083558
630.445409,0.9940047437029289
630.577812,0.9941492825003793
630.710214,0.9943659312320582
630.842617,0.9941459023985649
630.97502,0.9940987809995772
631.107422,0.9935951987405843
631.239825,0.9938161988870896
631.372227,0.9936308694485045
631.50463,0.9929999155324093
631.637033,0.9938583375872566
631.769435,0.9934399119470002
631.901838,0.9934226262429184
632.034241,0.9931525513491887
632.166643,0.9929114431814371
632.299046,0.9930277199193038
632.431449,0.9931548356026837
632.563851,0.9926958062349982
632.696254,0.9929496710078806
632.828657,0.9927306504693099
632.961059,0.9925641834978718
633.093462,0.9923101195884643
633.225865,0.9926648346090036
633.358267,0.9926650331419904
633.49067,0.9922811445560098
633.623072,0.9923334391502784
633.755475,0.9926471653322045
633.887878,0.9926220516766108
634.02028,0.99178770664289
634.152683,0.9923625149460038
634.285086,0.9921201103945241
634.417488,0.9926496469532199
634.549891,0.99240250796121
634.682294,0.9921834096767929
634.814696,0.992351698253542
634.947099,0.9922752901145275
635.079502,0.9921167371918832
635.211904,0.992318058101175
635.344307,0.9926003134917131
635.47671,0.9917438705950402
635.609112,0.9918527700505022
635.741515,0.992595549021643
635.873917,0.9925593199452883
636.00632,0.9924177910775123
636.138723,0.9918741943017164
636.271125,0.9924493504650601
636.403528,0.9920314188212273
636.535931,0.9924088593575854
636.668333,0.9923269890038869
636.800736,0.9922024597811391
636.933139,0.9921630701253756
637.065541,0.9923821639183239
637.197944,0.992459771237949
637.330347,0.992690147885029
637.462749,0.9926474631263988
637.595152,0.9925609080414708
637.727555,0.9928706353597289
637.859957,0.9930155057534661
637.99236,0.992637735228927
638.124762,0.9925040359308416
638.257165,0.9930587028674968
638.389568,0.9928744082753117
638.52197,0.9931742023108027
638.654373,0.9931560273892015
638.786776,0.9931480821727633
638.919178,0.9932062823556272
639.051581,0.9934088177643828
639.183984,0.9935722469565875
639.316386,0.9932591223353796
639.448789,0.9938666860323557
639.581192,0.9938046706860463
639.713594,0.9933678901642052
639.845997,0.9940284012973533
639.9784,0.9940331726451307
640.110802,0.9935130318152977
640.243205,0.9943557887512863
640.375608,0.9935852628382765
640.50801,0.9941185637621569
640.640413,0.9944697484544435
640.772815,0.9943527062531191
640.905218,0.9945064450652098
641.037621,0.994859955470864
641.170023,0.9948171774125136
641.302426,0.9947498305693192
641.434829,0.9950396434041541
641.567231,0.9947775844767572
641.699634,0.9946035136311171
641.832037,0.9948408543430904
641.964439,0.9950043201238051
642.096842,0.9950083996498806
642.229245,0.9954824350331988
642.361647,0.9950676044109841
642.49405,0.9952909226367816
642.626453,0.9952720122889005
642.758855,0.9960350811297483
642.891258,0.9954962723352148
643.02366,0.9953990171004031
643.156063,0.9954680006425404
643.288466,0.9955662581831336
643.420868,0.9960663571223263
643.553271,0.9958717447703905
643.685674,0.9962753537670319
643.818076,0.9958662674908568
643.950479,0.996261007505231
644.082882,0.9959459399791132
644.215284,0.9961806124859081
644.347687,0.9959230334859193
644.48009,0.9964864868832588
644.612492,0.9961449498583459
644.744895,0.9963529666400726
644.877298,0.9965567416570358
645.0097,0.9965406972226531
645.142103,0.9968081049628622
645.274505,0.9967901625784548
645.406908,0.9967603589981595
645.539311,0.9969083889024191
645.671713,0.9969514562750682
645.804116,0.9968288387870764
645.936519,0.9970012053939665
646.068921,0.9970086829310477
646.201324,0.9972105976325147
646.333727,0.9970158614194073
646.466129,0.9974223279167665
646.598532,0.9972252567360441
646.730935,0.9972584648900061
646.863337,0.9973173048751971
646.99574,0.9975283595457054
647.128143,0.997472699016186
647.260545,0.9974804793335814
647.392948,0.9972633514684561
647.525351,0.9974713025553849
647.657753,0.9974033770725698
647.790156,0.99757853648413
647.922558,0.9977025432030728
648.054961,0.997840734574838
648.187364,0.997440979888694
648.319766,0.9976515619056984
648.452169,0.9982726935139338
648.584572,0.997502224645054
648.716974,0.9979893241224336
648.849377,0.9979738554077925
648.98178,0.9972965608909939
649.114182,0.9978172855931021
649.246585,0.9981253593379007
649.378988,0.9979416213728453
649.51139,0.9978102011155243
649.643793,0.9976959583880176
649.776196,0.9978529083060594
649.908598,0.9977625069278112
650.041001,0.9978144917086139
650.173403,0.9976462743664323
650.305806,0.9975200800946808
650.438209,0.9977267876694418
650.570611,0.9977250915353444
650.703014,0.9977612098373954
650.835417,0.9976904710753366
650.967819,0.9979165733525028
651.100222,0.9977491369997971
651.232625,0.9977718859394576
651.365027,0.9979603828516844
651.49743,0.9974562408524323
651.629833,0.9976339036293289
651.762235,0.9978819462481912
651.894638,0.9973369522196288
652.027041,0.9973421383852644
652.159443,0.9973146121221091
652.291846,0.9973220920097496
652.424248,0.9974298086122785
652.556651,0.9971387013403179
652.689054,0.9973280759602535
652.821456,0.9969399913992442
