nu,[0]HFC-143-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
412.452919,1.0
412.573448,1.0
412.693977,1.0
412.814506,1.0
412.935035,1.0
413.055564,1.0
413.176093,1.0
413.296622,1.0
413.417151,1.0
413.53768,1.0
413.658208,1.0
413.778737,1.0
413.899266,1.0
414.019795,1.0
414.140324,1.0
414.260853,1.0
414.381382,1.0
414.501911,1.0
414.62244,1.0
414.742969,1.0
414.863498,1.0
414.984027,1.0
415.104556,1.0
415.225085,1.0
415.345614,1.0
415.466143,1.0
415.586672,1.0
415.707201,1.0
415.82773,1.0
415.948259,1.0
416.068788,1.0
416.189317,1.0
416.309846,1.0
416.430375,1.0
416.550904,1.0
416.671433,1.0
416.791962,1.0
416.912491,1.0
417.03302,1.0
417.153549,1.0
417.274078,1.0
417.394607,1.0
417.515136,1.0
417.635665,1.0
417.756194,1.0
417.876723,1.0
417.997252,1.0
418.117781,1.0
418.23831,1.0
418.358839,1.0
418.479368,1.0
418.599897,1.0
418.720426,1.0
418.840955,1.0
418.961484,1.0
419.082013,1.0
419.202542,1.0
419.323071,1.0
419.4436,1.0
419.564129,1.0
419.684658,1.0
419.805187,1.0
419.925716,1.0
420.046245,1.0
420.166774,1.0
420.287303,1.0
420.407832,1.0
420.528361,1.0
420.64889,1.0
420.769419,1.0
420.889948,1.0
421.010477,1.0
421.131006,1.0
421.251535,1.0
421.372064,1.0
421.492593,1.0
421.613122,1.0
421.733651,1.0
421.85418,1.0
421.974709,1.0
422.095238,1.0
422.215767,1.0
422.336296,1.0
422.456825,1.0
422.577354,1.0
422.697883,1.0
422.818412,1.0
422.938941,1.0
423.05947,1.0
423.179999,1.0
423.300528,1.0
423.421057,1.0
423.541586,1.0
423.662115,1.0
423.782644,1.0
423.903173,1.0
424.023702,1.0
424.144231,1.0
424.26476,1.0
424.385289,1.0
424.505818,1.0
424.626347,1.0
424.746876,1.0
424.867405,1.0
424.987934,1.0
425.108463,1.0
425.228992,1.0
425.349521,1.0
425.47005,1.0
425.590579,1.0
425.711108,1.0
425.831637,1.0
425.952166,1.0
426.072695,1.0
426.193224,1.0
426.313753,1.0
426.434282,1.0
426.554811,1.0
426.67534,1.0
426.795869,1.0
426.916398,1.0
427.036927,1.0
427.157456,1.0
427.277985,1.0
427.398514,1.0
427.519043,1.0
427.639572,1.0
427.760101,1.0
427.88063,1.0
428.001159,1.0
428.121688,1.0
428.242217,1.0
428.362746,1.0
428.483275,1.0
428.603804,1.0
