nu,[0]Pentafluoropropionaldehyde-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
619.102096,0.8048494803325866
619.162361,0.8044310673996046
619.222626,0.7579104804380745
619.282891,0.7953364868301955
619.343156,0.840952584923395
619.403421,0.8240698361951109
619.463686,0.8438335664341242
619.523951,0.9776720425505501
619.584216,1.0
619.64448,0.9192492267279199
619.704745,0.801957231375141
619.76501,0.8426530260122334
619.825275,0.9612411163245457
619.88554,1.0
619.945805,1.0
620.00607,1.0
620.066335,0.9955465461663713
620.1266,0.7779834714128911
620.186865,0.6813698649032276
620.24713,0.8203780568773811
620.307395,0.9129419335740636
620.36766,0.8660869251457456
620.427925,0.8291037341587052
620.48819,0.9262028572716539
620.548455,0.9626917614394748
620.60872,0.909103799913508
620.668985,0.919595849020593
620.72925,1.0
620.789515,1.0
620.84978,0.8546869649074484
620.910045,0.7370201843426849
620.97031,0.8767792751377967
621.030575,0.9816730196064328
621.09084,0.8884739063709012
621.151105,0.7586687700001028
621.21137,0.832177100196064
621.271635,0.8866544004935711
621.3319,0.759162065004111
621.392165,0.6137730773561535
621.45243,0.7317912377698048
621.512695,0.9042585073595931
621.57296,0.9009189329050006
621.633225,0.7775868010020232
621.693489,0.8196482452211209
621.753754,0.9081697214058098
621.814019,0.8765338113072981
621.874284,0.8055661152253061
621.934549,0.9278548222269326
621.994814,1.0
622.055079,0.9932610095295049
622.115344,0.8034984683734316
622.175609,0.8397676773348125
622.235874,0.9729447320523495
622.296139,0.9263306820856667
622.356404,0.7082628479638302
622.416669,0.7153595468170558
622.476934,0.8949566478829986
622.537199,1.0
622.597464,0.922656748895409
622.657729,0.8498970963025355
622.717994,0.9396573419647208
622.778259,1.0
622.838524,1.0
622.898789,0.9102563644234322
622.959054,0.8613537495420248
623.019319,0.8014601719960184
623.079584,0.7368433207229259
623.139849,0.7953364868301955
623.200114,0.8877811669274367
623.260379,0.9121297767165935
623.320644,0.8279438010734984
623.380909,0.8023663338754126
623.441174,0.8482668594058642
623.501439,0.8915266042537325
623.561704,0.9024066761949764
623.621969,0.8952878431100538
623.682234,0.8340933103234321
623.742499,0.684176057824226
623.802763,0.6559504673350879
623.863028,0.9283318621943262
623.923293,1.0
623.983558,1.0
624.043823,0.6613646017838342
624.104088,0.5429380792939887
624.164353,0.7429771414100652
624.224618,1.0
624.284883,1.0
624.345148,1.0
624.405413,0.9843054632216853
624.465678,0.9959252245190031
624.525943,0.8445004583392258
624.586208,0.7126178336156415
624.646473,0.750294111991673
624.706738,0.9756815759022875
624.767003,1.0
624.827268,0.9414613342221516
624.887533,0.8239544744935511
624.947798,0.8555677460057003
625.008063,0.9644078431837797
625.068328,0.8939459180408017
625.128593,0.741833837182504
625.188858,0.6226691254959231
625.249123,0.6869938079318795
625.309388,0.8829206027777473
625.369653,1.0
625.429918,1.0
625.490183,1.0
625.550448,0.9514796307400359
625.610713,0.9656633543206664
625.670978,1.0
625.731243,1.0
625.791508,1.0
625.851772,0.9170163289128233
625.912037,0.7950343163812216
625.972302,0.9780475407059211
626.032567,1.0
626.092832,1.0
626.153097,0.8056466758647934
626.213362,0.7127176070963283
626.273627,0.8965510893481485
626.333892,1.0
626.394157,1.0
626.454422,1.0
626.514687,1.0
626.574952,1.0
626.635217,1.0
626.695482,1.0
626.755747,0.9413323628541036
626.816012,0.8306140769499092
626.876277,0.606457880400314
626.936542,0.567082774010568
626.996807,0.8400868496911068
627.057072,1.0
627.117337,1.0
627.177602,0.884865166339469
627.237867,0.6986258113781492
627.298132,0.7995149881336371
627.358397,1.0
627.418662,0.9904783210087645
627.478927,0.8609145711297728
627.539192,0.8833798408827509
627.599457,1.0
627.659722,1.0
627.719987,0.9829274168146225
627.780252,1.0
627.840517,1.0
627.900781,1.0
627.961046,0.8939459180408017
628.021311,0.8780954309205613
628.081576,0.8780954309205613
628.141841,0.7982048581533255
628.202106,0.750601795648429
628.262371,0.8180760303995094
628.322636,1.0
628.382901,1.0
628.443166,0.9835537410422213
