nu,[0]Geraniol-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
679.415588,0.996059185470373
679.533591,0.999718319679353
679.651593,0.997944415613297
679.769595,0.9983332905055301
679.887598,0.9981164760617333
680.0056,0.9995185359410358
680.123602,0.9971413936184461
680.241605,0.9957667854199467
680.359607,0.9969433810009772
680.47761,0.9975899089442688
680.595612,0.9987758498837962
680.713614,0.9960129693963883
680.831617,0.9962001378172604
680.949619,0.9958506325131921
681.067621,0.9959239298170528
681.185624,0.9992939693570104
681.303626,0.9932157178601282
681.421628,0.993838758770858
681.539631,0.9999532590923903
681.657633,0.9953161038156649
681.775636,0.9963955118200812
681.893638,0.9998073085673793
682.01164,0.9989690318132541
682.129643,0.9951800534035309
682.247645,0.9952007533639206
682.365647,1.0
682.48365,0.9989799206350449
682.601652,0.9988564543472281
682.719654,0.9985552446653003
682.837657,0.9949682021225303
682.955659,0.9973043398345067
683.073661,0.9974100596975829
683.191664,0.9971938446352001
683.309666,0.997356899158142
683.427669,0.9948332935813283
683.545671,0.9998535707218135
683.663673,0.9997349651279486
683.781676,0.9991288896371188
683.899678,0.9996148941722927
684.01768,0.9992312156662213
684.135683,0.9996009096577451
684.253685,0.9978964156413146
684.371687,0.9957849085403612
684.48969,0.9964364645171891
684.607692,0.9963490808710799
684.725695,0.9961779228018853
684.843697,0.9973305692835601
684.961699,0.9960894661298749
685.079702,0.995120145367566
685.197704,0.9967933523120787
685.315706,0.9992003798667047
685.433709,0.9989083962333316
685.551711,0.9955388804874786
685.669713,0.9976096614200147
685.787716,1.0
685.905718,0.9985390682013664
686.02372,0.9977484385756457
686.141723,0.9955160829081487
686.259725,0.9945414523081999
686.377728,0.9949719830088821
686.49573,0.9983165186471337
686.613732,0.9960375712205637
686.731735,0.9950859138233513
686.849737,0.9997011446661547
686.967739,0.9982944560958636
687.085742,0.9998370132837783
687.203744,1.0
687.321746,0.9982915610461388
687.439749,0.999702874150631
687.557751,0.9966316855418631
687.675754,0.9998860164966132
687.793756,0.996135187685672
687.911758,0.9985864000749557
688.029761,0.9990522793711365
688.147763,0.9998253752486771
688.265765,0.9968794789783368
688.383768,0.9967857767113883
688.50177,0.9963899320208385
688.619772,1.0
688.737775,0.9955016480295997
688.855777,0.9955610812520511
688.973779,0.9986943530995597
689.091782,0.9988483636427153
689.209784,0.9949367616241058
689.327787,0.9955804948824178
689.445789,0.9991469640422148
689.563791,0.9944051100215657
689.681794,0.9971947421100641
689.799796,0.9981345421334474
689.917798,0.9967704263286252
690.035801,0.9986536072011752
690.153803,0.9994063262940122
690.271805,0.998940062131394
690.389808,0.99555630257033
690.50781,0.9968516664288601
690.625813,0.9990795738522498
690.743815,0.9991471139142706
690.861817,0.9978377410571246
690.97982,0.9988217946296118
691.097822,0.9980453128939871
691.215824,0.9966098595469453
691.333827,0.9963717978890968
691.451829,0.9981777622948316
691.569831,0.9998682486799676
691.687834,0.9968428941727936
691.805836,0.9958659687310214
691.923838,0.9968130890158471
692.041841,0.9999295474818952
692.159843,0.9977992252636794
692.277846,0.996651917370432
692.395848,0.9944060049865675
692.51385,0.9999538200663259
692.631853,0.9937639255298295
692.749855,0.9998730880540024
692.867857,0.9987661618050396
692.98586,0.9947197895780573
693.103862,0.9995588573320526
693.221864,0.9963748866464578
693.339867,0.9982122000216781
693.457869,0.998884322831068
693.575872,0.9978780545161897
693.693874,0.9979323405589223
693.811876,0.9976431816677754
693.929879,0.9984161556074962
