nu,[0]Trifluoroaceticacid-PNNL(x-sec)-X=0.01-T=298.16K-P=1.0atm-L=15cm
642.729855,0.9433216143883545
642.860057,0.9392693436096647
642.99026,0.941147879790915
643.120462,0.9423523780416015
643.250665,0.9408345297226266
643.380868,0.9413483656402954
643.51107,0.9373411270296584
643.641273,0.9391218898981373
643.771475,0.9381485252750972
643.901678,0.9376364359933926
644.031881,0.9346791160382855
644.162083,0.9341960118284927
644.292286,0.9318075286011728
644.422488,0.9326698493269793
644.552691,0.931542932837427
644.682894,0.9296696230325244
644.813096,0.9293926227599513
644.943299,0.9281787000732866
645.073501,0.9286763372113648
645.203704,0.9262436110939514
645.333907,0.9245991377443419
645.464109,0.9222398022819416
645.594312,0.9205223484547289
645.724514,0.9180063235377709
645.854717,0.9134514973280637
645.98492,0.9147367134285038
646.115122,0.9128771169977956
646.245325,0.9134514973280637
646.375528,0.9102636465034758
646.50573,0.9069064286093856
646.635933,0.9048102733205913
646.766135,0.9026593854419546
646.896338,0.8994156538744144
647.026541,0.8957893447095374
647.156743,0.8947955701838074
647.286946,0.8916514267156965
647.417148,0.8882429331830604
647.547351,0.8869115675571362
647.677554,0.8832385114148685
647.807756,0.8824527788425689
647.937959,0.8762796533567031
648.068161,0.8735411859788502
648.198364,0.8707241998298799
648.328567,0.866164876476766
648.458769,0.8645985360160838
648.588972,0.8586104090354689
648.719174,0.856106923508764
648.849377,0.8470038829364803
648.97958,0.8462757727294199
649.109782,0.8453031149761842
649.239985,0.8404481647136365
649.370187,0.8371014576569985
649.50039,0.8340182453034796
649.630593,0.8273727168974562
649.760795,0.8222095412903557
649.890998,0.8161802939136071
650.0212,0.812434486523706
650.151403,0.8079137267387132
650.281606,0.8035386443012401
650.411808,0.79362041404446
650.542011,0.7913776432901752
650.672213,0.7880608273774911
650.802416,0.7829393848285674
650.932619,0.7793461344702759
651.062821,0.7715143555720959
651.193024,0.7680964252536369
651.323226,0.7640286427560335
651.453429,0.7561163594725635
651.583632,0.7503766488834378
651.713834,0.7436758682731668
651.844037,0.737919897681125
651.974239,0.7299056498307357
652.104442,0.7264104977871421
652.234645,0.7205647495916849
652.364847,0.7153237797338996
652.49505,0.7090140046253691
652.625253,0.7043358337451862
652.755455,0.6965121789399044
652.885658,0.6917781273448012
653.01586,0.6859915288140931
653.146063,0.680559517016613
653.276266,0.6754001155141242
653.406468,0.6652848394722145
653.536671,0.6624633787553659
653.666873,0.6572045299762748
653.797076,0.6515116504989993
653.927279,0.6463849854499039
654.057481,0.6399981456848748
654.187684,0.6351716510526838
654.317886,0.6302176771429961
654.448089,0.62462113315708
654.578292,0.619074288355624
654.708494,0.6161283356830368
654.838697,0.6082495725941308
654.968899,0.5997634209132453
655.099102,0.5994995830566285
655.229305,0.5944551543066351
655.359507,0.5913187895391883
655.48971,0.5855931580857661
655.619912,0.5782725393929337
655.750115,0.576557617869994
655.880318,0.5695663483906348
656.01052,0.5683942493894146
656.140723,0.5645140536239558
656.270925,0.5593779031375026
656.401128,0.5532031417376778
656.531331,0.5473482634974248
656.661533,0.5463311419436008
656.791736,0.5438346666059429
656.921938,0.5416907566824771
657.052141,0.5355933935031831
657.182344,0.5339249462466177
657.312546,0.5285013073371869
657.442749,0.5245890944921509
657.572951,0.5240018836057992
657.703154,0.5185130929708665
657.833357,0.5135181009955693
657.963559,0.5108138708723027
658.093762,0.5062827354675382
658.223964,0.5074688242511969
658.354167,0.5025500711165531
658.48437,0.5018720862632907
