nu,[0]HFE-449s1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
852.105074,0.9999851171107513
852.346128,0.9999885120659868
852.587182,0.9999925868274777
852.828236,1.0
853.06929,0.999980857183226
853.310344,0.9999803151937483
853.551398,0.9999967438053015
853.792452,1.0
854.033506,0.9999937005198418
854.27456,0.9999891040593611
854.515614,0.9999763882787611
854.756668,0.9999771352614021
854.997722,0.9999887260635513
855.238776,0.9999846131183793
855.47983,0.9999876030768425
855.720884,0.9999988902006158
855.961938,0.999984038127392
856.202992,0.9999877900745417
856.444046,0.9999927644261769
856.6851,0.9999962091071855
856.926154,0.9999696194614979
857.167208,0.9999838221308631
857.408262,0.9999902245477801
857.649316,0.9999853241076919
857.89037,0.9999610867571399
858.131424,0.9999844561208073
858.372478,0.9999690554787916
858.613532,0.999988746063326
858.854586,0.9999688284858418
859.09564,0.9999814251725142
859.336694,0.9999720943893688
859.577748,0.9999786062288499
859.818802,0.9999867860873045
860.059856,0.9999615197403842
860.30091,0.99998898006072
860.541964,0.9999634666673585
860.783018,0.9999775962509677
861.024072,0.9999711824152345
861.265126,0.9999771592608536
861.50618,0.9999788062245912
861.747234,0.9999682615036767
861.988288,0.9999733933539631
862.229342,0.9999831341422302
862.470396,0.999967397531472
862.71145,0.9999690404792558
862.952504,0.999967765519542
863.193558,0.9999583348680158
863.434612,0.9999605847768003
863.675666,0.99995690792849
863.91672,0.9999721123888666
864.157774,0.999978877223089
864.398828,0.99997782224593
864.639882,0.999960559777786
864.880936,0.9999679355140766
865.12199,0.9999621457164914
865.363044,0.9999671815385375
865.604098,0.9999609637619338
865.845152,0.999967749520058
866.086206,0.9999592508302699
866.32726,0.9999601617935624
866.568314,0.9999591188356576
866.809368,0.9999733163560147
867.050422,0.9999713804095482
867.291476,0.9999665605591106
867.53253,0.9999667745519775
867.773584,0.9999659505796946
868.014638,0.9999479513545777
868.255692,0.9999683275015842
868.496746,0.9999729613655505
868.7378,0.9999589218437306
868.978854,0.9999595418184543
869.219908,0.9999622257134664
869.460962,0.9999766172733802
869.702016,0.9999647616208863
869.94307,0.9999663815651122
870.184124,0.9999640826450437
870.425178,0.999969945451647
870.666232,0.999966671555405
870.907286,0.9999628756891242
871.14834,0.999980361192844
871.389394,0.9999638976517055
871.630448,0.9999838891297814
871.871502,0.999977167260671
872.112556,0.9999886760641162
872.35361,0.9999721123888666
872.594664,0.9999725673762813
