nu,[0]Ethane-1-1-2-2-tetrafluoro-1-2-dimethoxy--HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
331.420778,0.8496336690360177
331.696273,0.8497526260764813
331.971768,0.8503306543695596
332.247263,0.848852365515232
332.522759,0.8477156651048049
332.798254,0.8463773319155767
333.073749,0.8456582168506478
333.349245,0.8453961034331029
333.62474,0.8452185888910612
333.900235,0.8452185888910612
334.17573,0.8449904106775056
334.451226,0.8443231318629062
334.726721,0.8438588818208461
335.002216,0.8444160125157534
335.277711,0.8445849126077027
335.553207,0.8450749139436663
335.828702,0.8440107900909081
336.104197,0.8442387037711949
336.379692,0.8440361107944194
336.655188,0.8449059158612491
336.930683,0.845514467172852
337.206178,0.847368172922877
337.481673,0.8476902340163199
337.757169,0.8486147201247951
338.032664,0.8493703234192961
338.308159,0.8507389110574235
338.583655,0.851206946156359
338.85915,0.8507133892729205
339.134645,0.8518200358433934
339.41014,0.8520244971863755
339.685636,0.8538668591348922
339.961131,0.855302561110221
340.236626,0.8573491789654043
340.512121,0.8586791006158184
340.787617,0.8596757463152812
341.063112,0.860527246727291
341.338607,0.8620086272136706
341.614102,0.8632767117094288
341.889598,0.8646677066657542
342.165093,0.866355453712318
342.440588,0.8673696828014805
342.716083,0.8690887761141792
342.991579,0.8705848951025825
343.267074,0.8725546419410519
343.542569,0.8742577835161898
343.818065,0.8764461623086904
344.09356,0.8772265466126485
344.369055,0.8779461673850648
344.64455,0.8792113205577652
344.920046,0.8802405998137676
345.195541,0.8820469439134913
345.471036,0.8833445063958101
345.746531,0.8850775594655461
346.022027,0.8856176214789878
346.297522,0.8886605054834601
346.573017,0.8906088045993144
346.848512,0.8904307006493832
347.124008,0.8906978699329667
347.399503,0.890119104436674
347.674998,0.8907334985603319
347.950493,0.8907334985603319
348.225989,0.8911878885041844
348.501484,0.8937313967640548
348.776979,0.8939459180408017
349.052474,0.893481187003962
349.32797,0.8930881417579755
349.603465,0.8923471861394351
349.87896,0.8929006129394214
