nu,[0]HCFO-1233zd-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
708.767828,0.997555492686094
708.88683,0.9964525072734117
709.005832,1.0
709.124834,0.9977714868307831
709.243836,0.9989691317101623
709.362838,1.0
709.48184,1.0
709.600842,1.0
709.719844,0.9925057231891368
709.838846,0.997381234963377
709.957848,0.9991374921738924
710.07685,1.0
710.195852,1.0
710.314854,0.9992456546616092
710.433856,0.9900718130994471
710.552858,0.9985193971754831
710.67186,0.9980632778713036
710.790862,0.9933132564326876
710.909864,0.9928849327998194
711.028866,0.9924090578393772
711.147868,1.0
711.26687,0.9953002784154266
711.385872,0.9960350811297483
711.504874,1.0
711.623876,0.9975141947435702
711.742878,1.0
711.86188,0.9971529605257
711.980882,0.9964854903972702
712.099884,0.9997866827553595
712.218886,0.9987547759356946
712.337888,1.0
712.45689,1.0
712.575892,0.9998620195201822
712.694894,0.9915606132612533
712.813896,0.9985682259678592
712.932898,1.0
713.0519,1.0
713.170902,0.9851247461415198
713.289904,0.9776280482985134
713.408906,0.9979824380198542
713.527908,1.0
713.64691,0.9988331812629744
713.765912,1.0
713.884914,0.9960666559422782
714.003916,0.9996360362508812
714.122918,0.9937028109277027
714.24192,0.998692555451342
714.360922,1.0
714.479924,0.9990855084025441
714.598926,0.9943243676048185
714.717928,1.0
714.83693,1.0
714.955932,1.0
715.074934,0.9992657896644102
715.193936,0.9971316216806713
715.312938,0.9986762768953588
715.43194,0.9984071699025315
715.550942,1.0
715.669944,0.9923572554386123
715.788946,0.9990950896785118
715.907948,1.0
716.02695,1.0
