nu,[0]Acrolein-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
589.46883,0.8673523355812972
589.588032,0.8761131760384113
589.707234,0.8791761528083025
589.826436,0.8841929242973843
589.945638,0.8878788282270718
590.06484,0.8875770007390551
590.184042,0.8867696730581897
590.303244,0.8846882110023246
590.422446,0.8869470447293772
590.541648,0.8882873464400417
590.66085,0.8893272508608355
590.780052,0.8905375587448187
590.899254,0.8903683726818421
591.018456,0.8874261254736904
591.137658,0.8865568738735793
591.25686,0.8915890133003215
591.376062,0.8918119384181252
591.495264,0.8870978385440923
591.614466,0.8824616034144801
591.733668,0.8801261759735025
591.85287,0.873925628671871
591.972072,0.8673870303686115
592.091274,0.8605874857429029
592.210476,0.8601486980255526
592.329678,0.8497101395073505
592.44888,0.8345021161947496
592.568082,0.8109166536499528
592.687284,0.7856059092597661
592.806486,0.7472242037448417
592.925688,0.6534037765421441
593.04489,0.6311763364087215
593.164092,0.7467760036960553
593.283294,0.8089242503428106
593.402496,0.8381317259350165
593.521698,0.8552426920263857
593.6409,0.8652991445384027
593.760102,0.8731219868254257
593.879304,0.8754738468034656
593.998506,0.8776564929487385
594.117708,0.8779812859341265
594.23691,0.8837597758945038
594.356112,0.8906978699329667
594.475314,0.895646029879876
594.594516,0.8976994095106342
594.713718,0.8950819505846866
594.83292,0.9014145746070722
594.952122,0.9065627761991879
595.071324,0.9107999497170582
595.190526,0.910185367195935
595.309728,0.9099305509690567
595.42893,0.9084358541207205
595.548132,0.9067867248614303
595.667334,0.9017211076701064
595.786536,0.9036528570751639
595.905738,0.9046112369552637
596.02494,0.9099414702011835
596.144142,0.915806665911882
596.263344,0.916492862053025
596.382546,0.9182211621526164
596.501748,0.9147531788375337
596.62095,0.9161318349923775
596.740152,0.9121680869717252
596.859354,0.9181008830588271
596.978556,0.9190176051083343
597.097758,0.9179916355540986
597.21696,0.9120349201524417
597.336162,0.9122510980445863
597.455364,0.9184296220157244
597.574566,0.9235142952837555
597.693768,0.9228597557100968
597.81297,0.9226004685502944
597.932172,0.9218765113728513
598.051374,0.9184378879195191
598.170576,0.9153809148070363
598.289778,0.9143964946557235
598.40898,0.9157617924846603
598.528182,0.9099187219487829
598.647384,0.9035896035890665
598.766586,0.9099287311097746
598.885788,0.9225792489835437
599.00499,0.9257046941523367
599.124192,0.9266781212322173
599.243394,0.9242284478184039
599.362596,0.9243356645368003
599.481798,0.922069203699375
599.601,0.9234404170952997
599.720202,0.9217981551995691
599.839404,0.9173153249697581
599.958606,0.9159696940074843
600.077808,0.9117175872193616
600.19701,0.908697521324976
600.316212,0.9123760850064297
600.435414,0.9193466723104777
600.554616,0.9210978547494962
600.673818,0.9225681780989814
600.79302,0.921279328901499
600.912222,0.9222628585652011
601.031424,0.921510599036241
601.150626,0.9166514290338086
601.269828,0.9087465923160324
601.38903,0.9000454652403873
601.508232,0.9100688709248543
601.627434,0.9224233462646163
601.746636,0.930220150389379
601.865838,0.929104555699597
601.98504,0.9288509447753572
602.104242,0.9256806261431743
602.223444,0.9243837312410796
602.342646,0.9250624779693867
602.461848,0.925420546430139
602.58105,0.9214083170365039
602.700252,0.9094784278471274
602.819454,0.9100625004650544
602.938656,0.8978699886029419
603.057858,0.8807953261120866
603.17706,0.8979238624184563
603.296262,0.9140170988405182
603.415464,0.920837220938026
603.534666,0.9263223451470441
603.653868,0.9249746012081919
603.77307,0.9253030254834804
603.892272,0.9227379462619436
604.011474,0.9170502591446984
604.130676,0.908869281387321
604.249878,0.9128205203710553
604.36908,0.9245982131456665
604.488282,0.9274716973060948
604.607484,0.9309190081105494
604.726686,0.929659396722916
604.845888,0.9261120938391221
604.96509,0.9232880619961203
605.084292,0.9271499204586414
605.203494,0.9280237071726418
605.322696,0.9260352297252383
605.441898,0.9227499419332167
605.5611,0.9130934945142469
605.680302,0.8982651383244908
605.799504,0.8810507937976831
605.918706,0.8768844949638765
606.037908,0.9008558707868972
606.15711,0.9171447201860504
606.276312,0.9240371523294716
606.395514,0.9276906064569228
606.514716,0.9292643754272799
606.633918,0.9291092012339893
606.75312,0.9239678521418364
606.872322,0.9135784759109994
606.991524,0.9119118037487653
607.110726,0.9270701889939841
607.229928,0.9302294526373941
607.34913,0.9289847089421938
607.468332,0.9303950482175329
607.587534,0.9273854464489724
607.706736,0.92512908486562
607.825938,0.9251910705908045
607.94514,0.9300955092403703
608.064342,0.9283949909073074
608.183544,0.9256019466338785
608.302746,0.9209514118331115
608.421948,0.9141761516529098
608.54115,0.9011532022812552
608.660352,0.8820028426688359
608.779554,0.8817823695184608
