nu,[0]Cineole-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
572.613852,0.9204321416847843
572.749455,0.8741091723253012
572.885058,0.9044846002468664
573.02066,0.9021901245799229
573.156263,0.8784467393499313
573.291866,0.9067014909153516
573.427469,0.8881629949163498
573.563071,0.8940174365749481
573.698674,0.8930077674421157
573.834277,0.8809362646390461
573.969879,0.9112700437649461
574.105482,0.8750187187466781
574.241085,0.8805663490955995
574.376688,0.9082405614068035
574.51229,0.8684632574091332
574.647893,0.8961387706876109
574.783496,0.9025059463891184
574.919098,0.885750474085906
575.054701,0.908082541297267
575.190304,0.8921687345479612
575.325907,0.8959685204954607
575.461509,0.9082205803342452
575.597112,0.8895762973559588
575.732715,0.9192924324569027
575.868317,0.8963986886173886
576.00392,0.8995595718921687
576.139523,0.9274921019078853
576.275126,0.8921508913517028
576.410728,0.9123633118306521
576.546331,0.9184397247971318
576.681934,0.8964524741522555
576.817536,0.920287645181812
576.953139,0.9122501857939443
577.088742,0.9133400630430193
577.224344,0.9123322920053899
577.359947,0.9056711571759103
577.49555,0.928220469054585
577.631153,0.9038516825737233
577.766755,0.913173850277366
577.902358,0.9304015610056652
578.037961,0.8985436436834716
578.173563,0.9257889371125011
578.309166,0.9229455856584087
578.444769,0.9068547364161964
578.580372,0.9269728517344352
578.715974,0.9131510212164734
578.851577,0.9238486679764542
578.98718,0.9162243689805994
579.122782,0.914107591012592
579.258385,0.9341801306312821
579.393988,0.9039239936007317
579.529591,0.9225377338514369
579.665193,0.9396761352994929
579.800796,0.9034631098993289
579.936399,0.9334153503245795
580.072001,0.9288973884836791
580.207604,0.912702774118724
580.343207,0.9305150769204379
580.47881,0.9146992099920789
580.614412,0.9280766060315538
580.750015,0.9217428489694607
580.885618,0.9193999959638427
581.02122,0.9422722814936195
581.156823,0.9116090992816428
581.292426,0.9294558236071034
581.428029,0.9470115400191798
581.563631,0.9136853708459127
581.699234,0.9356236188391079
581.834837,0.9335469711680265
581.970439,0.9174088959049416
582.106042,0.9380378302802478
582.241645,0.9323565248990571
582.377248,0.9381241337305315
