nu,[0]Methylpivalate-PNNL(x-sec)-X=0.01-T=278.12K-P=1.0atm-L=15cm
576.775536,0.9721657153598124
576.894538,0.9730021374849842
577.01354,0.9745650598253152
577.132543,0.9716953010030358
577.251545,0.9730926308916485
577.370547,0.9651236993532173
577.48955,0.9673247571933977
577.608552,0.9661240856163557
577.727555,0.9695308347586343
577.846557,0.9690665406960902
577.965559,0.964240050817425
578.084562,0.9638534680720678
578.203564,0.9632589539087472
578.322566,0.9626445906988568
578.441569,0.9585524471966861
578.560571,0.9636048259535178
578.679574,0.9593992228039728
578.798576,0.9564966427882916
578.917578,0.9579525811424053
579.036581,0.9617891799441434
579.155583,0.9565903840525318
579.274585,0.9559955698400482
579.393588,0.9528326443838397
579.51259,0.9497998507551981
579.631593,0.9522058867297171
579.750595,0.9505951660232889
579.869597,0.9475960264348885
579.9886,0.9483932898954146
580.107602,0.9500810331239592
580.226605,0.9406209845226767
580.345607,0.9485194345914071
580.464609,0.948485288506395
580.583612,0.9440727973245527
580.702614,0.943196160956479
580.821616,0.9438226511790899
580.940619,0.939190448298451
581.059621,0.9389575579468703
581.178624,0.9363602444512925
581.297626,0.9390364336944728
581.416628,0.9364033180132215
581.535631,0.9346333178836636
581.654633,0.9345678958412099
581.773635,0.9350829846457522
581.892638,0.9343875416420526
582.01164,0.9352718904874984
582.130643,0.9331316351849669
582.249645,0.9331344345840716
582.368647,0.9350483872153768
582.48765,0.9335721772765291
582.606652,0.9316006902897254
582.725655,0.9307421503010324
582.844657,0.9300852782460393
582.963659,0.9318997821129779
583.082662,0.927793585829489
583.201664,0.9284052033083754
583.320666,0.9341782622728892
583.439669,0.9371011984133121
583.558671,0.9323481337280933
583.677674,0.9337953276923106
583.796676,0.9349894810225468
583.915678,0.9306593179357505
584.034681,0.9344398688095316
584.153683,0.9332809481913185
584.272685,0.9341222132586401
584.391688,0.9312923814891609
584.51069,0.9302964315691966
584.629693,0.932682906796272
584.748695,0.933560040917111
584.867697,0.9314944938643437
584.9867,0.9356348463898992
585.105702,0.9366571177007075
585.224704,0.9370018709507287
585.343707,0.9364866616172601
585.462709,0.9330178000695576
585.581712,0.9339111254922596
585.700714,0.9389631917091192
585.819716,0.9331195045525588
585.938719,0.9336944832426182
586.057721,0.9329916759368952
586.176724,0.9344800505877924
586.295726,0.9285816170557794
