nu,[0]Octane-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
632.686654,0.9951297980797916
632.804656,0.9964329769956665
632.922658,0.9985758151152153
633.040661,0.9946278817157088
633.158663,1.0002099920452434
633.276666,1.0018916869865697
633.394668,1.0000333825571852
633.51267,1.001201521248983
633.630673,0.9991723127222392
633.748675,0.993824050066073
633.866677,0.9955931388349918
633.98468,0.9921128679441532
634.102682,0.9940777063288123
634.220684,0.99961315484389
634.338687,0.992244232384003
634.456689,0.9954286804330942
634.574691,0.9978277627296057
634.692694,0.9964580874230768
634.810696,1.0027911881322695
634.928699,0.9990957690634038
635.046701,0.9967047413218749
635.164703,0.9996798412617504
635.282706,0.9987225166774217
635.400708,0.9991498915471082
635.51871,0.9965064168122951
635.636713,1.0018204550199514
635.754715,0.9993588756081279
635.872717,0.9978554029414485
635.99072,0.9996330073582801
636.108722,0.9943129329403405
636.226725,0.9951978672859206
636.344727,0.995685932439646
636.462729,0.9981954301975846
636.580732,0.9974003848669268
636.698734,0.9966945749853618
636.816736,0.9970753850430966
636.934739,0.9982647073643303
637.052741,0.9976011817739312
637.170743,0.999049132361413
637.288746,0.9948442368077454
637.406748,1.0010046042771725
637.52475,0.9963603396793059
637.642753,0.999346613549952
637.760755,1.0039612249941592
637.878758,0.9979677677858417
637.99676,1.0000432639358572
638.114762,0.9997123813701708
638.232765,0.9985751161123894
638.350767,0.9981147792651662
638.468769,0.9961126752848214
638.586772,1.001340297396793
638.704774,0.999919114271427
638.822776,0.9963168993155027
638.940779,0.9981031013905646
639.058781,0.996249351319632
639.176784,0.9985475558195185
639.294786,1.000350851534007
639.412788,0.996765342812414
639.530791,0.9949591479530876
639.648793,0.990396708957576
639.766795,0.995487711104086
639.884798,1.0037333516606874
640.0028,0.996620124681364
640.120802,0.9959197469453316
640.238805,0.9981294516602632
640.356807,0.9942799222989466
640.474809,0.9979581873412572
640.592812,0.9995733310490963
640.710814,1.0002315368005081
640.828817,0.9958970402339588
640.946819,0.9946296720475073
641.064821,0.9979816396342231
641.182824,0.998533875811712
641.300826,0.9965548482010254
641.418828,0.9953665676213751
641.536831,1.0000696764272896
641.654833,0.9991910573706501
641.772835,0.9990459953520625
641.890838,0.9924035996045691
642.00884,0.9981704756237632
642.126843,0.9980264500158282
642.244845,0.996636270058161
642.362847,0.9980216595003654
642.48085,1.0013314856409476
642.598852,0.9973172051434717
642.716854,1.0035139595304479
642.834857,0.9967374337735436
642.952859,0.9989157881828139
643.070861,0.9986293402133654
643.188864,0.9987649632863645
643.306866,0.9986499121896644
643.424868,0.9979456131473143
643.542871,0.998078947587773
643.660873,0.9971300262713528
643.778876,0.997986130561706
643.896878,0.9980114797313554
644.01488,0.9981405309586667
644.132883,0.9974949429053924
644.250885,0.9984694724537528
644.368887,0.9982467387613156
644.48689,0.9987098329820016
644.604892,0.9989042008268777
644.722894,0.996383455507329
644.840897,0.9974706043257174
644.958899,0.9937540873156661
645.076902,0.9982905627550769
645.194904,0.9923370115570896
645.312906,0.9983183156184845
645.430909,0.9966131483649083
645.548911,0.9958570059776353
645.666913,1.0004509216346087
645.784916,0.9961035110903641
645.902918,0.9980782489327543
646.02092,0.9999436195894351
646.138923,0.9969298226631925
646.256925,0.996979072212886
646.374927,0.9984904405328384
646.49293,1.0013121601297665
646.610932,1.0019793563446595
646.728935,0.9987442890656034
646.846937,0.9986791730607611
646.964939,0.9968853605846135
647.082942,0.9979768493338496
647.200944,0.9949997431144597
647.318946,0.9936091091707395
647.436949,0.9976938632287049
647.554951,0.9964175324042189
647.672953,0.9994147213424122
647.790956,0.9967076317698159
647.908958,0.9976195378045508
648.026961,0.995710725328034
648.144963,0.996540298606454
648.262965,1.0002064813143325
648.380968,0.9974414786093087
648.49897,0.9983527581945043
648.616972,0.9938317025407204
648.734975,0.995264945882699
648.852977,1.0007788731642955
648.970979,0.9976007827335382
649.088982,0.9951104927489712
649.206984,0.9946603071131839
649.324986,0.9988853217158903
649.442989,0.9981511113043706
649.560991,0.997791342680936
649.678994,0.9972684375245181
649.796996,1.000144650460869
649.914998,1.0017846906681045
650.033001,0.9983313936740802
650.151003,1.0013273801902727
650.269005,0.9979113841998132
650.387008,0.99468776011651
650.50501,0.997559782183935
650.623012,0.9981982251487022
650.741015,0.9937108599530697
650.859017,1.0007761110184175
650.97702,1.0004462695486391
651.095022,0.9972493898792669
651.213024,0.9955177752869282
651.331027,0.9957798300502778
651.449029,1.002109121073391
651.567031,0.9976140509121818
651.685034,0.9982508315813348
651.803036,0.9975740473908162
651.921038,0.9988370767199775
652.039041,0.9982482361325468
652.157043,0.9982886660048096
652.275046,0.9974973368961282
652.393048,1.0011099155008156
652.51105,1.0005264285148807
652.629053,0.9960678512229825
652.747055,0.9990141262931249
652.865057,0.9995248029419032
652.98306,0.9968587441008175
653.101062,0.9993971018161915
653.219064,0.9943608599787406
653.337067,0.9961637771758157
653.455069,0.994108622626225
653.573071,0.9945021686966902
653.691074,0.9944384231507433
653.809076,0.9968302343484277
653.927079,0.9963633287648086
654.045081,1.000606233685407
654.163083,0.9985224925904123
654.281086,0.9966636779324441
654.399088,0.9992445355071027
654.51709,1.0000312004867251
654.635093,0.9998428223537007
654.753095,0.9973803373206696
654.871097,0.9990506908792751
654.9891,0.9984090668779564
655.107102,1.0000276033809663
655.225105,0.9982101037782591
655.343107,0.9982148951982567
655.461109,0.9978686745065634
655.579112,0.9988337805630629
655.697114,0.9957041536589333
655.815116,0.9989861143297533
655.933119,0.9989208826663245
656.051121,0.9994425954076924
656.169123,0.9987558745665523
656.287126,0.9981584976499237
656.405128,0.9945170863411027
656.52313,0.9950087976533202
656.641133,0.9915498053094722
656.759135,0.9968793792903938
656.877138,0.9952846523237205
656.99514,1.0001987097401654
657.113142,1.000673406636509
657.231145,0.9976705174654519
657.349147,0.996225541244667
657.467149,0.9946554332896199
657.585152,0.9991646890665774
657.703154,0.9964897752940914
657.821156,0.9977341708749883
657.939159,0.9967355399742185
658.057161,0.9949713860258714
658.175164,0.9949021384272484
658.293166,0.9962103987315235
658.411168,0.9937064876349051
658.529171,0.997636597244505
658.647173,0.9971330176659188
658.765175,0.9968507692627641
658.883178,0.9979226606621665
659.00118,1.0000079998319984
659.119182,0.9980496044980596
659.237185,0.9982933579725659
659.355187,0.9951518902065307
659.473189,0.9991533685947809
659.591192,0.9945537846986692
659.709194,0.9970095802392661
659.827197,0.9994966267348537
659.945199,0.9962686787445231
660.063201,0.9949325828984823
660.181204,0.9969737882378058
660.299206,0.9965057192580474
660.417208,0.9978453246527743
660.535211,0.9960464359943957
660.653213,0.9975524002688599
660.771215,0.9961793174519535
660.889218,0.9933167330351692
661.00722,0.9959406614796192
661.125223,0.9964961528490615
661.243225,0.9977163115931706
661.361227,1.0023793261144351
661.47923,0.993522172177236
661.597232,0.9958446574273223
661.715234,0.9927555683213544
661.833237,0.9960350811297483
661.951239,0.9966867011293212
662.069241,0.9950642211868805
662.187244,0.9955262372239814
662.305246,0.9962166748768053
662.423248,0.9978178842836531
662.541251,0.9992732142368096
662.659253,0.9951103932379269
662.777256,0.9964076679194774
662.895258,0.9956879238135022
663.01326,0.9977585158857656
663.131263,0.9950091956569188
663.249265,0.9965603292677634
663.367267,0.9976545548648735
663.48527,0.9977790699228987
663.603272,0.9958361927837089
663.721274,0.999086087872307
663.839277,0.9974149470188494
663.957279,0.997713019134775
664.075282,0.9957729591931549
664.193284,0.9968756908435141
664.311286,0.9956176307274561
664.429289,0.9954171335273734
664.547291,0.9956556640473817
664.665293,0.9982656058029712
664.783296,0.9984489041944741
664.901298,1.0000725466313796
665.0193,0.9980248531747856
665.137303,0.9986260447419801
665.255305,0.9978550037993672
