nu,[0]HFC-236fa-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
511.528342,1.0
511.648871,1.0
511.7694,1.0
511.88993,1.0
512.010459,1.0
512.130989,1.0
512.251518,1.0
512.372048,1.0
512.492577,1.0
512.613106,1.0
512.733636,1.0
512.854165,1.0
512.974695,1.0
513.095224,1.0
513.215754,1.0
513.336283,1.0
513.456812,1.0
513.577342,1.0
513.697871,1.0
513.818401,1.0
513.93893,1.0
514.05946,1.0
514.179989,1.0
514.300518,1.0
514.421048,1.0
514.541577,1.0
514.662107,1.0
514.782636,1.0
514.903166,1.0
515.023695,1.0
515.144225,1.0
515.264754,1.0
515.385283,1.0
515.505813,1.0
515.626342,1.0
515.746872,1.0
515.867401,1.0
515.987931,1.0
516.10846,1.0
516.228989,1.0
516.349519,1.0
516.470048,1.0
516.590578,1.0
516.711107,1.0
516.831637,1.0
516.952166,1.0
517.072695,1.0
517.193225,1.0
517.313754,1.0
517.434284,1.0
517.554813,1.0
517.675343,1.0
517.795872,1.0
517.916402,1.0
518.036931,1.0
518.15746,1.0
518.27799,1.0
