nu,[0](Perfluoro-n-octyl)ethylene-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
667.856432,0.2411828305790579
667.916697,0.2392849925480349
667.976962,0.2366199527130642
668.037227,0.23501639530882626
668.097492,0.23485194139769414
668.157757,0.23438270690580212
668.218022,0.23309714056595168
668.278287,0.23216661429692728
668.338552,0.23177226634335515
668.398817,0.23059323686571728
668.459082,0.2283901336072541
668.519347,0.22677430663221806
668.579612,0.22629858027579408
668.639877,0.2256883982255029
668.700142,0.22463015158151137
668.760407,0.22424860473053532
668.820672,0.22463015158151137
668.880937,0.22400206688600546
668.941202,0.22210611851323414
669.001467,0.22097626089470918
669.061732,0.22159586146120183
669.121997,0.22219497873149827
669.182262,0.22150724084192278
669.242527,0.22082163163863655
669.302792,0.22135224002994683
669.363057,0.22279571580417368
669.423322,0.22393487634502476
669.483587,0.22447296549695234
669.543852,0.22424860473053532
669.604117,0.2229517274029257
669.664381,0.22159586146120183
669.724646,0.22172885887331226
669.784911,0.22355451045784708
669.845176,0.22553047162750298
669.905441,0.2264570447380783
669.965706,0.22668361504909104
670.025971,0.2264570447380783
670.086236,0.2252374725050809
670.146501,0.22333106768739466
670.206766,0.2222616472248917
670.267031,0.22241728484476087
670.327296,0.22286256454572478
670.387561,0.22317479064336024
670.447826,0.22386770595818306
670.508091,0.22463015158151137
670.568356,0.22454031748889508
670.628621,0.22371105339880473
670.688886,0.22333106768739466
670.749151,0.22415892322613973
670.809416,0.22562070186099764
670.869681,0.22731921860094012
670.929946,0.22916798165387117
670.990211,0.230985578764514
671.050476,0.23256163321217632
671.110741,0.23438270690580212
671.171006,0.23671461962626986
671.231271,0.23897412416595143
671.291536,0.2400279269783342
671.351801,0.2400999461587646
671.412066,0.24043632149117827
671.472331,0.24166567892761512
671.532596,0.24331460554094925
671.592861,0.24480336072167141
671.653126,0.245735383213615
671.713391,0.2456371087165393
671.773656,0.24497478306499698
671.833921,0.24507279257881898
671.894186,0.24632585641774551
671.95445,0.2474863128793876
672.014715,0.24783303636722875
672.07498,0.24800658022594996
672.135245,0.24910021340754943
672.19551,0.2505491926230687
672.255775,0.2513019688006222
672.31604,0.2514779417621336
672.376305,0.252082213658588
672.43657,0.2540561432426901
672.496835,0.2572775025929835
672.5571,0.2607221495026028
672.617365,0.26276373409782106
672.67763,0.26257986384604876
672.737895,0.261871854456456
672.79816,0.26313186095423013
672.858425,0.2668149318639969
672.91869,0.270766081159656
672.978955,0.27354202845125036
673.03922,0.2760702269940971
673.099485,0.27926335992799073
673.15975,0.2825216766033636
673.220015,0.2842503258505983
673.28028,0.28444937073627596
673.340545,0.28464855500215114
673.40081,0.28667675131948533
673.461075,0.2905150200197791
673.52134,0.2942869403572507
673.581605,0.2957029132873307
