nu,[0]2-3-Butanedione-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
645.799504,0.9993812315162252
645.918706,0.9999937930192634
646.037908,0.9989401620254053
646.15711,0.9999884840663089
646.276312,0.998876631451394
646.395514,0.999705923249047
646.514716,0.9992349927673553
646.633918,0.9998991550851903
646.75312,0.9991757498809068
646.872322,0.9993921847945464
646.991524,0.9991011741861353
647.110726,0.9996506710295782
647.229928,0.9997548800468059
647.34913,0.9987948268052241
647.468332,0.9997318559570418
647.587534,0.9994463033465996
647.706736,0.9996896381721996
647.825938,0.9993003748518836
647.94514,0.9998205860965997
648.064342,0.9991751703591399
648.183544,0.9997133710859183
648.302746,0.9994539291509865
648.421948,0.9997706563032873
648.54115,0.9993373596431563
648.660352,0.999419138765243
648.779554,0.9995372970800281
648.898756,0.999460965331415
649.017958,0.9996760624790924
649.13716,0.9992852455587374
649.256362,0.9994170999522795
649.375564,0.9992694269985044
649.494766,0.9990574444847726
649.613968,0.9988541569800251
649.73317,0.9998415825493697
649.852372,0.9993660010623132
649.971574,0.9991937451982096
650.090776,0.9992242210721928
650.209978,0.9994600458277499
650.32918,0.9990351957232249
650.448382,0.9994273840071494
650.567584,0.9994128324503738
650.686786,0.9987863370852776
650.805988,0.9993311837573572
650.92519,0.9984953331479839
651.044392,0.9987967245171979
651.163594,0.9981854482931923
651.282796,0.9992524895252624
651.401998,0.9984686736784943
651.5212,0.9989693315040087
651.640402,0.9982139968052552
651.759604,0.9986385276455574
651.878806,0.9987422915790227
651.998008,0.9993409672575363
652.11721,0.9987297075054287
652.236412,0.9986612968635559
652.355614,0.9990623099063746
652.474816,0.9987142273149342
652.594018,0.9994768868714076
652.71322,0.9986086687999728
652.832422,0.9995403356780299
652.951624,0.9993131060197566
653.070826,0.9991843328374621
653.190028,0.9986940534912987
653.30923,0.9992388797990375
653.428432,0.9993287653788187
653.547634,0.999133685467299
653.666836,0.9991697848194858
653.786038,0.9989994009334295
653.90524,0.9995088806386139
654.024442,0.9992795796274581
654.143644,0.9996348466847057
654.262846,0.9990374535453185
654.382048,0.9994053168941324
654.50125,0.9988424704547548
654.620452,0.9998049490249153
654.739654,0.998795925480138
654.858856,0.9995656443597359
654.978058,0.9992075741353391
655.09726,0.9996429337633276
655.216462,0.9988352788148575
655.335664,0.9992875938818238
655.454866,0.9992850357088578
655.574068,0.9988836236122868
655.69327,0.9991858615906608
655.812472,0.9989224809410154
655.931674,0.9998411726144049
656.050876,0.9987013439844995
656.170078,0.9994354294299734
656.28928,0.9982912615587154
656.408482,0.9994907297221522
656.527684,0.9988794283098777
656.646886,0.9991239839263142
656.766088,0.9995517404983244
656.88529,0.9994068759676428
657.004492,0.9991590737768038
657.123694,0.9987125295021909
657.242896,0.9987396948524404
657.362098,0.9988218945117964
657.4813,0.9992404985673339
657.600502,0.9984485048149923
657.719704,0.999195773563571
657.838906,0.9987875356296013
657.958108,0.9988664429617147
658.07731,0.9981113856806858
658.196512,0.9987647635333918
658.315714,0.9986529081438948
658.434916,0.998770456508769
658.554118,0.9983392805232432
658.67332,0.9990836800777366
658.792522,0.9988474646795926
658.911724,0.998660897399117
659.030926,0.9988021180340728
659.150128,0.9986947525773808
659.26933,0.9986792729286834
659.388532,0.998460086884824
659.507734,0.9992278782395345
659.626936,0.9990009893437398
659.746138,0.9991356437712416
659.86534,0.9988230930987889
659.984542,0.9993127062945941
660.103744,0.9989390631918313
660.222946,0.9988640456851282
660.342148,0.999343065875771
660.46135,0.9994033380735639
660.580552,0.999013636776323
660.699754,0.9988609492113861
660.818956,0.9994053069000792
660.938158,0.9992538285244954
661.05736,0.9993981911596261
661.176562,0.9990187417490501
661.295764,0.9994134920630608
661.414966,0.9990668356688893
661.534168,0.9991607323822429
661.65337,0.9987336025588833
661.772572,0.9993883871114598
661.891774,0.9993885070380735
662.010976,0.9990544273358462
662.130178,0.9989691317101623
662.24938,0.9991390108640347
662.368582,0.9988532580116884
662.487784,0.9988242916872198
662.606986,0.9996821205343869
662.726188,0.9985234911134041
662.84539,0.999566284081953
662.964592,0.999001329004134
663.083794,0.9989890113936856
663.202996,0.9991217358998793
663.322198,0.9994506709364884
663.4414,0.9989658351174671
663.560602,0.9990049354054412
663.679804,0.9992622422771534
663.799006,0.9992961977850469
663.918208,0.998958143110151
664.03741,0.9989460557897477
664.156612,0.998883423835582
664.275814,0.9988459664095193
664.395016,0.9996047981128467
664.514218,0.999242746860985
664.63342,0.998891414934937
664.752622,0.9985174999904308
664.871824,0.9991683260326648
664.991026,0.9988859210472631
665.110228,0.9992017587641804
665.22943,0.9991721428629604
665.348632,0.9991430773680843
665.467834,0.999023996601452
665.587036,0.9990020882454325
665.706238,0.9993875776071941
665.82544,0.9986678880498661
665.944642,0.9991841729679816
666.063844,0.9987356999016509
666.183046,0.9992221227035318
666.302248,0.9987471854282415
666.42145,0.9989543470764196
666.540652,0.9986001806623626
666.659854,0.9991603626928404
