nu,[0]Hexane-PNNL(x-sec)-X=0.01-T=278.08K-P=1.0atm-L=15cm
650.57585,0.9993840897506345
650.694852,0.9997033640051592
650.813854,1.0003119086333854
650.932856,0.9996320277184129
651.051858,1.0002670556530135
651.17086,0.9997791044010262
651.289862,0.9997886223434055
651.408864,1.0002527819439724
651.527866,1.0000245883022874
651.646868,1.0000386317461867
651.76587,0.9998655390406852
651.884872,0.9994836433579997
652.003874,1.0006269664613596
652.122876,0.9999338511879291
652.241878,1.0000781650547288
652.36088,0.9989510505325135
652.479882,1.0002187839297136
652.598884,0.9999094770974453
652.717886,0.9996516107016505
652.836888,0.9994909096304998
652.95589,0.9999197212225135
653.074892,0.9998339337905198
653.193894,0.9994341801364675
653.312896,0.999733165606631
653.431898,1.0000391597667238
653.5509,1.0001986097202995
653.669902,1.00055730523689
653.788904,1.0000119750717007
653.907906,1.000161563049904
654.026908,0.999557457950632
654.14591,0.9997658574156544
654.264912,1.0000601148068227
654.383914,0.999920069194637
654.502916,0.999880257169745
654.621918,0.9999431096183191
654.74092,0.9999603077877567
654.859922,0.9994606255147447
654.978924,1.0000563105853815
655.097926,0.999468301401824
655.216928,0.9996761624467035
655.33593,0.9998654090581736
655.454932,1.0002561528015275
655.573934,1.00000667982231
655.692936,0.9998240754765342
655.811938,0.9997130811690828
655.93094,0.9997304663307278
656.049942,0.9999600257989897
656.168944,0.9996955163645539
656.287946,1.000304246273512
656.406948,0.9997878525064627
656.52595,1.0000890929685429
656.644952,0.9996067673362387
656.763954,0.9996393650444243
656.882956,1.0003692981737868
657.001958,0.9997682468589091
657.12096,1.0003152196712826
657.239962,1.0002867110937712
657.358964,0.999589754173841
657.477966,1.0003897959507053
657.596968,0.9993234389706941
657.71597,0.9996818806107067
657.834972,0.9998329639520743
657.953974,1.000070252467589
658.072976,0.999946801415095
658.191978,0.9996528402738879
658.31098,1.0003257030297175
658.429982,0.9994705602027376
658.548984,0.9997447125913774
658.667986,0.9998662289481451
658.786988,1.0000322385196498
658.90599,0.9995533997555909
659.024992,0.9995703023464917
659.143994,0.9996961361759662
659.262996,0.9997124313557911
659.381998,0.9997733956786385
659.501,0.9994131322742685
659.620002,0.9999424736547037
659.739004,0.9999718213970243
659.858006,0.9999381129150846
659.977008,0.9999317423296608
660.09601,0.999986423092167
660.215012,1.0000347086023296
660.334014,0.9997224585217638
660.453016,0.9999833861380117
660.572018,1.000162383182722
660.69102,0.9999278016064295
660.810022,0.999984967112995
660.929024,1.0000125120782755
661.048026,0.9995744605675986
661.167028,0.9997031240763807
661.28603,0.9996869190200818
661.405032,0.999938882867728
661.524034,0.9991310177839201
661.643036,0.9996855494499408
661.762038,1.00022095440683
661.88104,1.0000209952203964
662.000042,0.9998067986657819
662.119044,0.9995695426733506
662.238046,0.9997445026450098
662.357048,1.0001512314343206
662.47605,0.9996379855430524
662.595052,0.9998069886290918
662.714054,0.9995810078017574
662.833056,0.9996621970682625
662.952058,0.999777454766865
663.07106,0.9997508610402663
663.190062,0.9995285511669422
663.309064,1.0000600368021366
663.428066,0.9994652730174587
663.547068,0.9997181697216162
663.66607,0.9998719781954907
663.785072,0.9999359670501968
663.904074,0.9995019540660716
664.023076,0.9997693066138124
664.142078,0.9998298944695867
664.26108,1.000010902059427
664.380082,1.0002558427221682
664.499084,0.9998463518050932
664.618086,0.9998259051562665
