nu,[1](Z)-HFC-1225ye-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
708.173601,1.0
708.233866,1.0
708.294131,1.0
708.354396,1.0
708.414661,1.0
708.474926,1.0
708.535191,1.0
708.595455,1.0
708.65572,1.0
708.715985,1.0
708.77625,1.0
708.836515,1.0
708.89678,1.0
708.957045,1.0
709.01731,1.0
709.077575,1.0
709.13784,1.0
709.198105,1.0
709.25837,1.0
709.318635,1.0
709.3789,1.0
709.439165,1.0
709.49943,1.0
709.559695,1.0
709.61996,1.0
709.680225,1.0
709.74049,1.0
709.800755,1.0
709.86102,1.0
709.921285,1.0
709.98155,1.0
710.041815,1.0
710.10208,1.0
710.162345,1.0
710.22261,1.0
710.282875,1.0
710.34314,1.0
710.403405,1.0
710.46367,0.910225416233164
710.523935,0.92861783244504
710.5842,1.0
710.644465,1.0
710.70473,0.910225416233164
710.764995,0.8640712917349688
710.82526,1.0
710.885525,1.0
710.94579,1.0
711.006054,1.0
711.066319,1.0
711.126584,1.0
711.186849,1.0
711.247114,1.0
711.307379,1.0
711.367644,1.0
711.427909,0.9267745007684745
711.488174,1.0
711.548439,1.0
711.608704,1.0
711.668969,1.0
711.729234,1.0
711.789499,1.0
711.849764,1.0
711.910029,1.0
711.970294,1.0
712.030559,1.0
712.090824,1.0
712.151089,0.8975647646978211
712.211354,0.8401960680806081
712.271619,0.8903950841336923
712.331884,0.9156986071008996
712.392149,0.8832915073154146
712.452414,0.9120358321878179
712.512679,1.0
712.572944,1.0
712.633209,1.0
712.693474,1.0
712.753739,1.0
712.814004,1.0
712.874269,0.9230674225167713
712.934534,1.0
712.994799,1.0
713.055064,1.0
713.115329,0.8868317491079402
713.175594,0.8571777262754517
713.235859,1.0
713.296124,1.0
713.356388,1.0
713.416653,1.0
713.476918,1.0
713.537183,1.0
713.597448,0.8623276294175081
713.657713,0.7896385262051742
713.717978,0.8744938649873035
713.778243,1.0
713.838508,0.9304964668050013
713.898773,0.8640712917349688
713.959038,0.9011622138583357
714.019303,1.0
714.079568,1.0
714.139833,1.0
714.200098,1.0
714.260363,1.0
714.320628,1.0
714.380893,1.0
714.441158,1.0
714.501423,1.0
714.561688,1.0
714.621953,1.0
714.682218,1.0
714.742483,1.0
714.802748,0.8832915073154146
714.863013,0.853747326142118
714.923278,0.8815355050176386
714.983543,0.9156986071008996
715.043808,0.9249033809059156
715.104073,0.9304964668050013
715.164338,1.0
715.224603,0.9193760918747022
715.284868,0.8762621279388907
715.345133,0.8640712917349688
715.405398,0.8886249597741597
715.465663,0.8975647646978211
715.525928,0.8606219099308118
715.586193,0.8251995855723193
715.646458,0.8301573648149367
715.706723,0.8520500583047059
715.766987,0.8780076257678001
715.827252,0.895753513852371
715.887517,0.9065845339669089
715.947782,0.9065845339669089
716.008047,0.8921955000114775
716.068312,0.8710028761596601
716.128577,0.8554479749054321
716.188842,0.8503306543695596
716.249107,0.8571777262754517
716.309372,0.8486486653925008
716.369637,0.8153319076452644
716.429902,0.788068708025168
716.490167,0.8104626674519084
716.550432,0.8486486653925008
716.610697,0.8351532817669405
716.670962,0.8039887519604305
716.731227,0.8351532817669405
716.791492,0.9120358321878179
716.851757,0.910225416233164
716.912022,0.8334929792851073
716.972287,0.7864784159706845
717.032552,0.8137191476274331
717.092817,0.8186079526752806
717.153082,0.7541077625745762
717.213347,0.6988633845391665
717.273612,0.7144516168501606
717.333877,0.7318131918362473
717.394142,0.7031816696510879
717.454407,0.6851140213817768
717.514672,0.7245315289129246
717.574937,0.7632268337045579
717.635202,0.7632268337045579
717.695467,0.7662935179001441
717.755732,0.7975745253296324
717.815997,0.7944064872964212
717.876262,0.7391680366885999
717.936527,0.7031816696510879
717.996792,0.7245315289129246
718.057057,0.733270950076378
718.117321,0.6891130107573608
718.177586,0.6503529912737462
718.237851,0.6688804061041502
718.298116,0.6877017760950631
718.358381,0.6609084176102422
718.418646,0.6273817951398404
718.478911,0.641285835652586
718.539176,0.6741720052232526
718.599441,0.6877017760950631
718.659706,0.6808998818592411
718.719971,0.6675106057966674
718.780236,0.6476855258759269
718.840501,0.6297451910895567
718.900766,0.6284555357961469
718.961031,0.6248085476077891
719.021296,0.5943243885574474
719.081561,0.5686387114722332
719.141826,0.5931072715321002
719.202091,0.6260907189069397
719.262356,0.6039704536752761
719.322621,0.5630144416095164
719.382886,0.5721523367903372
719.443151,0.607501885541642
719.503416,0.5943243885574474
719.563681,0.5474194233969728
719.623946,0.5377561899867694
719.684211,0.5597472144128882
719.744476,0.5519377559627949
719.804741,0.5207162558898203
719.865006,0.5187568514033072
719.925271,0.5313469931856976
719.985536,0.5145101479478601
720.045801,0.49838121640999744
720.106066,0.533353952090485
720.166331,0.5653331927340454
720.226596,0.5228608037285104
720.286861,0.456379764126383
720.347126,0.4535771058292931
720.407391,0.4884100302495389
720.467656,0.4768372696850799
720.52792,0.4357572311491082
720.588185,0.43935391771911636
720.64845,0.47115412933187895
720.708715,0.45999024327301125
720.76898,0.4254320662507876
720.829245,0.4375518788438638
720.88951,0.47781578872726704
720.949775,0.4740653962649086
721.01004,0.43935391771911636
721.070305,0.44010585564211174
721.13057,0.46362928538560094
721.190835,0.4545078926267413
721.2511,0.42036159400172807
721.311365,0.41209144515545515
721.37163,0.41280085235642283
721.431895,0.3895823543300935
721.49216,0.3698158869600155
721.552425,0.39509066846644786
721.61269,0.4236871287613419
721.672955,0.40467945272912503
721.73322,0.3780117496936527
721.793485,0.39903346237791004
721.85375,0.4271841901913559
721.914015,0.4038466711160638
721.97428,0.3690548503696938
722.034545,0.3819177529388968
722.09481,0.4104012250973655
722.155075,0.4030196334435257
722.21534,0.38798445678257676
722.275605,0.407184043669936
722.33587,0.42296324286999004
722.396135,0.3942815622133568
722.4564,0.36615446466811247
722.516665,0.3871860314620346
722.57693,0.41280085235642283
722.637195,0.39118683275096156
722.69746,0.3603065795805561
722.757725,0.3750447225459935
722.81799,0.40467945272912503
722.878255,0.4030196334435257
722.938519,0.39118683275096156
722.998784,0.40219026753880527
723.059049,0.40788092404752213
723.119314,0.3887806407286956
723.179579,0.383360300360802
723.239844,0.4112475230086355
723.300109,0.41620805980044623
723.360374,0.3819177529388968
723.420639,0.3698158869600155
723.480904,0.4104012250973655
723.541169,0.434860495208076
723.601434,0.40467945272912503
723.661699,0.3819177529388968
723.721964,0.40956076435251565
723.782229,0.43322848983890716
723.842494,0.4136479620945703
723.902759,0.4006808715755396
723.963024,0.42806509664527975
724.023289,0.44282970319998843
724.083554,0.4170621614781433
724.143819,0.4038466711160638
724.204084,0.43665144973385045
724.264349,0.4554451439229442
724.324614,0.43322848983890716
724.384879,0.4271841901913559
724.445144,0.4645807002877227
724.505409,0.48060959079539184
724.565674,0.44817118956119395
724.625939,0.4375518788438638
724.686204,0.48060959079539184
724.746469,0.5073368995078514
724.806734,0.4788011037781074
724.866999,0.46093879985198877
724.927264,0.4973556078437054
724.987529,0.5291676386850253
725.047794,0.5145101479478601
725.108059,0.5033547948376421
725.168324,0.5377561899867694
725.228589,0.5641754467839917
725.288853,0.5474194233969728
725.349118,0.5322616964332652
725.409383,0.5585953220077226
725.469648,0.5836347032495923
725.529913,0.5790537345091736
725.590178,0.5766787076837322
725.650443,0.5931072715321002
725.710708,0.5894590659545443
725.770973,0.5630144416095164
725.831238,0.5574513745443765
725.891503,0.5872468614173564
725.951768,0.6039704536752761
726.012033,0.605010176761125
726.072298,0.6297451910895567
726.132563,0.6714068445793546
726.192828,0.6741720052232526
726.253093,0.6439269441973562
726.313358,0.6439269441973562
726.373623,0.6769485540641108
726.433888,0.6781071263885827
726.494153,0.6399661465775749
726.554418,0.6323450933979535
726.614683,0.6688804061041502
726.674948,0.6851140213817768
726.735213,0.6595549431394718
726.795478,0.6386555597875291
726.855743,0.6439269441973562
726.916008,0.6349493798745406
726.976273,0.5977994196155705
727.036538,0.5686387114722332
727.096803,0.554022488554536
727.157068,0.5187568514033072
727.217333,0.46362928538560094
727.277598,0.4236871287613419
727.337863,0.3895823543300935
727.398128,0.32533495389985706
727.458393,0.24482784228180118
727.518658,0.19448504662199292
727.578923,0.16906027007041366
727.639188,0.1376143597884801
727.699452,0.10130697654102218
727.759717,0.07592570367998178
727.819982,0.05392290164149779
727.880247,0.03069363422881752
727.940512,0.018237050727151254
728.000777,0.020418784356921765
728.061042,0.033901364997275675
728.121307,0.04631450889113352
728.181572,0.05842566596450083
728.241837,0.09578013256609354
728.302102,0.16675993762669233
728.362367,0.22691041204373769
728.422632,0.2652718844224401
728.482897,0.33393797728523716
728.543162,0.4357572311491082
728.603427,0.5033547948376421
728.663692,0.5228608037285104
728.723957,0.5585953220077226
728.784222,0.6173618254329897
728.844487,0.6399661465775749
728.904752,0.6209653473340863
728.965017,0.6235227668086352
729.025282,0.6595549431394718
729.085547,0.6837109762505617
729.145812,0.6781071263885827
729.206077,0.6755622309949272
729.266342,0.6795054668651344
729.326607,0.6675106057966674
729.386872,0.6528094495652788
729.447137,0.6675106057966674
729.507402,0.6891130107573608
729.567667,0.6851140213817768
729.627932,0.6688804061041502
729.688197,0.6727913682489541
729.748462,0.6755622309949272
729.808727,0.6476855258759269
729.868992,0.6148296754630914
729.929257,0.6173618254329897
729.989522,0.6336427304629677
730.049787,0.6222458544190621
730.110051,0.6002614311982817
730.170316,0.6027335824713883
730.230581,0.6087485417930707
730.290846,0.5884519522793628
730.351111,0.5630144416095164
730.411376,0.5653331927340454
730.471641,0.5698056164997446
730.531906,0.5474194233969728
730.592171,0.5259179852391697
730.652436,0.5313469931856976
730.712701,0.5366549189857469
730.772966,0.5155711312902763
730.833231,0.4973556078437054
730.893496,0.5073368995078514
730.953761,0.5104717402053901
731.014026,0.483579283136545
731.074291,0.4655387229548738
731.134556,0.483579283136545
731.194821,0.49838121640999744
731.255086,0.4740653962649086
731.315351,0.44817118956119395
731.375616,0.4554451439229442
731.435881,0.46649872118284835
731.496146,0.45264369873068017
731.556411,0.43665144973385045
731.616676,0.44191841296260354
731.676941,0.43935391771911636
731.737206,0.41280085235642283
