nu,[0]Ethylamine-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
653.50507,0.9726820724353393
653.633073,0.9728941402416813
653.761075,0.9730760884575345
653.889078,0.9730517618594068
654.01708,0.9723805877254288
654.145083,0.9722483529576662
654.273085,0.9723222466404153
654.401088,0.9724778306462664
654.529091,0.9726956900796767
654.657093,0.9722998834859199
654.785096,0.9727997740869103
654.913098,0.9724350425630627
655.041101,0.972465188516642
655.169103,0.9722658535855246
655.297106,0.9722415472430155
655.425109,0.9728085293242756
655.553111,0.9727988012876226
655.681114,0.9727093079146625
655.809116,0.9720723919307341
655.937119,0.9723378039208195
656.065121,0.972090861481641
656.193124,0.9725497966684442
656.321126,0.9729486238390613
656.449129,0.9724739407427236
656.577132,0.9726324669145967
656.705134,0.9723883668012469
656.833137,0.9722172415081574
656.961139,0.9725663301555217
657.089142,0.9725138129916696
657.217144,0.9727949101001999
657.345147,0.9724097595806362
657.473149,0.9725011703942777
657.601152,0.9722454362169825
657.729155,0.9723621126697757
657.857157,0.9722697426567171
657.98516,0.9727131987596758
658.113162,0.9725225656553734
658.241165,0.9721880754284056
658.369167,0.9720208734592134
658.49717,0.9717380565368947
658.625173,0.9720160133669964
658.753175,0.9720354538816682
658.881178,0.972158910223623
659.00918,0.9719440868433213
659.137183,0.9712600790051932
659.265185,0.9713960649350468
659.393188,0.9715534438449138
659.52119,0.9715320699042634
659.649193,0.9716855840986104
659.777196,0.9717390282754371
659.905198,0.9718138550614086
660.033201,0.9715340129703464
660.161203,0.9715495576389109
660.289206,0.9713076719150812
660.417208,0.9716651789155994
660.545211,0.9718527283930726
660.673213,0.971808996004281
660.801216,0.971201805148686
660.929219,0.9710658464132987
661.057221,0.971472808255498
661.185224,0.9716943293082206
661.313226,0.9716564339683416
661.441229,0.9714864089700184
661.569231,0.9710677885469337
661.697234,0.9713756658318745
661.825237,0.9714854374840951
661.953239,0.9711153720343584
662.081242,0.9712600790051932
662.209244,0.9711076031424578
662.337247,0.9713397255971372
662.465249,0.9709774834418513
662.593252,0.9709221393026181
662.721254,0.9709085464878178
662.849257,0.9709580640863766
662.97726,0.9715272122560581
663.105262,0.971227056723889
663.233265,0.9708396144281342
663.361267,0.9705881995276324
663.48927,0.9706386714262658
663.617272,0.9704144797882974
663.745275,0.9708415561093048
663.873277,0.9709706866232561
664.00128,0.9706163469935549
664.129283,0.9699953512713069
664.257285,0.9699740116083161
664.385288,0.9699681917817059
664.51329,0.9700797445379213
664.641293,0.9701088473667977
664.769295,0.9706532311155346
664.897298,0.9703417014315359
665.025301,0.9704862931168622
665.153303,0.9703756639854272
665.281306,0.9702233269649504
665.409308,0.9703484938472192
665.537311,0.9709046628613991
665.665313,0.9709153428714304
665.793316,0.9701292198665029
665.921318,0.9698867178755481
666.049321,0.9700506425821167
666.177324,0.9702669879970297
666.305326,0.9704270952585351
666.433329,0.9703950716927833
666.561331,0.9700962360337558
666.689334,0.9700875052069202
666.817336,0.9701379510687721
666.945339,0.9700438522513848
667.073341,0.970330057400983
667.201344,0.9704581494224473
667.329347,0.970437770015294
667.457349,0.9701466823496224
667.585352,0.9698091300416729
667.713354,0.9698741094301708
667.841357,0.9700040812687533
667.969359,0.9704125389612787
668.097362,0.9699992312604719
668.225365,0.9699177547471075
668.353367,0.9696413675740475
668.48137,0.9695056272846291
668.609372,0.96975191299092
668.737375,0.9700244515683473
668.865377,0.9697771268684368
668.99338,0.969369905997521
669.121382,0.9692225729694033
669.249385,0.9696384586543082
669.377388,0.9691149952344784
669.50539,0.9692768509532589
669.633393,0.9694319476568168
669.761395,0.9696937296216591
669.889398,0.9688717778957274
670.0174,0.9688068656611926
670.145403,0.9685608199664407
670.273405,0.9683225833090392
670.401408,0.968813647332988
670.529411,0.9688223666950511
670.657413,0.9684116730847705
670.785416,0.9682460888465289
670.913418,0.9678946793009688
671.041421,0.9680030895759126
671.169423,0.9680815010017881
671.297426,0.968175409461872
671.425429,0.9678162830070383
671.553431,0.9677630545752681
671.681434,0.967066515959966
671.809436,0.9671728991276884
671.937439,0.967095528390629
672.065441,0.9672135212425103
672.193444,0.9676991843214078
672.321446,0.9677001520210758
672.449449,0.9676072572655015
672.577452,0.9673663530522616
672.705454,0.967104232289552
672.833457,0.967448582686981
672.961459,0.9677456349970625
673.089462,0.9682354381981302
673.217464,0.9678675786293596
673.345467,0.9675037288278443
673.473469,0.9676198362416091
673.601472,0.9678869361745069
673.729475,0.9680282579834295
673.857477,0.968011801642923
673.98548,0.9676478976237481
674.113482,0.9677746678016023
674.241485,0.9674785740579082
674.369487,0.9674166574105223
674.49749,0.9675288842518129
674.625493,0.9679856656771159
674.753495,0.9678046692813247
674.881498,0.967582099803861
675.0095,0.9673557120809035
675.137503,0.9670684500949319
675.265505,0.967234800174045
675.393508,0.9675424297510107
675.52151,0.9675927432654978
675.649513,0.9672947705907194
675.777516,0.9670365373626418
675.905518,0.9670510430194944
676.033521,0.9668615195889655
676.161523,0.9670916600162522
676.289526,0.9670104277286147
676.417528,0.9673247571933977
676.545531,0.9667271351776756
676.673533,0.9664342612283607
676.801536,0.966324094002232
676.929539,0.9663530841599022
677.057541,0.9664787182268805
677.185544,0.9668257463745492
677.313546,0.9663608150154989
677.441549,0.9667870741181446
677.569551,0.9661463067258665
677.697554,0.9661173227714263
677.825557,0.9665289764269301
677.953559,0.9665860033188161
678.081562,0.966498047994542
678.209564,0.9661607990291594
678.337567,0.9660429346015542
678.465569,0.9658912777661949
678.593572,0.9661636975159043
678.721574,0.9660506629759444
678.849577,0.9661975138370995
678.97758,0.9660052596617709
679.105582,0.9660574253542535
679.233585,0.9657116386954818
679.361587,0.9656092786869563
679.48959,0.9659859397497773
679.617592,0.9660651538445704
679.745595,0.9660970345206754
679.873597,0.9657705489021853
680.0016,0.9657579939666567
680.129603,0.9654142453116957
680.257605,0.9655841731720836
680.385608,0.9659695181283858
680.51361,0.9656015538436262
680.641613,0.9656218316891736
680.769615,0.9654065220286263
680.897618,0.9653032290570418
681.025621,0.9654818266741876
681.153623,0.9658082146880704
681.281626,0.9657464049402634
681.409628,0.9655783796844251
681.537631,0.9656817020987019
681.665633,0.965555206081397
681.793636,0.9655339641005258
681.921638,0.9652395211463083
682.049641,0.9653524607771219
682.177644,0.9656942560424296
682.305646,0.9650223666848433
682.433649,0.9651526534985079
682.561651,0.9649123604055183
682.689654,0.9645573379850211
682.817656,0.9649721868264634
682.945659,0.9650590382315324
683.073661,0.9650841300927192
683.201664,0.9646248593619006
683.329667,0.9646952795469395
683.457669,0.9649885914930787
683.585672,0.964692385465442
683.713674,0.9645891689023818
683.841677,0.9646701977957355
683.969679,0.9645081468151693
684.097682,0.9642718712641365
684.225685,0.964232336927874
684.353687,0.9641002461461401
684.48169,0.9643123715332292
684.609692,0.9644821054467654
684.737695,0.9645824168018319
684.865697,0.9642477647686872
684.9937,0.9635701368041919
685.121702,0.9637204654708645
685.249705,0.9641590580549
685.377708,0.9640144450424388
685.50571,0.9640346895583514
685.633713,0.963821661432434
685.761715,0.9638900951997657
685.889718,0.9637811817727325
686.01772,0.9637609425804277
686.145723,0.9634708941911834
686.273725,0.9634631864548608
686.401728,0.96373106645429
686.529731,0.964127241330963
686.657733,0.9636607166542378
686.785736,0.9629844642235214
686.913738,0.9632473948706547
687.041741,0.9632685865464494
687.169743,0.963487273335607
687.297746,0.9630769151696612
687.425749,0.9627793703759119
687.553751,0.9627889982177548
687.681754,0.9621393349299843
687.809756,0.9628804675173084
687.937759,0.9629286127443049
688.065761,0.9626166744105147
688.193764,0.9630730628697051
688.321766,0.9628053657698483
688.449769,0.962749524678041
688.577772,0.9625454434121877
688.705774,0.9622509495663599
688.833777,0.9628698758904197
688.961779,0.9627273816936186
689.089782,0.9626128239515179
689.217784,0.9620152269609145
689.345787,0.961944040468052
689.473789,0.9619373068833363
689.601792,0.9622191958089641
689.729795,0.9621720482234948
689.857797,0.9616689638103153
689.9858,0.9619969488452449
690.113802,0.9615420318847837
690.241805,0.9614218466425323
690.369807,0.96156318604218
690.49781,0.9615478011542828
690.625813,0.9616939675284213
690.753815,0.9611305799521316
690.881818,0.9612065122672347
691.00982,0.9611152019858764
691.137823,0.96082691067114
691.265825,0.9610008360817464
691.393828,0.9611795988616807
691.52183,0.961011407149084
691.649833,0.9604090418580542
691.777836,0.95988000223979
691.905838,0.9602352235525091
692.033841,0.960169929777321
692.161843,0.9603955962255878
692.289846,0.9604301710893958
692.417848,0.9600393555461203
692.545851,0.95985888511203
692.673853,0.9597187559444817
692.801856,0.960076797811106
692.929859,0.9596544569418741
693.057861,0.9595700110653362
693.185864,0.9594980460132296
693.313866,0.9593502946912873
693.441869,0.9588429325945019
693.569871,0.9586281758312563
693.697874,0.9589522469196159
693.825877,0.9590606146461791
693.953879,0.9589877288091628
694.081882,0.9588659451010332
694.209884,0.9584077167045865
694.337887,0.9578376337296509
694.465889,0.9580205981902431
694.593892,0.9583780065258788
694.721894,0.9581556886182393
694.849897,0.9574450007950736
694.9779,0.9572190704357169
695.105902,0.9574785119565432
695.233905,0.9571807824386646
695.361907,0.957134838863762
695.48991,0.9572650180538318
695.617912,0.9571233533146092
695.745915,0.9567530182413351
695.873917,0.9564488191517531
696.00192,0.956249898485836
696.129923,0.9559946138449564
696.257925,0.9562059120022025
696.385928,0.9567453642478052
696.51393,0.9558301969116366
696.641933,0.9553027242387927
696.769935,0.9551460674382264
696.897938,0.9548003671373433
697.025941,0.954918769723677
697.153943,0.9549216344842834
697.281946,0.9547564473306183
697.409948,0.9539977175900237
697.537951,0.9535332338125373
697.665953,0.9533759138082155
697.793956,0.9532891605473922
697.921958,0.9529879687634674
698.049961,0.9531347402117684
698.177964,0.9529288853410091
698.305966,0.9527783344709571
698.433969,0.9526220916363665
698.561971,0.9527478460520713
698.689974,0.9526535286840989
698.817976,0.9527926262531623
698.945979,0.9526163759209638
699.073981,0.9520782996894178
699.201984,0.9514282522272083
699.329987,0.9510924573254592
699.457989,0.9515214967648343
699.585992,0.9515329150913053
699.713994,0.9512180098161083
699.841997,0.9509460003645065
699.969999,0.9505096163081417
700.098002,0.9501446906856831
700.226005,0.9497466634528142
700.354007,0.9494617821881046
700.48201,0.9494437425856198
700.610012,0.9492187510811735
700.738015,0.9488211117357308
700.866017,0.9482775929717032
700.99402,0.9480708909877702
701.122022,0.9476168737767899
701.250025,0.9485137434918728
701.378028,0.9481163994827329
701.50603,0.9476870000200884
701.634033,0.9474074735872585
701.762035,0.9477400719780905
701.890038,0.9475211693056956
702.01804,0.9470560506075513
702.146043,0.9469793421741856
702.274045,0.9469717663697513
702.402048,0.9465542438912555
702.530051,0.9461104140371067
702.658053,0.9460829772329352
702.786056,0.9461085218181708
702.914058,0.9462759978477241
703.042061,0.9460952763915836
703.170063,0.9458332442931443
703.298066,0.9451052330153503
703.426069,0.9450986173018743
703.554071,0.9450957820102752
703.682074,0.9444505019793775
703.810076,0.9443296200517325
703.938079,0.9442654078208096
704.066081,0.9433565179337985
704.194084,0.943024514875452
704.322086,0.9425587758121237
704.450089,0.9429669921345061
704.578092,0.9431914449874641
704.706094,0.9431046753659891
704.834097,0.9427821887153744
704.962099,0.9427020556350377
705.090102,0.942171463753345
705.218104,0.9419849322707481
705.346107,0.9412664718949143
705.474109,0.9415037009354356
705.602112,0.9415987976115313
705.730115,0.941408613863619
705.858117,0.9406115783598624
705.98612,0.9404347600045769
706.114122,0.9402344687324736
706.242125,0.9406614320946277
706.370127,0.9400934441392728
706.49813,0.939575595332
706.626133,0.9396432472103023
706.754135,0.9390599098987665
706.882138,0.9389951170003642
