nu,[0]2-Pentanone-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
560.306006,0.9831132076530816
560.425609,0.9818929389928763
560.545211,0.9838331099731877
560.664813,0.9796068120681655
560.784416,0.9760406927956752
560.904018,0.981179362242806
561.02362,0.9866578067674917
561.143223,0.9822622001546857
561.262825,0.9766645821097786
561.382428,0.9853424827694283
561.50203,0.9826453571234984
561.621632,0.9813334194958561
561.741235,0.9862070071653538
561.860837,0.982401691290744
561.98044,0.9895816509117746
562.100042,0.9741421903586628
562.219644,0.9922428432430501
562.339247,0.9847928150356029
562.458849,0.9796283636550975
562.578452,0.9774110389607188
562.698054,0.9886232107313033
562.817656,0.976205657611892
562.937259,0.9812647285607021
563.056861,0.9733116013668538
563.176464,0.9781248095137146
563.296066,0.9867061541845253
563.415668,0.9833049334212288
563.535271,0.9849888083064786
563.654873,0.979329622564515
563.774475,0.9877644703379194
563.894078,0.9764487630860128
564.01368,0.9889218200286786
564.133283,0.9815709309210974
564.252885,0.9848164503467863
564.372487,0.9799605139666735
564.49209,0.9835999691544024
564.611692,0.9828822031933703
564.731295,0.9819469445896613
564.850897,0.9832341380146877
564.970499,0.9783635010864237
565.090102,0.9820765701414453
565.209704,0.9823515900820797
565.329307,0.9823771315554596
565.448909,0.9833836009625623
565.568511,0.9813824873935181
565.688114,0.9779878816255585
565.807716,0.982016665297783
565.927319,0.9814462793284141
566.046921,0.9779732119173572
566.166523,0.9787970121330121
566.286126,0.9772859383543415
566.405728,0.9831446677790858
566.525331,0.9791494424910382
566.644933,0.9764048238803135
566.764535,0.9762007765958065
566.884138,0.979705757352837
567.00374,0.9787656911297625
567.123342,0.979384466558996
567.242945,0.9771637852467755
567.362547,0.9767309975594617
567.48215,0.976891194578858
567.601752,0.9781160064300429
567.721354,0.9784085068425981
567.840957,0.9786795635386127
567.960559,0.9808928996945986
568.080162,0.9749393646702189
568.199764,0.9782666478941282
568.319366,0.9688834044268212
568.438969,0.971946030733439
568.558571,0.9698789588128415
568.678174,0.9732045429790227
568.797776,0.9741266042083065
568.917378,0.974451042383466
569.036981,0.9746985843847348
