nu,[0]Isopentane-PNNL(x-sec)-X=0.01-T=278.14K-P=1.0atm-L=15cm
808.029602,0.994523451270823
808.270656,0.9946685628279941
808.51171,0.9947721132150886
808.752764,0.9947975797071567
808.993818,0.9950751669535152
809.234872,0.9950370563044445
809.475926,0.9950550666381566
809.71698,0.9951745799282893
809.958034,0.9953053544597904
810.199088,0.9953991166403099
810.440142,0.9955681497608212
810.681196,0.9957738553892215
810.92225,0.9957658892302431
811.163304,0.9958874796682633
811.404358,0.9958121934206564
811.645412,0.9958957455686479
811.886466,0.9960846849119124
812.12752,0.9962509453198694
812.368574,0.9962098010054635
812.609628,0.9963116188499296
812.850682,0.9965294363763985
813.091736,0.9966140453171455
813.33279,0.9965734839509305
813.573844,0.996755375208824
813.814898,0.9968457850213784
814.055952,0.9968502708375041
814.297006,0.996957836784806
814.53806,0.9970755844581934
814.779114,0.9971294279935166
815.020168,0.9972653459971537
815.261222,0.9972116945647754
815.502276,0.9972259547939681
815.74333,0.9974583355127375
815.984384,0.9974405809123819
816.225438,0.997554295620221
816.466492,0.9974367906453759
816.707546,0.9976389915752116
816.9486,0.9977279849423053
817.189654,0.997918868563261
817.430708,0.9978634856029471
817.671762,0.9980373285634213
817.912816,0.9979310432477229
818.15387,0.9979749531796372
818.394924,0.9982214834383061
818.635978,0.9981355402684886
818.877032,0.9982150948412557
819.118086,0.998250432281082
