nu,[0]Crotonaldehyde-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
582.921658,0.9895727447169943
583.041661,0.9880381189947922
583.161663,0.9896113388066181
583.281666,0.988922808950993
583.401668,0.9881171652061181
583.52167,0.9862109520012721
583.641673,0.9831417183495067
583.761675,0.9875876763212654
583.881678,0.989358030728701
584.00168,0.9893461585035658
584.121682,0.9906810926740469
584.241685,0.9865660518581317
584.361687,0.9894619187759546
584.48169,0.9890681912892489
584.601692,0.9898092808679257
584.721694,0.9889900579884431
584.841697,0.9860157015632071
584.961699,0.9868492369501319
585.081702,0.98877250410749
585.201704,0.9908520989880628
585.321706,0.9904612849281539
585.441709,0.9880065022808545
585.561711,0.9893392331046952
585.681714,0.9905899542059546
585.801716,0.989454003112267
585.921718,0.9894609293145306
586.041721,0.9879156098637599
586.161723,0.9919172425758899
586.281726,0.9915254134842824
586.401728,0.9908972828739614
586.52173,0.9919236900589209
586.641733,0.9898162095571422
586.761735,0.9899419241984667
586.881738,0.9870012234352812
587.00174,0.9864328744308095
587.121742,0.9895222777939312
587.241745,0.9876400198552019
587.361747,0.9892175518625731
587.48175,0.9892482180820048
587.601752,0.992381965441911
587.721754,0.9918587211849759
587.841757,0.9885727922332387
587.961759,0.9918974044294204
588.081762,0.9880954268676062
588.201764,0.9930595966207315
588.321766,0.9918253952918222
588.441769,0.9896331104955596
588.561771,0.9919671372680324
588.681774,0.9893362650914479
588.801776,0.9911630771666496
588.921778,0.9894470769584869
589.041781,0.9885510438710424
589.161783,0.9891146785866824
589.281786,0.9918266846656741
589.401788,0.9895856092462949
589.52179,0.9933371955706332
589.641793,0.9905315111227444
589.761795,0.9926602683612668
589.881798,0.9886578131492177
590.0018,0.9904731705348865
590.121802,0.9917956409762805
590.241805,0.9912687407824462
590.361807,0.9905507276204596
590.48181,0.9915263058575561
590.601812,0.9925424465802734
590.721814,0.9936176542458222
590.841817,0.990960603233401
590.961819,0.9925768884007318
591.081822,0.9930258331684284
591.201824,0.990836839983233
591.321826,0.9909434597632565
591.441829,0.9940215425250472
591.561831,0.9901400313974631
591.681834,0.9925479055787417
591.801836,0.9898627320122606
591.921838,0.9909890442108399
592.041841,0.9907823454556471
592.161843,0.9911775482532149
592.281846,0.9911228367626024
592.401848,0.9927499096307422
592.52185,0.9936140772287055
592.641853,0.9911713038543308
592.761855,0.9896162868756824
592.881858,0.992479819127811
593.00186,0.9940435106438837
593.121862,0.9916952763359501
593.241865,0.9944829749900542
593.361867,0.9917814584000201
593.48187,0.9904172103816404
593.601872,0.9917783838822646
593.721874,0.9908009723388339
593.841877,0.9904707934021297
593.961879,0.9924498466898595
594.081882,0.9943107454542943
594.201884,0.9912831142833952
594.321886,0.9934189505860013
594.441889,0.9916938879635351
594.561891,0.9920450097447627
594.681894,0.9925598162250724
594.801896,0.9916773268138921
