nu,[0]Methyl2-methylbutyrate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
614.964299,0.9911370099205059
615.083902,0.9897508838430837
615.203504,0.9881062959770817
615.323106,0.9899874625743545
615.442709,0.9923883167068138
615.562311,0.9931225585950307
615.681914,0.9900847831251522
615.801516,0.9899379644386895
615.921118,0.9906549390384298
616.040721,0.9886469379730867
616.160323,0.9891136894724984
616.279926,0.990635027074271
616.399528,0.9936154682893874
616.51913,0.9899696429604051
616.638733,0.988790302172746
616.758335,0.9915924428678016
616.877938,0.9899290550371019
616.99754,0.9885629065547448
617.117142,0.9913458644905525
617.236745,0.9933421622690277
617.356347,0.9924118365886293
617.47595,0.9899924125240422
617.595552,0.9902471703449729
617.715154,0.9899914225321247
617.834757,0.9891641355570258
617.954359,0.9890632459606558
618.073961,0.9924172948687408
618.193564,0.9940179640539353
618.313166,0.9900141925966977
618.432769,0.9880292266917367
618.552371,0.9912805369506487
618.671973,0.9909139300881499
618.791576,0.9899419241984667
618.911178,0.9917769953934991
619.030781,0.9943596667464245
619.150383,0.9918979003782467
619.269985,0.9890583006567892
619.389588,0.9893600094467412
619.50919,0.9911463266521877
619.628793,0.9901917180561121
619.748395,0.9921088995006183
619.867997,0.9945462261186281
619.9876,0.9924578855661751
620.107202,0.9902053827961078
620.226805,0.9893263717782637
620.346407,0.9909295866519319
620.466009,0.9911270985999634
620.585612,0.9917385151925986
620.705214,0.9932184988680316
620.824816,0.9935879455221078
620.944419,0.9900141925966977
621.064021,0.9894272882148357
621.183624,0.9909960802580317
621.303226,0.9923345307176619
621.422828,0.9923732325190401
621.542431,0.9933269642502102
621.662033,0.9934994207799976
621.781636,0.9911353249890212
621.901238,0.9894965505491642
622.02084,0.9906386924306521
622.140443,0.9923255005145197
622.260045,0.9922362944618957
622.379648,0.9922389735035074
622.49925,0.9942900640058766
622.618852,0.9930351676551322
622.738455,0.9899399443165983
622.858057,0.9899686529912571
622.97766,0.9924528240438656
623.097262,0.9932665718067326
623.216864,0.9927644038852306
623.336467,0.9928230779953031
623.456069,0.9932877286100312
623.575672,0.9912661634870706
623.695274,0.9903170842631315
623.814876,0.991321477682245
623.934479,0.9934083210600981
624.054081,0.9927463357375005
624.173683,0.9928654724458486
624.293286,0.9916554109871403
624.412888,0.9920043367331656
624.532491,0.9893174678809852
624.652093,0.9896835830712346
624.771695,0.9944313626630037
624.891298,0.9941053420731832
625.0109,0.9922084130137575
625.130503,0.9920240778158896
625.250105,0.9932470046480052
625.369707,0.9901441899943281
625.48931,0.9911798279641976
625.608912,0.9928541538439788
625.728515,0.994936463143122
625.848117,0.9923232181684933
625.967719,0.9916747484561942
626.087322,0.9924416093903168
626.206924,0.991334662345576
626.326527,0.9908524953289817
626.446129,0.9923996299981099
626.565731,0.9940555386431318
626.685334,0.9935242585759883
626.804936,0.9917354408079667
626.924538,0.9921808300032813
627.044141,0.9924938131919187
627.163743,0.9894579609361951
627.283346,0.990950396391753
627.402948,0.9927564618017679
627.52255,0.9952427517218716
627.642153,0.9915414763260895
627.761755,0.9902583602012203
627.881358,0.9911469213401621
628.00096,0.9903690772748599
628.120562,0.9902308314014588
628.240165,0.9913053192738501
628.359767,0.9946883569293451
628.47937,0.9919503731650696
628.598972,0.9896449861641394
628.718574,0.9900605263451124
628.838177,0.9911185749435673
628.957779,0.9901179515209545
629.077382,0.9904193893019001
629.196984,0.9935906282131823
629.316586,0.9938915330100925
629.436189,0.9902784626499715
629.555791,0.9888961083956105
629.675394,0.9914839685882031
629.794996,0.9899171759597161
629.914598,0.9903634321872079
630.034201,0.9925468137766461
630.153803,0.9937739625961645
630.273405,0.9907942349151293
630.393008,0.9881191414424247
630.51261,0.9902604397459602
630.632213,0.9899082667452239
630.751815,0.9894767608160512
630.871417,0.9904764391017424
630.99102,0.9935238611663644
631.110622,0.9914738555033002
631.230225,0.9889237978742965
631.349827,0.9883286449069931
631.469429,0.9912860881371989
631.589032,0.9900732982082806
631.708634,0.9902467742461839
631.828237,0.992231630962271
631.947839,0.9919661453013912
632.067441,0.9885520324225805
632.187044,0.9887299878039204
632.306646,0.9899399443165983
632.426249,0.9888644642264512
632.545851,0.9903635312235561
632.665453,0.9907762026241481
632.785056,0.9911146104771964
632.904658,0.9888664419573574
633.02426,0.9873575951981743
633.143863,0.9873181016842419
633.263465,0.9904657420139644
633.383068,0.9894916030787801
633.50267,0.989943904084295
633.622272,0.9914348913464297
633.741875,0.9902521215932026
633.861477,0.9875876763212654
633.98108,0.9871127608752761
634.100682,0.9888397429238631
634.220284,0.9897647404524536
634.339887,0.9898785699426759
634.459489,0.9898686712064702
634.579092,0.9897756279244796
634.698694,0.9869193057333677
634.818296,0.9863342360753664
634.937899,0.9880934506787286
635.057501,0.9895044665532325
635.177104,0.9896301416006814
635.296706,0.9885164451899874
635.416308,0.9890948964909323
635.535911,0.9883454466367708
635.655513,0.9865325091825973
635.775116,0.9864289287072032
635.894718,0.9905165542098514
636.01432,0.989664779261793
636.133923,0.9897914644612184
636.253525,0.9888427094475417
636.373127,0.9884087027695302
636.49273,0.9864871297309102
636.612332,0.9860837389938794
636.731935,0.9881596551577494
636.851537,0.9897776074777149
636.971139,0.988298007193888
637.090742,0.987771384713412
637.210344,0.9880815936284629
637.329947,0.9867515437115689
637.449549,0.9856745991445877
637.569151,0.9877308869168493
637.688754,0.990525667004069
637.808356,0.9896202453487468
637.927959,0.9886340856464333
