nu,[0]Acrylonitrile-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
633.202996,0.9862099657908132
633.322198,0.9860975442628619
633.4414,0.9873970902918788
633.560602,0.9868235792035234
633.679804,0.9867712789397948
633.799006,0.9863490311998706
633.918208,0.986903515150801
634.03741,0.9866538601441579
634.156612,0.9866370871711061
634.275814,0.9865186978241485
634.395016,0.9857347271290203
634.514218,0.9856479862896859
634.63342,0.9861458642263602
634.752622,0.9849612290059581
634.871824,0.9837612927775192
634.991026,0.9831997254220811
635.110228,0.9844924990275363
635.22943,0.9847928150356029
635.348632,0.9845958761671391
635.467834,0.9844777317508058
635.587036,0.9849109972641991
635.706238,0.9845525549016626
635.82544,0.9854636873487377
635.944642,0.9849366052830307
636.063844,0.984557477676744
636.183046,0.9838783673371579
636.302248,0.9836461994393558
636.42145,0.9832420039192554
636.540652,0.9831800616242112
636.659854,0.9814747416832167
636.779056,0.9791886092520677
636.898258,0.9799124970779125
637.01746,0.9815581705819377
637.136662,0.982138442914336
637.255864,0.9827062830243235
637.375066,0.9830453751820007
637.494268,0.9823122968043473
637.61347,0.9826207912966445
637.732672,0.9818939208863063
637.851874,0.9818546459149755
637.971076,0.9803133632607637
638.090278,0.9794187456152056
638.20948,0.9806231912337956
638.328682,0.9816494597366818
638.447884,0.9813098677764099
638.567086,0.9794980817466704
638.686288,0.9759645645906757
638.80549,0.9735997442439004
638.924692,0.9759411417222011
639.043894,0.9794079720682585
639.163096,0.9800790963629538
639.282298,0.9813520650079582
639.4015,0.9797958944287555
639.520702,0.978647267645901
639.639904,0.9798762409862625
639.759106,0.9787921181601863
639.878308,0.9780446065677002
639.99751,0.9778578178867326
640.116712,0.9782118664957397
640.235914,0.9779957055599072
640.355116,0.97738464921893
640.474318,0.9767241604664086
640.59352,0.9764009182688292
640.712722,0.9736513463977903
640.831924,0.9676411241121722
640.951126,0.9684136099100535
641.070328,0.9730001914826553
641.18953,0.975295282489374
641.308732,0.9766899757190289
641.427934,0.9760367886407123
641.547136,0.9751285212545603
