nu,[0]Dibromomethane-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
604.945299,0.9729476508909239
605.076502,0.9722386305227488
605.207704,0.9718779968924999
605.338907,0.9700554928474553
605.470109,0.9721968251604581
605.601312,0.9741908986858787
605.732515,0.9718595313859818
605.863717,0.97344982142764
605.99492,0.9711076031424578
606.126123,0.9711804389440019
606.257325,0.9719314516523213
606.388528,0.9731082004982993
606.51973,0.9733953097639808
606.650933,0.9740905621907323
606.782136,0.9745621361345213
606.913338,0.9758074469440866
607.044541,0.9703873085632623
607.175744,0.9739649126127817
607.306946,0.9737944836660423
607.438149,0.974894518490914
607.569351,0.9744744294891273
607.700554,0.9753762353573182
607.831757,0.9737448214137735
607.962959,0.9751392477272895
608.094162,0.975187030721102
608.225365,0.9756854786363967
608.356567,0.9756708434639811
608.48777,0.9748379762485825
608.618972,0.9761285404111102
608.750175,0.9764555982512775
608.881378,0.9742493518933786
609.01258,0.9756913327668308
609.143783,0.9767046261785428
609.274985,0.9762935200748286
609.406188,0.9781072034255986
609.537391,0.9760914482313304
609.668593,0.9765649674028398
609.799796,0.9781433940616481
609.930999,0.9787441585214173
610.062201,0.9761178030562212
610.193404,0.9765395770437634
610.324606,0.9779018224786334
610.455809,0.9763247619673386
610.587012,0.9772341435721825
610.718214,0.9783331722879888
610.849417,0.9787226263867841
610.98062,0.9783087142644081
611.111822,0.978671734133422
611.243025,0.9785445150774025
611.374227,0.9790975489457773
611.50543,0.9789027279188721
611.636633,0.9808536647633146
611.767835,0.9783586092811477
611.899038,0.9805859282605297
612.030241,0.9802731712368121
612.161443,0.9815787835199551
612.292646,0.9812087980652084
612.423848,0.9796371803500455
612.555051,0.9794304987106714
612.686254,0.9796136693398504
612.817456,0.9790671973922114
612.948659,0.9809958988564279
613.079862,0.9807879497692523
613.211064,0.9816916715709983
613.342267,0.9795166923870241
613.473469,0.982028449568472
613.604672,0.9818458092629273
613.735875,0.9796391396263655
613.867077,0.9801614264648641
613.99828,0.9819872052397272
614.129483,0.9821836223218285
614.260685,0.9811872117091017
614.391888,0.9800134332632359
614.52309,0.9810400446651496
614.654293,0.9811989860262881
614.785496,0.9799271958756094
614.916698,0.9825775569329904
615.047901,0.9811685693291825
615.179104,0.981603323296289
615.310306,0.9809968798528172
615.441509,0.9814060408558559
615.572711,0.981714250739104
615.703914,0.9818909752089622
615.835117,0.9823751668031613
615.966319,0.9812833727676642
616.097522,0.9822926507548724
616.228725,0.9814266505991155
616.359927,0.983094528679587
616.49113,0.9809125177487723
616.622332,0.9823398019337278
616.753535,0.9830424260502989
616.884738,0.9828173351086298
617.01594,0.9824655494760464
617.147143,0.9813186996049631
617.278346,0.9815041863671353
617.409548,0.9800614550979911
617.540751,0.9827318337198397
617.671953,0.9806222106110947
617.803156,0.9801633867896774
617.934359,0.980403556238997
618.065561,0.9816396432911667
618.196764,0.9830630701580083
618.327967,0.9821973729887955
618.459169,0.9805702390111919
618.590372,0.9818870476529165
618.721574,0.9822739873718107
