nu,[0]HCFE-235da2-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
557.095032,0.9999950737121341
557.336094,0.9999951588117186
557.577156,0.9999953168109662
557.818219,0.9999953070110121
558.059281,0.9999950397123023
558.300343,0.9999947092139962
558.541405,0.9999945731147256
558.782468,0.9999946460143326
559.02353,0.9999947383138427
559.264592,0.9999947238139191
559.505655,0.9999946436143455
559.746717,0.9999945731147256
559.987779,0.9999944904151779
560.228842,0.9999943422160054
560.469904,0.9999941575170673
560.710966,0.9999940068179591
560.952029,0.999993916918502
561.193091,0.9999938464189334
561.434153,0.9999937857193087
561.675216,0.9999937541195056
561.916278,0.9999937395195969
562.15734,0.9999936544201333
562.398403,0.9999934454214814
562.639465,0.999993170823319
562.880527,0.999992930224991
563.12159,0.9999927479262964
563.362652,0.9999925681276165
563.603714,0.9999923688291176
563.844776,0.9999922157302976
564.085839,0.9999921816305636
564.326901,0.9999922521300149
564.567963,0.9999923275294336
564.809026,0.9999923299294151
565.050088,0.9999922667299019
565.29115,0.9999921986304309
565.532213,0.9999921889305066
565.773275,0.9999922424300901
566.014337,0.9999922934296958
566.2554,0.9999922424300901
566.496462,0.9999920650314821
566.737524,0.9999918657330833
566.978587,0.9999917782337989
567.219649,0.9999918049335798
567.460711,0.9999918049335798
567.701774,0.9999916543348253
567.942836,0.9999913991369876
568.183898,0.9999911609390647
568.424961,0.9999909373410661
568.666023,0.9999906335438655
568.907085,0.9999902836472041
569.148147,0.9999901304487043
569.38921,0.9999903808462643
569.630272,0.9999909179412422
569.871334,0.9999913796371556
570.112397,0.9999915498357028
570.353459,0.9999915668355593
570.594521,0.9999916688347044
570.835584,0.9999918584331428
571.076646,0.999991938632493
571.317708,0.9999918414332812
571.558771,0.9999917515340188
571.799833,0.9999918560331623
572.040895,0.999992077131386
572.281958,0.999992184130544
572.52302,0.9999921014311939
572.764082,0.9999920139318889
573.005145,0.9999921112311165
573.246207,0.9999923518292474
