nu,[0]1-Penten-3-ol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
654.087082,0.965877755382963
654.222084,0.9655571371937403
654.357087,0.9659955996574743
654.49209,0.9655281709141208
654.627093,0.9653823871672627
654.762095,0.9648120147381013
654.897098,0.9642005177857742
655.032101,0.9635691732345368
655.167103,0.9643924127817324
655.302106,0.9632483581185312
655.437109,0.9632416154036239
655.572111,0.962585871169788
655.707114,0.9624270576035245
655.842117,0.9616737721671552
655.97712,0.9634179047492258
656.112122,0.9635296677083031
656.247125,0.9626715451247566
656.382128,0.9634246486981629
656.51713,0.9615372241866436
656.652133,0.9616429990988176
656.787136,0.9627812959365782
656.922138,0.9622095736651168
657.057141,0.9623327443733032
657.192144,0.9614016569957448
657.327147,0.9614862640642168
657.462149,0.9611046297768018
657.597152,0.9601900935575652
657.732155,0.9609672016410896
657.867157,0.9611767153272094
658.00216,0.9597820994726876
658.137163,0.9598857615370813
658.272165,0.9588812870788903
658.407168,0.9593857913088742
658.542171,0.9588707394427446
658.677174,0.9592917761081461
658.812176,0.9585073962903724
658.947179,0.9583952574852544
659.082182,0.957143453116076
659.217184,0.9584661813584593
659.352187,0.9580455070496098
659.48719,0.9576556618671167
659.622192,0.9562833678179928
659.757195,0.9545874703943408
659.892198,0.9557078584762588
660.027201,0.9552664234249915
660.162203,0.9548700701082719
660.297206,0.9560223380907575
660.432209,0.9559965258360961
660.567211,0.9554087687265435
660.702214,0.9545111064513077
660.837217,0.9542219333979829
660.972219,0.9545693334047053
661.107222,0.9560433708135546
661.242225,0.9546466566522603
661.377228,0.9550763443202281
661.51223,0.9530670700475327
661.647233,0.9524630170301626
661.782236,0.9536724598279257
661.917238,0.9546609764595083
662.052241,0.9536772282021457
662.187244,0.9538870602730317
662.322246,0.9531423653201905
662.457249,0.9517346614536635
662.592252,0.9520992456424157
662.727255,0.9527106896106307
662.862257,0.951986904559684
662.99726,0.9515728803130029
663.132263,0.9509222270116655
663.267265,0.9508062215764456
663.402268,0.9497229200830212
663.537271,0.950125687981897
663.672273,0.9504944082759453
663.807276,0.9503223843566817
663.942279,0.9506664633343563
664.077282,0.948562118926354
664.212284,0.9489425686111072
664.347287,0.9497742065054267
664.48229,0.949156104710955
664.617292,0.9477031108360303
664.752295,0.9472085389066778
664.887298,0.9467871248784397
665.0223,0.9470551035519742
665.157303,0.9467956460009087
665.292306,0.9483069900327374
665.427309,0.9467502009005918
665.562311,0.9451836800051956
