nu,[0]n-Butylamine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
664.385288,0.963300374934311
664.51329,0.9626147491790911
664.641293,0.9628554329506037
664.769295,0.9635845904646462
664.897298,0.9628698758904197
665.025301,0.9632647334798093
665.153303,0.9637098646040492
665.281306,0.9629671306591678
665.409308,0.9624925048686234
665.537311,0.9625887589317331
665.665313,0.9624241703266826
665.793316,0.9627899610072344
665.921318,0.9621787834514056
666.049321,0.9628506186854746
666.177324,0.9635441207617164
666.305326,0.9625935718875602
666.433329,0.9627418227126514
666.561331,0.9629767603786229
666.689334,0.9620046448516196
666.817336,0.9628881705918608
666.945339,0.9621912918568949
667.073341,0.9627533756838417
667.201344,0.9621123954057613
667.329347,0.9624674803888165
667.457349,0.9631462592039087
667.585352,0.9621826321742368
667.713354,0.962460743140034
667.841357,0.9621662752085245
667.969359,0.9625704699190596
668.097362,0.9618805542564492
668.225365,0.9626185996457888
668.353367,0.9622547985778562
668.48137,0.9625675822119815
668.609372,0.9618747829904375
668.737375,0.9613314772363765
668.865377,0.9624588182204727
668.99338,0.9619430785244926
669.121382,0.9619565458218627
669.249385,0.9616237664311629
669.377388,0.9616035725441044
669.50539,0.9619815570171982
669.633393,0.9622701947778027
669.761395,0.9620998880259193
669.889398,0.9617237805035134
670.0174,0.9615833790811131
670.145403,0.9616545388840454
670.273405,0.9616429990988176
670.401408,0.9619190302481342
670.529411,0.9607721450980654
670.657413,0.9620719875337256
670.785416,0.9612574575624233
670.913418,0.9613564721797174
671.041421,0.9616362676213841
671.169423,0.9613593562534601
671.297426,0.9606453315447911
671.425429,0.961389158855442
671.553431,0.9619979108426747
671.681434,0.9608211457269709
671.809436,0.9608884055612384
671.937439,0.9613747381262149
672.065441,0.9611238520616195
672.193444,0.9611690259442444
672.321446,0.9606789547197974
672.449449,0.9615545320124489
672.577452,0.9609998750813907
672.705454,0.9603879130915506
672.833457,0.9609864211773171
672.961459,0.960382150781359
673.089462,0.9601334440132234
673.217464,0.9607961647019366
673.345467,0.9605915369124883
673.473469,0.9604292106597049
673.601472,0.9606539773916812
673.729475,0.9609037798987218
673.857477,0.960291879102021
673.98548,0.9604637867336542
674.113482,0.9603370138809978
674.241485,0.9597878581825605
674.369487,0.960302442370789
674.49749,0.9601670492718525
674.625493,0.9609210763224273
