nu,[0]Chloroethane-PNNL(x-sec)-X=0.01-T=278.09K-P=1.0atm-L=15cm
639.230426,0.9859900654882369
639.349628,0.9856410867779302
639.46883,0.9860314779406428
639.588032,0.9854311675836342
639.707234,0.9855119762524863
639.826436,0.9845781536008716
639.945638,0.9843645233212639
640.06484,0.9834691590575692
640.184042,0.9838626254092163
640.303244,0.9839610165912342
640.422446,0.9834819442397403
640.541648,0.9841873536528146
640.66085,0.982708248438855
640.780052,0.9830915794004249
640.899254,0.9821433536188274
641.018456,0.9822926507548724
641.137658,0.981327531513003
641.25686,0.9817014885367988
641.376062,0.9810037468550107
641.495264,0.9810174810036054
641.614466,0.9806565329891042
641.733668,0.9799889332336559
641.85287,0.9798105914773995
641.972072,0.9794598820663809
642.091274,0.9791768590592581
642.210476,0.9787255625590675
642.329678,0.9785905077504305
642.44888,0.9775263802683195
642.568082,0.9772712791752103
642.687284,0.9767446718891476
642.806486,0.9769517637105456
642.925688,0.9761988241962057
643.04489,0.9762759469496258
643.164092,0.9754854836134664
643.283294,0.9748896440305078
643.402496,0.9742357124979281
643.521698,0.9732775360569524
643.6409,0.9735637217197842
643.760102,0.9729554345032655
643.879304,0.9726499744565685
643.998506,0.9721171082892314
644.117708,0.971860503245999
644.23691,0.9704562085080893
644.356112,0.9692216037473149
644.475314,0.9690888294828462
644.594516,0.969172174705975
644.713718,0.967369255155674
644.83292,0.9675762943286786
644.952122,0.9665270433709103
645.071324,0.9663666131977835
645.190526,0.9658883800967081
645.309728,0.9652607566493632
645.42893,0.9646258239872423
645.548132,0.9644059143700222
645.667334,0.9626542171928961
645.786536,0.9623471794727317
645.905738,0.9618795923763759
646.02494,0.9611795988616807
646.144142,0.9586435140047747
646.263344,0.9590634918323387
646.382546,0.9586061276367673
646.501748,0.9574067037609875
646.62095,0.9557843181632837
646.740152,0.9554154566113321
646.859354,0.9558550488198297
646.978556,0.9548185085166615
647.097758,0.9532672351488426
647.21696,0.9528812400878832
647.336162,0.9518926625211905
647.455364,0.9508936997727659
647.574566,0.9494323493290685
647.693768,0.9493943727946311
647.81297,0.9477106924912436
647.932172,0.9464614861205591
648.051374,0.94575379763743
648.170576,0.9447159298613046
648.289778,0.9427510774164861
648.40898,0.9422703969509412
648.528182,0.9423476662914908
648.647384,0.940560786706018
648.766586,0.9389631917091192
648.885788,0.939124707268033
649.00499,0.9375961184934775
649.124192,0.935641395856747
649.243394,0.9352606672921518
649.362596,0.934299713341133
649.481798,0.9321346504502379
649.601,0.9303541117360206
649.720202,0.9300480755789677
649.839404,0.9288732374655431
649.958606,0.9258074530764023
650.077808,0.9255140186255949
650.19701,0.92379139113464
650.316212,0.9239632323141254
650.435414,0.9220747361311944
650.554616,0.9202002220081863
650.673818,0.9194625172892692
650.79302,0.9186362919301714
650.912222,0.9165872656795199
651.031424,0.9140637149012585
651.150626,0.9135866981542826
651.269828,0.9120896438893465
651.38903,0.9098432018289895
651.508232,0.9074952019178257
651.627434,0.9074452910542815
651.746636,0.9069236599952268
651.865838,0.9036528570751639
651.98504,0.9010630914666429
652.104242,0.9021901245799229
652.223444,0.9000544657400421
652.342646,0.8971609514185093
652.461848,0.8946255751755097
652.58105,0.8954758732995859
652.700252,0.8935079918416426
652.819454,0.8894517653917698
652.938656,0.8871688092099647
653.057858,0.8878433137842363
653.17706,0.8850333066939013
653.296262,0.8808217503682318
653.415464,0.8800645692974431
653.534666,0.8810860365342851
653.653868,0.8787630371062775
653.77307,0.8734975100114595
653.892272,0.8734538362278126
654.011474,0.8741791038563111
654.130676,0.8704282039240931
654.249878,0.8657405596534039
654.36908,0.8658011636136935
654.488282,0.8655328068504207
654.607484,0.8601917065356577
654.726686,0.8570063078726083
654.845888,0.8571777262754517
654.96509,0.8565350840017216
655.084292,0.8508069728927452
655.203494,0.8477665295706299
655.322696,0.8492429274257216
655.441898,0.8477665295706299
655.5611,0.8433780193170413
655.680302,0.8411880846155919
655.799504,0.843133475152057
655.918706,0.8380898203963669
656.037908,0.8329763738021989
656.15711,0.8329014093020098
656.276312,0.8327598280971719
656.395514,0.8282087854850866
656.514716,0.8236002502331928
656.633918,0.8241275231026627
656.75312,0.8225302655486242
