nu,[0]Brominenitrate-HITRAN(x-sec)-X=0.01-T=204.0K-P=0.0atm-L=15cm
1289.839404,0.9992527093608342
1289.958606,0.9990649074717571
1290.077808,0.99912719111945
1290.19701,0.999189878325898
1290.316212,0.9993778436195928
1290.435414,0.9991867908339441
1290.554616,0.9992194647762205
1290.673818,0.9991562761353139
1290.79302,0.9992396492132711
1290.912222,0.9992703163486902
1291.031424,0.9993245582135726
1291.150626,0.9993423163687527
1291.269828,0.9993794925943952
1291.38903,0.9993916651107454
1291.508232,0.9993932441508238
1291.627434,0.9993515703214481
1291.746636,0.9994298625901351
1291.865838,0.9995002749041992
1291.98504,0.9994607554446344
1292.104242,0.9994628842983108
1292.223444,0.9995626056847958
1292.342646,0.9994766070179184
1292.461848,0.9996250403149601
1292.58105,0.9997403437165294
1292.700252,0.9994665623284925
1292.819454,0.9995866754421394
1292.938656,0.9996249003674642
1293.057858,0.9996190625750925
1293.17706,0.9996461826081418
1293.296262,0.9996264098022034
1293.415464,0.9996708741737917
1293.534666,0.9997146507198523
1293.653868,0.9997162502645731
1293.77307,0.9997571994808181
1293.892272,0.9997177298457184
1294.011474,0.9997505011300211
1294.130676,0.9998317641532375
1294.249878,0.9997521707147521
1294.36908,0.999810068039359
1294.488282,0.9998343237258299
1294.607484,0.9998455919221545
1294.726686,0.9997854630163506
1294.845888,0.9998683486667974
1294.96509,0.9998440321642478
1295.084292,0.9998960154067726
1295.203494,0.999854920525045
1295.322696,0.9998894661093207
1295.441898,0.9998860864886367
1295.5611,0.9998784873832561
1295.680302,0.9998976652365592
1295.799504,0.9999250728071823
1295.918706,0.9999156015617486
1296.037908,0.9999013138697965
1296.15711,0.9999254607781859
1296.276312,0.9999098820608654
1296.395514,0.9999360400455252
1296.514716,0.9999458054685767
1296.633918,0.9999319733139199
1296.75312,0.999941101734571
1296.872322,0.9999557389795478
1296.991524,0.9999561929595564
1297.110726,0.9999524231318151
1297.229928,0.9999763162804637
1297.34913,0.9999600627975113
1297.468332,0.9999448345216709
1297.587534,0.9999494502776802
1297.706736,0.9999554309932277
1297.825938,0.9999741903330752
1297.94514,0.9999719933921923
1298.064342,0.9999609267633788
1298.183544,0.9999521851431667
1298.302746,0.9999650876094517
1298.421948,0.999972437379856
1298.54115,0.9999623397091666
1298.660352,0.9999749913127224
1298.779554,0.9999718783954198
1298.898756,0.9999676005248743
1299.017958,0.9999744253270375
1299.13716,0.9999652716030447
1299.256362,0.9999640456463733
1299.375564,0.999970993420699
1299.494766,0.9999832131409009
1299.613968,0.99995933582681
1299.73317,0.999974108335195
1299.852372,0.9999820901603831
1299.971574,0.9999754093023562
1300.090776,0.999976585274129
1300.209978,0.9999822161581344
1300.32918,0.9999853441073986
1300.448382,0.9999831921412536
1300.567584,0.999991120039427
1300.686786,0.9999633376720796
1300.805988,0.9999785402302641
1300.92519,0.999981710167261
1301.044392,0.9999774032553103
1301.163594,0.999973891340837
1301.282796,0.9999911344392993
1301.401998,0.9999829521453163
1301.5212,0.9999944457154251
1301.640402,0.999998459201187
1301.759604,0.9999872210816511
1301.878806,0.9999669535460461
1301.998008,0.9999849531132056
1302.11721,0.9999836631334481
