nu,[0]Cyanogen-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
626.733668,0.9986467165150584
626.85287,0.9987051390568172
626.972072,0.9985271856571561
627.091274,0.9985310799207741
627.210476,0.998528184184841
627.329678,0.9985911933011798
627.44888,0.99842733793106
627.568082,0.9983949894093599
627.687284,0.9983175169641514
627.806486,0.9983570511205944
627.925688,0.9982633097947182
628.04489,0.9980790473956729
628.164092,0.9980210606875494
628.283294,0.9983380825168253
628.402496,0.9985756154000722
628.521698,0.9986513103005201
628.6409,0.998712229888477
628.760102,0.9988501615713881
628.879304,0.9988480639882512
628.998506,0.9987799448731755
629.117708,0.9987869363572597
629.23691,0.9988306841831426
629.356112,0.9989060987466624
629.475314,0.9989167870991015
629.594516,0.9988336806796898
629.713718,0.9989452566332228
629.83292,0.9989249782503394
629.952122,0.9989417603309431
630.071324,0.9988625473901834
630.190526,0.9989450568441914
630.309728,0.9988818256233825
630.42893,0.9989146893760512
630.548132,0.9988111072935867
630.667334,0.9989115927453139
630.786536,0.9988569537755803
630.905738,0.9988234926281061
631.02494,0.9987761495165961
631.144142,0.9988398734677076
631.263344,0.9989611399890755
631.382546,0.9988926136053542
631.501748,0.9989337688288265
631.62095,0.9990708918884762
631.740152,0.999193994996677
631.859354,0.9991697548443926
631.978556,0.9991758398067284
632.097758,0.9991958135314029
632.21696,0.999189798390711
632.336162,0.9992430965960076
632.455364,0.9991989410191937
632.574566,0.9992332540999805
632.693768,0.9992792898364219
632.81297,0.9992601138508441
632.932172,0.9992318851513601
633.051374,0.9992437061344824
633.170576,0.9992296968359279
633.289778,0.9992527893010541
633.40898,0.9992563166696262
633.528182,0.9992900521323284
633.647384,0.9991998203146487
633.766586,0.9992127900124895
633.885788,0.999298206372423
634.00499,0.9992616327273716
634.124192,0.9992820778295298
634.243394,0.9992907816143327
634.362596,0.999424105890706
634.481798,0.9994606754877772
634.601,0.9994716696156751
634.720202,0.9994479724233198
634.839404,0.9995031234840419
634.958606,0.9994936782241539
635.077808,0.9994678116624762
635.19701,0.999515367472299
635.316212,0.999533508840851
635.435414,0.9995392561750504
635.554616,0.9994757874474367
635.673818,0.9994868517056443
635.79302,0.99950333337972
635.912222,0.9994858222347172
636.031424,0.999491839157478
636.150626,0.9995459231241233
636.269828,0.999472539156406
636.38903,0.9995424547057877
636.508232,0.9995318196306484
636.627434,0.9994797453793917
636.746636,0.9995422148156274
636.865838,0.9995677134627612
636.98504,0.9996615872745084
637.104242,0.9995893443421259
637.223444,0.9996114455068568
637.342646,0.9995694427164014
637.461848,0.9996228211498339
637.58105,0.9996590881236641
637.700252,0.9995934926465125
637.819454,0.9995968512862904
637.938656,0.9996869989950384
638.057858,0.999687488841788
638.17706,0.9996569588520741
638.296262,0.9996580084924319
638.415464,0.9996846497333512
638.534666,0.9996809409101806
638.653868,0.9996644463107364
638.77307,0.9996348466847057
638.892272,0.9997375944343644
639.011474,0.9997202191459649
639.130676,0.9996865291422594
639.249878,0.999745722334047
639.36908,0.999705393405048
639.488282,0.9997319059436358
639.607484,0.9997527505711793
639.726686,0.9996798112713556
639.845888,0.9997360948290974
639.96509,0.9997595989009762
640.084292,0.9997258575839012
640.203494,0.9997874225977785
640.322696,0.9997340253775231
640.441898,0.9997773747846718
640.5611,0.9998226757238083
640.680302,0.9998194363035868
640.799504,0.9997495813599832
640.918706,0.9997738155835529
641.037908,0.9997604786898103
641.15711,0.9997896021367355
641.276312,0.999808038426981
641.395514,0.9998095381401634
641.514716,0.9998091182202455
641.633918,0.9998108978820599
641.75312,0.9997808040269485
641.872322,0.9998140772857704
641.991524,0.9997694365838307
642.110726,0.9997699564640729
642.229928,0.9998249953151067
642.34913,0.9998230456582667
642.468332,0.9998329639520743
642.587534,0.9998438321954612
642.706736,0.9998283847275858
642.825938,0.9998162668809972
642.94514,0.9998441221502147
643.064342,0.9998554604468479
643.183544,0.9999090281381908
643.302746,0.9998457119036327
643.421948,0.9998388929791301
643.54115,0.9998423924213796
643.660352,0.9998261751092973
