nu,[0]3-Pentanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
647.48955,0.9996373557713198
647.623152,0.9996220214518968
647.756755,0.9980863333993127
647.890358,0.9996078569082089
648.02396,0.9980375281709071
648.157563,0.9992064250472896
648.291166,0.9996192924875034
648.424768,0.997473596742019
648.558371,0.9996489816213716
648.691974,0.998905199731578
648.825577,0.9991039516912602
648.959179,0.9996281791425147
649.092782,0.9984280368304411
649.226385,0.9999218680524596
649.359987,0.9983348878400727
649.49359,0.999827384899701
649.627193,0.9989469548416026
649.760795,0.9977655002198219
649.894398,0.9999912891379398
650.028001,0.99810380006298
650.161603,0.999019201297777
650.295206,0.9994324211338583
650.428809,0.9979956114749806
650.562411,0.9998848166341133
650.696014,0.9979253550569878
650.829617,0.9984836508209278
650.963219,0.9989628382244571
651.096822,0.9984791576546087
651.230425,0.9997098021155542
651.364027,0.9973853242348234
651.49763,0.9988596506929962
651.631233,0.9987976234346545
651.764835,0.9977231958594713
651.898438,0.9994747979668969
652.032041,0.9985136057797745
652.165643,0.9977286833521392
652.299246,0.9996766023043118
652.432849,0.9983720265886769
652.566451,0.9993764644791202
652.700054,0.9983439727288883
652.833657,0.9994969065939484
652.967259,0.99993455114187
653.100862,0.9974030778516015
653.234465,0.9994918491523964
653.368067,0.9983353870076415
653.50167,0.9983733244731551
653.635273,0.9986232485929695
653.768875,0.9964103582238127
653.902478,0.9985259874252523
654.036081,0.9976302123907143
654.169683,0.99832919734743
654.303286,0.9999079832338024
654.436889,0.9985397671789589
654.570491,0.9987206191064427
654.704094,0.9974539467057167
654.837697,0.9981511113043706
654.971299,0.9983645388265566
655.104902,0.997806708785932
655.238505,0.9987967245171979
655.372107,0.9974707040727828
655.50571,0.9985220931814951
655.639313,0.9979120827380266
655.772915,0.9975837239060069
655.906518,0.9996452529376242
656.040121,0.997978446098086
656.173723,0.9987292081406998
656.307326,0.9987566735715716
656.440929,0.9973342594134932
656.574531,0.9995737508699835
656.708134,0.9974562408524323
656.841737,0.9981423276132394
656.97534,0.9988608493252963
657.108942,0.9970787751051687
657.242545,0.9988746337001289
657.376148,0.9973459282925912
657.50975,0.9977604116287467
