nu,[0]2-Nonanone-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
632.349647,0.9981879437599324
632.468649,0.9984509010942794
632.587652,0.9983282988515567
632.706654,0.9983071345159639
632.825657,0.9984299338455133
632.944659,0.998098310507176
633.063661,0.9981330449327571
633.182664,0.9982850721720808
633.301666,0.9991714034758483
633.420668,0.9987782469487124
633.539671,0.9990530686227489
633.658673,0.9986329352854613
633.777676,0.9996630067949701
633.896678,0.9979478086300783
634.01568,0.9988542568654458
634.134683,0.9989376646781218
634.253685,0.9981225645908073
634.372687,0.9982398508825814
634.49169,0.9990195509545586
634.610692,0.9987023426863428
634.729695,0.9995558686555374
634.848697,0.9983372838466789
634.967699,0.9991040915658232
635.086702,0.9995859857275713
635.205704,0.9994844129607013
635.324706,0.9985172004352257
635.443709,0.9998277348393471
635.562711,0.9997302763819572
635.681714,0.9992311557123502
635.800716,0.9992319351129556
