nu,[0]Methylisoamylketone-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
662.100242,0.9974533482335282
662.219244,1.0
662.338247,1.0
662.457249,0.9993865482385192
662.576252,1.0
662.695254,0.999166597472956
662.814256,1.0
662.933259,0.9968678155566639
663.052261,0.9992534488081127
663.171263,0.9996254401650562
663.290266,0.9994457236679117
663.409268,0.9993898562134687
663.528271,1.0
663.647273,0.9969843562159713
663.766275,1.0
663.885278,0.9992297467974139
664.00428,1.0
664.123282,0.9960309973942872
664.242285,0.9997486815857648
664.361287,1.0
664.48029,0.9986146604699606
664.599292,0.9988572534327113
664.718294,0.999869188556563
664.837297,0.9998830968337077
664.956299,0.999054707071125
665.075302,0.9998486814498069
665.194304,0.9995968812741964
665.313306,0.9979885257312936
665.432309,0.9976626358994961
665.551311,1.0
665.670313,0.9974801800894826
665.789316,0.9989020032400533
665.908318,1.0
666.027321,0.9995433442989683
