nu,[0]Acetone-PNNL(x-sec)-X=0.01-T=278.25K-P=1.0atm-L=15cm
626.786536,0.9998127875264426
626.904538,1.000384083741279
627.02254,1.0003584642329535
627.140543,0.9998967753280331
627.258545,0.9997226284745963
627.376548,0.9997543801694908
627.49455,1.0001009950996618
627.612552,0.9997252377540616
627.730555,0.999867118829485
627.848557,0.999791851665871
627.966559,0.9999959040083886
628.084562,0.9991297588796308
628.202564,0.9997957608596535
628.320566,1.0006720657350425
628.438569,1.0003051065355337
628.556571,0.9989956047429188
628.674573,1.0001638734257832
628.792576,1.0002584133829873
628.910578,0.9996978556547991
629.028581,1.0000782740632546
629.146583,0.9999615147405766
629.264585,1.000105915608662
629.382588,1.000009284843104
629.50059,1.0000422368919524
629.618592,1.000095708579774
629.736595,1.0003447794227671
629.854597,1.0005644192246204
629.972599,1.000552282451825
630.090602,1.000945126350693
630.208604,0.99978776252556
630.326607,0.999905895428113
630.444609,1.0001306585350829
630.562611,1.0002298664152365
630.680614,1.0000827994276833
630.798616,0.9997156904236296
630.916618,1.0000434359433132
631.034621,0.9998657190164985
631.152623,1.0008566066781162
631.270625,0.9997863428279452
631.388628,1.0000534764298132
631.50663,1.0007043479365922
631.624632,0.9999480953470931
631.742635,1.0002365179659645
631.860637,0.9998959254161353
631.97864,1.0003149795956587
632.096642,1.0000749858112954
632.214644,1.0001943888910725
632.332647,1.0001369893821885
