nu,[0]Styrene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
690.625813,0.5558871349677944
690.743815,0.5541111392445708
690.861817,0.5537289344343155
690.97982,0.5520923201724439
691.097822,0.5504330207870846
691.215824,0.54825761616873
691.333827,0.5462546609375241
691.451829,0.5431878882621217
691.569831,0.5376701558792837
691.687834,0.5311026297767252
691.805836,0.5267337902018056
691.923838,0.5265652623548346
692.041841,0.5224270093110024
692.159843,0.5187931656538893
692.277846,0.5185234633364292
692.395848,0.5180621827543671
692.51385,0.520336271734112
692.631853,0.5266705859393129
692.749855,0.5290776878324879
692.867857,0.525397584074863
692.98586,0.5195355705737802
693.103862,0.509936026177258
693.221864,0.4997536509877497
693.339867,0.48360346270518606
693.457869,0.46715694832079663
693.575872,0.4496750806573588
693.693874,0.4304517673788881
693.811876,0.40165169350549423
693.929879,0.36498464309394074
694.047881,0.3275875275236895
694.165883,0.2896447809709721
694.283886,0.2514025096949808
694.401888,0.20113076707447747
694.51989,0.13225809503797206
694.637893,0.0907905566895319
694.755895,0.10600171561011085
694.873897,0.11900378257871827
694.9919,0.10060030394489886
695.109902,0.08327557417497629
695.227905,0.09603908835702411
695.345907,0.08610394928649306
695.463909,0.09576097845505528
695.581912,0.11322254185983438
695.699914,0.14926978092210308
695.817916,0.21764282005906097
695.935919,0.2914461571086143
696.053921,0.3526779363918818
696.171923,0.39956852562981193
696.289926,0.43691351921667354
696.407928,0.463573653209352
696.525931,0.48408246720136705
696.643933,0.49741031996968005
696.761935,0.5079562282389596
696.879938,0.5155298872495567
696.99794,0.5207527073035172
