nu,[0]1-Nonene-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
608.906178,0.990709624700375
609.025181,0.9972889814659329
609.144183,0.9945787483119571
609.263185,0.9897954236349945
609.382188,0.9893738605838311
609.50119,0.9911408753623823
609.620192,0.9921942245348992
609.739195,0.9922551471305903
609.858197,0.9928666638851303
609.9772,0.9917136228682673
610.096202,0.988336551567779
610.215204,0.9921500728742891
610.334207,0.996162382547504
610.453209,0.9895984739428354
610.572211,0.98862024486612
610.691214,0.989570765573484
610.810216,0.9885302845170951
610.929219,0.9877348378482987
611.048221,0.9899805326863711
611.167223,0.9832469201415656
611.286226,0.9907613410925705
611.405228,0.9922688403461036
611.52423,0.988920831107353
611.643233,0.99491566918834
611.762235,0.9868531843549745
611.881238,0.9874365869654187
612.00024,0.9872174003737243
612.119242,0.9899528136195246
612.238245,0.987508672467356
612.357247,0.987975874554016
612.47625,0.9857396558149777
612.595252,0.9842257377080913
612.714254,0.9874810226116267
612.833257,0.9896182661102353
612.952259,0.9817682465077646
613.071261,0.9781257876390133
613.190264,0.9882703352370957
613.309266,0.9830748669856311
613.428269,0.9880163823952778
613.547271,0.9791024444457607
613.666273,0.9822916684627128
613.785276,0.9807899113471135
613.904278,0.9807006635260184
614.02328,0.9816406249313009
614.142283,0.985658828477167
614.261285,0.9859733037995984
614.380288,0.978846932053578
614.49929,0.9839708562505984
614.618292,0.9792150477014351
614.737295,0.9812176289841301
614.856297,0.9804731673626557
614.9753,0.9795470578751507
615.094302,0.9820893372198429
615.213304,0.9784173125587853
615.332307,0.975989939999234
615.451309,0.9753577033849007
615.570311,0.9786374812221569
615.689314,0.9757567062761143
615.808316,0.9733203612106853
615.927319,0.9709153428714304
616.046321,0.9787470947582971
616.165323,0.9765024692448884
616.284326,0.9753577033849007
616.403328,0.9720344818467004
616.52233,0.9724165664727774
616.641333,0.9716029943340767
616.760335,0.9750085878225033
616.879338,0.9747931347330377
616.99834,0.9684436311972883
617.117342,0.9664390934117474
617.236345,0.9691547297638353
617.355347,0.9676033868442133
617.474349,0.9686751168865824
617.593352,0.9676478976237481
617.712354,0.9649692919142453
617.831357,0.9630229843724881
617.950359,0.9672638176533103
618.069361,0.9656981188271794
618.188364,0.9606030640800942
618.307366,0.9622567230893779
618.426369,0.9649818365965804
618.545371,0.9666237009080437
618.664373,0.9687535827488747
618.783376,0.9620777599829681
618.902378,0.961011407149084
619.02138,0.9590155398565565
619.140383,0.9600028747437491
619.259385,0.9641436316333828
619.378388,0.9621807078108969
619.49739,0.9546008347124764
619.616392,0.9544462019028487
619.735395,0.9574095759854071
619.854397,0.958927314485319
619.973399,0.9550591531007518
620.092402,0.9569338616509466
620.211404,0.954604653123452
620.330407,0.9543106801644496
620.449409,0.9545149245033696
620.568411,0.9517165786668829
620.687414,0.9524677793571535
620.806416,0.9501893485355966
620.925419,0.9425003389795839
621.044421,0.9518783842383401
621.163423,0.9439755628340906
621.282426,0.9448151302418688
621.401428,0.9440397553548843
621.52043,0.9471517080992846
621.639433,0.9504069668127528
621.758435,0.9441568235426259
621.877438,0.9415159405631051
621.99644,0.9442729619742888
622.115442,0.9380537770589098
622.234445,0.9363536899525221
622.353447,0.9427737037138586
622.472449,0.9375520525114669
622.591452,0.9372970730319651
622.710454,0.9358968608271978
622.829457,0.9376373736302975
622.948459,0.9348053062365974
623.067461,0.9331642953637482
623.186464,0.9361093335293449
623.305466,0.9355665475390511
623.424468,0.9350306214647949
623.543471,0.9294595414378335
623.662473,0.93172180625183
623.781476,0.9276340190558622
623.900478,0.9306611792562477
624.01948,0.9296435926475066
624.138483,0.9271072725432099
624.257485,0.9284349127502298
624.376488,0.9250680283609056
624.49549,0.928028347302778
624.614492,0.9224667011807233
624.733495,0.9244428936930573
624.852497,0.9239179592249417
624.971499,0.9214083170365039
625.090502,0.9217253360217038
625.209504,0.9199048851410248
625.328507,0.9180880297364378
625.447509,0.9167706014656233
625.566511,0.9198699294195524
625.685514,0.9143288318186749
625.804516,0.9146507322186217
625.923518,0.9125257269546752
626.042521,0.9154788658052057
626.161523,0.9156482450624778
626.280526,0.9167577667670458
626.399528,0.9144678203639731
626.51853,0.9110267671421353
626.637533,0.9085012638569394
626.756535,0.911043165771531
626.875538,0.9071930563256202
626.99454,0.9072973895261417
627.113542,0.9113037613803374
627.232545,0.9040234307089685
627.351547,0.9059900095379597
627.470549,0.9036618936489175
627.589552,0.907595031880584
627.708554,0.9044122443731202
627.827557,0.9032282400251618
627.946559,0.8988671776278135
628.065561,0.9017571772357996
628.184564,0.9006757176286562
628.303566,0.8984268406021576
628.422568,0.8999284669349606
628.541571,0.9019916645839152
628.660573,0.8964704033810302
628.779576,0.8959506013042433
628.898578,0.8969277198925526
629.01758,0.8947955701838074
629.136583,0.8971250656981716
629.255585,0.8921419698873967
629.374587,0.8939906164541547
629.49359,0.8959326824714061
629.612592,0.8945361170909709
629.731595,0.8900924012640905
629.850597,0.8915176890322662
629.969599,0.8887049396195784
630.088602,0.8890782740889692
630.207604,0.8870534847610189
630.326607,0.8884650216762611
630.445609,0.8863973079976417
630.564611,0.8873906291386029
630.683614,0.8881629949163498
630.802616,0.8845643633223242
630.921618,0.88422829272172
631.040621,0.8867164684739597
631.159623,0.8876835163699538
631.278626,0.8852280354407508
631.397628,0.8826645929261645
631.51663,0.8822145487547906
631.635633,0.8810331729580161
631.754635,0.8788684949980771
631.873637,0.8835211929651572
631.99264,0.8764987506560635
632.111642,0.8804078614170813
632.230645,0.8808305586297768
632.349647,0.8807777103817223
632.468649,0.8773405934765937
632.587652,0.8814473558746674
632.706654,0.8776740462541299
632.825657,0.876823115197546
632.944659,0.8779725061651661
633.063661,0.8750624707764071
633.182664,0.8793256254590953
633.301666,0.8740742086576861
633.420668,0.8792289049600198
633.539671,0.88097150279439
633.658673,0.8803110218785977
633.777676,0.8742053296228114
633.896678,0.874292754526946
634.01568,0.8775248543479381
634.134683,0.8773844616029616
634.253685,0.8764812208563489
634.372687,0.8777267082767501
634.49169,0.8772704090365306
634.610692,0.8755964217220622
634.729695,0.8760080487650493
634.848697,0.8759905287792744
634.967699,0.878376466421738
635.086702,0.8780251860959182
635.205704,0.8816324792566759
635.324706,0.877990065790885
635.443709,0.878815764470309
635.562711,0.8803726458069415
635.681714,0.8788333409613627
635.800716,0.8846970579286693
635.919718,0.8786663784885171
636.038721,0.8844228443460127
636.157723,0.8798973729134361
636.276726,0.8843874681397677
636.395728,0.8804342740491112
636.51473,0.8834858528242461
636.633733,0.8778232635251019
636.752735,0.8826381133855717
636.871737,0.8812270215786333
636.99074,0.8859099235212602
637.109742,0.8866898673789239
637.228745,0.8806279908974741
637.347747,0.8844759113086664
637.466749,0.8856176214789878
637.585752,0.8878965859812132
637.704754,0.8885005609879095
637.823756,0.8911878885041844
637.942759,0.8893628246623413
638.061761,0.8901102032901355
638.180764,0.8936599011121779
638.299766,0.8886693921329482
638.418768,0.8917495137673243
638.537771,0.8915890133003215
638.656773,0.8918743674388048
638.775776,0.8976635022524038
638.894778,0.8975109124275235
639.01378,0.8919635593350691
639.132783,0.8976724789323096
639.251785,0.8979148832247282
639.370787,0.9009910093026505
639.48979,0.895502737978753
639.608792,0.8991188956764316
639.727795,0.9008828968684099
639.846797,0.901333450945977
639.965799,0.9001264729775524
640.084802,0.8998024857684772
640.203804,0.9013875325754664
640.322806,0.9055996119805658
640.441809,0.9022442576113723
640.560811,0.9102636465034758
640.679814,0.9065836273828282
640.798816,0.9094375022387073
640.917818,0.9134679396029957
641.036821,0.912256571567595
641.155823,0.9139586036180595
641.274825,0.9133893847380974
641.393828,0.9138343136998734
641.51283,0.9169952377798072
641.631833,0.9132423408845024
641.750835,0.9156766305980483
641.869837,0.9187566411671172
641.98884,0.9181651523700408
642.107842,0.9165900154454415
642.226845,0.9214221382649185
642.345847,0.925073578785727
642.464849,0.9202839640385936
642.583852,0.9258796688741219
642.702854,0.9241083059295795
642.821856,0.9234274890199571
642.940859,0.9284200579104649
643.059861,0.9280905272850534
643.178864,0.9317311235164788
643.297866,0.9301029500342074
643.416868,0.9343342830700627
643.535871,0.9306481500909425
643.654873,0.9347763277212734
643.773875,0.9372370879388344
643.892878,0.9359258740795865
644.01188,0.9367489145962166
644.130883,0.9385717256845153
644.249885,0.939557743565281
644.368887,0.9387491325050861
644.48789,0.9437915055455067
644.606892,0.94084017474674
644.725895,0.9420244964687458
644.844897,0.9429321030012501
644.963899,0.9449370192553423
645.082902,0.9432338895574842
645.201904,0.9416195130129473
645.320906,0.9466791972981926
645.439909,0.9427265662071204
