nu,[0]Acetonitrile-HITRAN(x-sec)-X=0.01-T=203.2K-P=0.1321atm-L=15cm
889.840197,0.9989509506374135
889.856597,0.9991928159484585
889.872997,0.9994513105851225
889.889398,0.9985724199632157
889.905798,0.9990736093649979
889.922198,0.9994925687867868
889.938599,0.9988636461395899
889.954999,0.9986530080091907
889.971399,0.9990264142424491
889.9878,0.9986098671310943
890.0042,0.9993461838310006
890.0206,0.9995070515390359
890.037001,0.998614061301344
890.053401,0.9981690781860755
890.069801,0.9984878444610679
890.086202,0.9980603834919946
890.102602,0.997636198189946
890.119002,0.9978918253283604
890.135403,0.9988206959262421
890.151803,0.9993042721309452
890.168203,0.9988772307775527
890.184604,0.9988006198320194
890.201004,0.998502722040788
890.217404,0.9979914199022147
890.233805,0.9984930366113587
890.250205,0.9983114272458716
890.266605,0.9982389524671199
890.283006,0.9986851651537758
890.299406,0.9979411224021594
890.315806,0.9990089614034433
890.332207,0.999475717484134
890.348607,0.9987258124671647
890.365007,0.9987977233144218
890.381408,0.9983487647914584
890.397808,0.99877894609373
890.414208,0.9988809266301439
890.430609,0.9995217843815564
890.447009,0.9998132074479016
890.463409,0.9998667788747223
890.47981,0.9999578518882566
890.49621,0.9996290588156993
890.51261,0.9996226812026487
890.529011,0.999869208553947
890.545411,0.999502103991376
890.561811,0.9999359770495566
890.578212,0.999670474305522
890.594612,0.9995552589266434
890.611012,0.9996842098722021
890.627413,0.9993246181730479
890.643813,0.9996293687007556
890.660213,0.9990927517987372
890.676614,0.9992890728285571
890.693014,0.9989055992937378
890.709414,0.9999963203067701
890.725815,0.9991147021076175
890.742215,0.9993912553602468
890.758615,0.9994593961789313
890.775016,0.9996049180654297
890.791416,0.9998510210984588
890.807816,0.9999540820542612
890.824216,0.9992081936442271
890.840617,0.9991031623994502
890.857017,0.9991014239614601
890.873417,0.9985278846264307
890.889818,0.997938028789475
890.906218,0.9981323462398702
890.922618,0.9980664716789028
890.939019,0.9978141923643113
890.955419,0.9974438724717299
890.971819,0.9978740630119547
890.98822,0.9977133184487257
891.00462,0.9977087289780165
891.02102,0.9971323196730507
891.037421,0.9971118786700184
891.053821,0.9972413121919236
891.070221,0.9974149470188494
891.086622,0.9976098609419669
891.103022,0.996321681648097
891.119422,0.9966999571505987
891.135823,0.9968789805387219
891.152223,0.9966467347939364
891.168623,0.9979200660666218
891.185024,0.999147863274887
891.201424,0.9989841163595226
891.217824,0.9996251102887154
891.234225,0.99984727166416
891.250625,0.9996598278716631
891.267025,0.9997772048225325
891.283426,0.9993024134267277
891.299826,0.9994624445347384
891.316226,0.9995241332605096
891.332627,0.9995311099633084
891.349027,0.9998432522862069
891.365427,0.9998551004989469
891.381828,0.9995452834149372
891.398228,0.9998810870707029
891.414628,0.9993693089692512
891.431029,0.9988880187098998
891.447429,0.9997063231314962
891.463829,0.9990788844875816
891.48023,0.9983620429183294
891.49663,0.9987833407307609
891.51303,0.9994808947817597
891.529431,0.9994876313056926
891.545831,0.9998221458179306
891.562231,0.9998223957734983
891.578632,0.9999274856292941
891.595032,0.9994799952493593
891.611432,0.998791430908586
891.627833,0.9999093711070463
891.644233,0.9998529308157329
891.660633,0.9993864782814633
891.677034,0.999398920720572
891.693434,0.9994721793463566
891.709834,0.9998925357746936
891.726235,0.999807578515389
891.742635,0.9998255252224947
891.759035,0.9993101280711378
891.775436,0.9989555458223554
891.791836,0.9986436207150358
891.808236,0.9988514600774421
891.824636,0.9982915610461388
891.841037,0.9984392192870752
891.857437,0.9983536567123911
891.873837,0.9983957881256709
891.890238,0.9975627748677706
891.906638,0.9981822541048685
891.923038,0.9994311018839331
891.939439,0.9993439353046166
891.955839,0.9997205090648704
891.972239,0.999920246180505
891.98864,0.9994429352182326
892.00504,0.9991616116440742
892.02144,0.9989682326383483
892.037841,0.9995965114234188
892.054241,0.9999593798250217
892.070641,0.9996494914424823
892.087042,0.9995775492574538
892.103442,0.998910693725285
892.119842,0.9996027289330562
892.136243,0.9999269276699128
892.152643,0.9999839071294916
892.169043,0.999622461285683
892.185444,0.9995581276543531
892.201844,0.9996451429766524
892.218244,0.9993800222656666
892.234645,0.9993189520185264
892.251045,0.9988414716127838
892.267445,0.9995561585267813
892.283846,0.9991449457673859
892.300246,0.999719539336447
892.316646,0.9987345014195301
892.333047,0.9981068941895561
892.349447,0.998247138060091
892.365847,0.9981647860682674
892.382248,0.9986145606084995
892.398648,0.997767695306337
892.415048,0.9978864367270529
892.431449,0.9982624113581438
892.447849,0.9977456448839288
892.464249,0.9978085048396244
892.48065,0.9975471132551491
892.49705,0.9979539959256724
892.51345,0.9981862468418703
892.529851,0.9979855317702073
892.546251,0.9981648858847509
892.562651,0.9975735486039172
892.579052,0.9973448312126734
892.595452,0.997174100392545
892.611852,0.9973601904413398
892.628253,0.9977341708749883
892.644653,0.9977456448839288
892.661053,0.9986796724004725
892.677454,0.999258744865426
892.693854,0.9999703254402984
892.710254,0.9991754801034908
892.726655,0.9992225423769115
892.743055,0.9994203780457434
892.759455,0.9988839232774188
892.775856,0.9995993302895555
892.792256,0.9999345961389258
892.808656,0.999917852374301
892.825057,0.9998842067045612
892.841457,0.9993128961640264
892.857857,0.9998899060607825
892.874257,0.9999817481665667
892.890658,0.9995313598461171
892.907058,0.9990921423523446
892.923458,0.9991724925732717
892.939859,0.9989307720320152
892.956259,0.9988667426216925
892.972659,0.9992826674061297
892.98906,0.9997354350034926
893.00546,0.9993918649890985
893.02186,0.9995868353760203
893.038261,0.9998279348049139
893.054661,0.9997325757642372
893.071061,0.99927996934657
893.087462,0.9994991454695268
893.103862,0.9992942391664186
893.120262,0.9991611420382271
893.136663,0.9995545492426615
893.153063,0.999098376706764
893.169463,0.9986424223434098
893.185864,0.9987575724529824
893.202264,0.9977065340212272
893.218664,0.9973946997009359
893.235065,0.997106394569767
893.251465,0.996296076509906
893.267865,0.9964097603777772
893.284266,0.9958727406426332
893.300666,0.9958240436562669
893.317066,0.9960214355426092
893.333467,0.9960419537955187
893.349867,0.9962060154154123
893.366267,0.9963389181622849
893.382668,0.9973835289428555
893.399068,0.9985899949924668
893.415468,0.9988318827806827
893.431869,0.9976673249249041
893.448269,0.9975530985557846
893.464669,0.9973159086319476
893.48107,0.9987042402225965
893.49747,0.9984756629836726
893.51387,0.9986962506206333
893.530271,0.9996359362872824
893.546671,0.9998531907775288
893.563071,0.9999083731979919
893.579472,0.9995453833694705
893.595872,0.9999887780629664
893.612272,0.9997680968936833
893.628673,0.9996750328132783
893.645073,0.9996820305630001
893.661473,0.9999858331003515
893.677874,0.9998870963740941
893.694274,0.9997558098192767
893.710674,0.9996420740707742
893.727075,0.999745282446026
893.743475,0.9999023637667273
893.759875,0.9996602777186868
893.776276,0.998914989050503
893.792676,0.9992410281649384
893.809076,0.999702304320155
893.825477,0.9997838433652124
893.841877,0.9999366600060621
893.858277,0.9998339637855382
893.874677,0.9997632880207026
893.891078,0.9998980351987637
893.907478,0.9999001749828487
893.923878,0.9997819337798953
893.940279,0.9997437028497276
893.956679,0.9998884662203545
893.973079,0.9995512907001424
893.98948,0.9986642928519404
894.00588,0.998446208386072
894.02228,0.9981976262299467
894.038681,0.9982437440255915
894.055081,0.9977636044671725
894.071481,0.997094828202675
894.087882,0.9959314988676817
894.104282,0.996981564663682
894.120682,0.9982292695962429
894.137083,0.9986385276455574
894.153483,0.9992436961420454
