nu,[0]Myrcene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
563.056861,0.9502729688775087
563.176464,0.9622778929701536
563.296066,0.9531490373400998
563.415668,0.9528783814484509
563.535271,0.9478405377503121
563.654873,0.9608615010625475
563.774475,0.9650242967315068
563.894078,0.9582524672300273
564.01368,0.9567463209936479
564.133283,0.9609229981665018
564.252885,0.9506579073746881
564.372487,0.9498900860271274
564.49209,0.9671197060810587
564.611692,0.9614083868308981
564.731295,0.9505314782807285
564.850897,0.959264916314454
564.970499,0.95001357976523
565.090102,0.9469622966994361
565.209704,0.9572544881965476
565.329307,0.9564928168093725
565.448909,0.9564478627034122
565.568511,0.9601334440132234
565.688114,0.9579889840321393
565.807716,0.9539824537486533
565.927319,0.9527411768404912
566.046921,0.961429538048071
566.166523,0.959647739384187
566.286126,0.9669814178509332
566.405728,0.968307090271651
566.525331,0.956112208414377
566.644933,0.956796073095883
566.764535,0.9660458327347052
566.884138,0.9544691088865771
567.00374,0.9653350845892141
567.123342,0.9722191859445849
567.242945,0.9639276876465264
567.362547,0.9650378071662339
567.48215,0.9588055384493214
567.601752,0.9646190716301076
567.721354,0.9582505507270094
567.840957,0.9664864500875536
567.960559,0.9696132483821182
568.080162,0.9647357975995536
568.199764,0.9628689130210253
568.319366,0.9732970018023304
568.438969,0.9583895071309606
568.558571,0.965175817440158
568.678174,0.9662545211721157
568.797776,0.9701689959799222
568.917378,0.9761012091946175
569.036981,0.9656121755191377
569.156583,0.9662883406721946
569.276186,0.9592860203747566
569.395788,0.9662545211721157
569.51539,0.9686082806093953
569.634993,0.9656759080258716
569.754595,0.9756484032926445
569.874197,0.9701253393573844
569.9938,0.9727881005596626
570.113402,0.970503762027358
570.233005,0.9662168379806171
570.352607,0.9725517417699826
570.472209,0.9636009715419228
570.591812,0.9788723824046646
570.711414,0.9675027613245992
570.831017,0.9665376752268625
570.950619,0.9614324223410116
571.070221,0.9611786376825624
571.189824,0.9666729999739055
571.309426,0.9662303651110384
571.429029,0.9735461977305095
571.548631,0.9685801913765535
571.668233,0.9666788000293055
571.787836,0.9644425624910782
571.907438,0.9694746036009376
572.027041,0.9730498157578291
572.146643,0.973885050764328
572.266245,0.9819567641082046
572.385848,0.972728762295364
572.50545,0.9802555264785331
572.625053,0.9705280249246936
572.744655,0.9678395108765637
572.864257,0.9747638913776483
572.98386,0.9749432644354771
573.103462,0.9858510506897766
573.223064,0.9810773248951667
573.342667,0.9741256300821894
573.462269,0.9742513003940309
573.581872,0.9688950310974342
573.701474,0.9730167326265098
573.821076,0.9759909159896619
573.940679,0.9764848923586344
574.060281,0.9852252339904194
574.179884,0.9813658040330413
574.299486,0.9753996446678774
574.419088,0.9805467056078576
574.538691,0.9771911462158142
574.658293,0.9730167326265098
574.777896,0.9796489360667439
574.897498,0.9824812690505943
575.0171,0.9838232716912795
575.136703,0.9732979750998187
575.256305,0.9755088955460152
575.375908,0.9804143407374303
575.49551,0.9812441222177697
575.615112,0.9823142614309055
575.734715,0.9801986733067553
575.854317,0.9836747255927668
575.973919,0.9816769463063646
576.093522,0.9771882146467729
576.213124,0.9801232009146351
576.332727,0.9783879604796919
576.452329,0.9840092318623118
576.571931,0.9856144748278501
576.691534,0.9862770303486561
576.811136,0.9849553192563133
576.930739,0.9800389139437481
577.050341,0.9825991738770284
